~,st_data_export_quantity,st_data_export_probability
0kp2,1,1
1p63,1,1
226sig_kit,1,1
ac10632,1,1
adrenalin,2,1
af_camelbak,1,1
af_cooler,1,1
af_frames,1,1
af_freon,1,1
af_grid,1,1
af_kevlar,1,1
af_surge,1,1
aim_low,1,1
aimpoint,1,1
akvatab,2,1
ammo_11.43x23_fmj,8,1
ammo_11.43x23_hydro,8,1
ammo_12.7x55_fmj,2,0.50
ammo_12x70_buck,8,1
ammo_12x76_zhekan,7,1
ammo_20x70_buck,8,1
ammo_23x75_shrapnel,2,0.70
ammo_357_hp_mag,8,1
ammo_5.45x39_fmj,2,0.85
ammo_5.56x45_fmj,2,0.85
ammo_5.7x28_ss190,3,0.85
ammo_5.7x28_ss195,4,1
ammo_7.62x25_p,10,1
ammo_7.62x25_ps,10,1
ammo_7.62x39_fmj,5,1
ammo_7.62x54_7h1,3,1
ammo_7.92x33_ap,4,1
ammo_7.92x33_fmj,2,1
ammo_9x18_ap,8,1
ammo_9x18_fmj,8,1
ammo_9x18_pmm,7,1
ammo_9x19_ap,7,1
ammo_9x19_fmj,8,1
ammo_9x19_pbp,7,1
ammo_9x39_pab9,2,0.85
analgetic,2,1
antibio_chlor,2,1
antibio_sulfad,2,1
antiemetic,2,1
antirad,2,1
antirad_cystamine,2,1
antirad_kalium,2,1
bandage,4,1
batteries_dead,5,1
beans,2,1
beer,3,1
bolts_pack,4,1
bottle_metal,2,1
box_matches,3,1
bread,4,1
breadold,6,1
broken_detector,1,1
c-more,1,1
caffeine,2,1
charcoal,2,1
chili,2,1
chocolate,2,1
cigar,2,1
cigar1,2,1
cigar2,2,1
cigar3,2,1
cigarettes,4,1
cigarettes_lucky,3,1
cigarettes_russian,3,1
cocaine,2,1
compression_bag,1,1
conserva,4,1
cooking,2,1
corn,2,1
d0cter,1,1
detector_geiger,2,1
detector_radio,2,1
detector_simple,2,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
drink_crow,2,1
drug_anabiotic,2,1
drug_antidot,2,1
drug_booster,2,1
drug_coagulant,2,1
drug_psy_blockade,2,1
drug_radioprotector,2,1
drug_sleepingpills,2,1
e0t2,1,1
ekp8_02,1,1
ekp8_18,1,1
energy_drink,3,1
eot,1,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
flashlight_broken,1,1
flask,2,1
gee36,1,1
glucose,2,1
glucose_s,2,1
gurza_up,1,1
hand_rolling_tobacco,2,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
jgut,2,1
kerosene,2,1
kit_hunt,1,1
kobra,1,1
kolbasa,4,1
lazup_pl15,1,1
medkit,3,1
medkit_ai1,3,1
medkit_ai2,2,1
medkit_ai3,1,1
medkit_army,2,1
medkit_scientic,1,1
mineral_water,2,1
mod9,1,1
morphine,2,1
mre,1,1
nuts,2,1
okp,1,1
pk1,1,1
pl15_scolaz,1,1
protein,2,1
raisins,2,1
rakurs,1,1
ration_ru,1,1
ration_ukr,1,1
salicidic_acid,2,1
salmon,2,1
sausage,2,1
side,1,1
silen98,1,1
sr1upgr1,1,1
stimpack,3,1
stimpack_army,2,1
stimpack_scientic,1,1
tea,2,1
tetanus,2,1
tobacco,2,1
tomato,2,1
tushonka,4,1
u2p2g0r,1,1
upg220,1,1
usp1,1,1
vodka,1,1
vodka2,1,1
vodka_quality,1,1
water_drink,2,1
wpn_addon_scope_pu,1,1
wpn_addon_scope_zf4,1,1
wpn_axe,1,1
wpn_binoc_inv,1,1
wpn_knife,1,1
wpn_knife2,1,1
wpn_knife3,1,1
wpn_sil_45,1,1
wpn_sil_9mm,1,1
wpn_sil_aps,1,1
wpn_sil_black_box,1,1
wpn_sil_forester,1,1
wpn_sil_gemtech,1,1
wpn_sil_osp9,1,1
wpn_sil_pbs1,1,1
wpn_sil_sr1m,1,1
yadylin,2,1
