~,st_data_export_quantity,st_data_export_probability
af_baloon,1,0.1
af_blood,1,0.1
af_cristall,1,0.1
af_dummy_dummy,1,0.1
af_electra_flash,1,0.1
af_electra_moonlight,1,1
af_electra_sparkler,1,0.1
af_fireball,1,1
af_gravi,1,0.1
af_medusa,1,0.1
af_mincer_meat,1,0.1
af_night_star,1,0.1
af_vyvert,1,1
ammo_11.43x23_fmj,8,1
ammo_11.43x23_hydro,8,1
ammo_12x70_buck,8,1
ammo_12x76_zhekan,1,1
ammo_20x70_buck,8,1
ammo_357_hp_mag,2,1
ammo_7.62x25_p,10,1
ammo_7.62x25_ps,10,1
ammo_7.62x39_fmj,5,1
ammo_7.92x33_fmj,2,1
ammo_9x18_ap,8,1
ammo_9x18_fmj,8,1
ammo_9x18_pmm,7,1
ammo_9x19_fmj,8,1
ammo_9x19_pbp,7,1
antirad,2,1
ball_hammer,2,1
bandage,4,1
beadspread,1,1
boots,1,1
bottle_metal,2,1
box_matches,4,1
bread,2,1
broken_detector,1,1
cards,2,1
cigar1,2,1
cigar2,2,1
cigar3,2,1
compression_bag,1,1
conserva,2,1
cooking,1,1
energy_drink,2,1
fieldcooker,1,1
flashlight_broken,1,1
flask,3,1
gloves,1,1
guitar_a,1,1
hand_watch,1,1
harmonica_a,1,1
headlamp,1,1
itm_backpack,1,1
itm_sleepbag,1,1
kolbasa,2,1
medkit,2,1
mirror,2,1
porn,1,1
porn2,1,1
radio,1,1
radio2,2,1
rope,1,1
shovel_mili,1,1
shovel_old,1,1
synthrope,2,1
tarpaulin,1,1
underwear,1,1
walkie,2,1
welding_goggles,1,1
