~,st_data_export_quantity,st_data_export_probability
ammo_11.43x23_fmj,8,1
ammo_11.43x23_hydro,8,1
ammo_12x70_buck,8,1
ammo_20x70_buck,8,1
ammo_7.62x25_p,10,1
ammo_7.62x25_ps,10,1
ammo_7.62x39_fmj,5,1
ammo_7.62x54_7h1,3,1
ammo_7.92x33_fmj,2,1
ammo_9x18_ap,8,1
ammo_9x18_fmj,8,1
ammo_9x18_pmm,7,1
ammo_9x19_fmj,8,1
ammo_9x19_pbp,7,1
antirad,2,1
bandage,4,1
batteries_dead,5,1
bolts_pack,2,1
bottle_metal,2,1
box_matches,4,1
bread,2,1
broken_detector,1,1
charcoal,2,1
cigar1,2,1
cigar2,2,1
cigar3,2,1
compression_bag,1,1
conserva,2,1
cooking,1,1
detector_geiger,2,1
detector_radio,2,1
detector_simple,2,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
energy_drink,2,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
flashlight_broken,1,1
flask,3,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
kerosene,2,1
kit_hunt,1,1
kolbasa,2,1
lazup_pl15,1,1
medkit,2,1
pl15_scolaz,1,1
sr1upgr1,1,1
wpn_binoc_inv,1,1
wpn_fort17,1,0.75
wpn_knife,1,1
wpn_knife2,1,1
wpn_sil_aps,1,1
wpn_sil_sr1m,1,1
