~, Pda_encyclopedia_name, St_prop_weight, St_data_export_ammo_box_size, St_upgr_cost, BR1, BR2, BR3, BR4, BR5, BR6, BR7, St_data_export_projectiles, Ui_inv_damage, Ui_inv_accuracy, Ui_inv_wrange, St_data_export_falloff, Ui_inv_bspeed, St_data_export_impulse, St_data_export_weapon_degradation
ammo_7.62x54_7h1,"ammo-7.62x54-7n1",0.22,10,2250,,,,30,,,,1,0.85,66%,100%,25%,150%,150%,40%
ammo_20x70_buck,"ammo_20x70_buck",0.35,10,600,3,,,,,,,9,0.3,380%,75%,100%,100%,70%,105%
ammo_5.56x45_fmj,"ammo-5.56x45-fmj",0.17,15,1500,,,29,,,,,1,1.05,66%,100%,20%,160%,57%,40%
ammo_7.62x51_ap,"ammo-7.62x51_ap",0.38,15,7500,,,,,,,62,1,0.89,50%,100%,25%,150%,50%,40%
ammo_7.62x39_ap,"ammo-7.62x39_ap",0.24,15,5450,,,,,,,55,1,1.17,75%,100%,30%,120%,60%,40%
ammo_12x76_zhekan,"ammo-12x76-zhekan",0.45,10,1650,,,24,,,,,1,2.7,50%,90%,80%,120%,190%,105%
ammo_4.6x30_fmj,"ammo-4.6x30-fmj",0.09,15,3000,,,25,,,,,1,1,66%,100%,80%,100%,36%,40%
ammo_5.56x45_ss190,"ammo-5.56x45-ss190",0.18,15,1600,,13,,,,,,1,1.57,66%,100%,20%,160%,57%,40%
ammo_pkm_100,"ammo-7.62x54-r",0.54,30,5000,,,,37,,,,1,1.02,90%,100%,10%,150%,60%,40%
ammo_7.62x54_ap,"ammo-7.62x54-ap",0.33,10,9500,,,,,,,80,1,0.85,90%,100%,5%,125%,170%,40%
ammo_23_eco,"ammo_23_eco",0.05,1,3500,,12,,,,,,1,1,50%,100%,15%,100%,15%,40%
ammo_7.62x51_fmj,"ammo-7.62x51_fmj",0.38,15,3000,,,,34,,,,1,0.89,50%,100%,25%,150%,66%,40%
ammo_7.62x25_ps,"ammo-7.62x25-ps",0.17,16,975,,,25,,,,,1,0.7,68%,100%,35%,187%,50%,40%
ammo_5.7x28_ss190,"ammo-5.7x28-ss190",0.09,20,2600,,,,,40,,,1,0.69,66%,100%,30%,150%,36%,40%
ammo_9x19_ap,"ammo-9x19-ap",0.14,15,2350,,,,34,,,,1,0.7,66%,100%,75%,187%,36%,40%
ammo_12.7x55_fmj,"ammo-12.7x55-fmj",0.44,10,3000,,,,38,,,,1,1.2,66%,100%,75%,80%,280%,40%
ammo_7.62x54_7h14,"ammo-7.62x54_7n14",0.22,10,4000,,,,,45,,,1,0.85,66%,100%,25%,150%,150%,40%
ammo_357_hp_mag,"ammo-357-hp",0.21,13,2600,,,19,,,,,1,2.6,50%,100%,80%,150%,75%,40%
ammo_5.45x39_fmj,"ammo-5.45x39-fmj",0.16,15,1350,,,27,,,,,1,1.14,66%,100%,25%,150%,60%,40%
ammo_23x75_barrikada,"ammo_23x75_barrikada",0.5,10,7000,,,,,,54,,1,4.2,66%,100%,70%,150%,400%,105%
ammo_7.92x33_fmj,"ammo-7.92x33_fmj",0.37,10,1350,,,27,,,,,1,1,85%,100%,25%,150%,150%,200%
ammo_5.45x39_ep,"ammo-5.45x39-ep",0.16,15,1600,10,,,,,,,1,1.75,66%,100%,25%,150%,55%,40%
ammo_m209,"ammo-m209",0.2,1,2264,,,,35,,,,0,0.8,66%,100%,100%,100%,135%,40%
