id,name_key,field_name,spot,level,x,y,z,anomaly_types,artefacts
jup_b10_anomal_zone,,jup_b10_anomaly_spot,jup_b10_anomaly_spot,jupiter,-387.293,11.546,315.802,Thermal,af_dummy_glassbeads:28.6;af_itcher:28.6;af_cristall:4.8;af_lobster_eyes:4.8;af_pin:4.8;af_generator:2.1;af_cell:1.2;af_dragon_eye:1.2;af_elektron:1.2;af_grapes:1.2;af_kogot:1.2;af_lighthouse:1.2;af_medallion:1.2;af_repei:1.2;af_serofim:1.2;af_star_phantom:1.2;af_sun:1.2;af_ball:0.9;af_black_angel:0.9;af_chelust:0.9;af_cocoon:0.9;af_ear:0.9;af_fonar:0.9;af_kislushka:0.9;af_moh:0.9;af_peas:0.9;af_sandstone:0.9;af_signet:0.9;af_skull_miser:0.9;af_spaika:0.9;af_tapeworm:0.9;af_zhelch:0.9
jup_b1_anomal_zone,,jup_b1_anomaly_spot,jup_b1_zone_field_psychic_average,jupiter,-365.249,3.569,411.719,Psi,af_cristall_flower:28.6;af_soul:28.6;af_generator:2.1;af_bracelet:2.0;af_dummy_dummy:2.0;af_electra_moonlight:2.0;af_eye:2.0;af_fuzz_kolobok:2.0;af_lobster_eyes:2.0;af_pin:2.0;af_cell:1.2;af_dragon_eye:1.2;af_elektron:1.2;af_grapes:1.2;af_kogot:1.2;af_lighthouse:1.2;af_medallion:1.2;af_repei:1.2;af_serofim:1.2;af_star_phantom:1.2;af_sun:1.2;af_ball:0.9;af_black_angel:0.9;af_chelust:0.9;af_cocoon:0.9;af_ear:0.9;af_fonar:0.9;af_kislushka:0.9;af_moh:0.9;af_peas:0.9;af_sandstone:0.9;af_signet:0.9;af_skull_miser:0.9;af_spaika:0.9;af_tapeworm:0.9;af_zhelch:0.9
jup_b200_anomal_zone,,jup_b200_anomaly_spot,jup_b200_anomaly_spot,jupiter,395.931,3.570,357.002,,af_soul:25.0;af_cristall_flower:16.7;af_medusa:8.3;af_mincer_meat:8.3;af_night_star:8.3;af_fuzz_kolobok:2.9;af_empty:1.7;af_gravi:1.7;af_sponge:1.7;af_vyvert:1.7;af_cell:1.4;af_dragon_eye:1.4;af_elektron:1.4;af_generator:1.4;af_grapes:1.4;af_kogot:1.4;af_lighthouse:1.4;af_medallion:1.4;af_repei:1.4;af_serofim:1.4;af_star_phantom:1.4;af_sun:1.4;af_bracelet:1.2;af_dummy_dummy:1.2;af_electra_moonlight:1.2;af_eye:1.2;af_lobster_eyes:1.2;af_pin:1.2
jup_b201_anomal_zone,,jup_b201_anomaly_spot,jup_b201_anomaly_spot,jupiter,223.792,16.369,-304.354,Chemical,af_blood:20.0;af_cristall_flower:20.0;af_mincer_meat:20.0;af_soul:20.0;af_bracelet:5.0;af_eye:5.0;af_fuzz_kolobok:5.0;af_vyvert:5.0
jup_b206_anomal_zone,,jup_b206_anomaly_spot,jup_b206_anomaly_spot,jupiter,52.488,6.896,20.690,Chemical,af_blood:20.0;af_cristall_flower:20.0;af_mincer_meat:20.0;af_soul:20.0;af_bracelet:5.0;af_eye:5.0;af_fuzz_kolobok:5.0;af_vyvert:5.0
jup_b209_anomal_zone,,jup_b209_anomaly_spot,jup_b209_anomaly_spot,jupiter,221.163,5.716,-91.293,Thermal,af_dummy_glassbeads:40.0;af_itcher:40.0;af_cristall:6.7;af_lobster_eyes:6.7;af_pin:6.7
jup_b211_anomal_zone,,jup_b211_anomaly_spot,jup_b211_anomaly_spot,jupiter,262.378,-5.270,459.367,Chemical,af_blood:20.0;af_cristall_flower:20.0;af_mincer_meat:20.0;af_soul:20.0;af_bracelet:5.0;af_eye:5.0;af_fuzz_kolobok:5.0;af_vyvert:5.0
jup_b214_anomal_zone,,jup_b214_anomaly_spot,jup_b214_anomaly_spot,jupiter,243.765,35.694,-435.801,,af_cristall_flower:25.0;af_soul:25.0;af_grapes:4.7;af_lighthouse:4.7;af_star_phantom:4.7;af_sun:4.7;af_bat:3.3;af_bracelet:2.4;af_dummy_dummy:2.4;af_electra_moonlight:2.4;af_eye:2.4;af_fuzz_kolobok:2.4;af_lobster_eyes:2.4;af_pin:2.4;af_cell:1.4;af_dragon_eye:1.4;af_elektron:1.4;af_generator:1.4;af_kogot:1.4;af_medallion:1.4;af_repei:1.4;af_serofim:1.4
jup_b25_anomal_zone,,jup_b25_anomaly_spot,jup_b25_anomaly_spot,jupiter,265.467,-33.749,84.250,Chemical,af_blood:16.7;af_cristall_flower:16.7;af_mincer_meat:16.7;af_soul:16.7;af_bracelet:4.2;af_eye:4.2;af_fuzz_kolobok:4.2;af_vyvert:4.2;af_cell:1.4;af_dragon_eye:1.4;af_elektron:1.4;af_generator:1.4;af_grapes:1.4;af_kogot:1.4;af_lighthouse:1.4;af_medallion:1.4;af_repei:1.4;af_serofim:1.4;af_star_phantom:1.4;af_sun:1.4
jup_b32_anomal_zone,,jup_b32_anomaly_spot,jup_b32_anomaly_spot,jupiter,-72.982,-0.389,-144.713,,af_dummy_battery:33.3;af_electra_sparkler:33.3;af_cristall:5.6;af_electra_moonlight:5.6;af_ring:5.6;af_cell:1.4;af_dragon_eye:1.4;af_elektron:1.4;af_generator:1.4;af_grapes:1.4;af_kogot:1.4;af_lighthouse:1.4;af_medallion:1.4;af_repei:1.4;af_serofim:1.4;af_star_phantom:1.4;af_sun:1.4
