~,pda_encyclopedia_name,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,st_data_export_is_backpack,st_data_export_jump_height,st_data_export_bonus_mutant_part_chance,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,st_prop_restore_health,ui_inv_satiety,st_prop_restore_bleeding,st_data_export_restore_radiation,ui_inv_outfit_power_restore,ui_inv_outfit_additional_weight
af_camelbak,st_af_camelbak_name,0.31,8500,2,N,0,0%,0%,0%,0%,0%,-12%,0%,0%,0%,0%,0,0%,0,0,10%,0
af_camelbak_up,st_af_camelbak_up_name,1.53,17000,5,N,0,0%,0%,0%,0%,0%,-21%,0%,0%,0%,0%,0,0%,0,0,30%,0
af_cooler,st_af_cooler_name,0.98,18420,2,N,0,0%,0%,0%,0%,0%,10%,-5.414715%,0%,0%,0%,3,0%,0.30675,0,-21%,0
af_cooler_up,st_af_cooler_up_name,3.56,36840,5,N,0,0%,0%,0%,0%,0%,20%,-10.25946%,0%,0%,0%,6,0%,0.6135,0,-30%,0
af_frames,st_af_frames_name,0.73,14200,2,N,0,0%,0%,0%,0%,-12%,0%,0%,6%,0%,0%,0,0%,0,0,0%,0
af_frames_up,st_af_frames_up_name,1.23,28400,4,N,0,0%,0%,0%,0%,-21%,0%,0%,16%,0%,0%,0,0%,0,0,0%,0
af_freon,st_af_freon_name,0.72,9850,2,N,0,0%,0%,0%,0%,0%,0%,9.803484%,0%,0%,0%,0,0%,-0.30675,0,0%,0
af_freon_up,st_af_freon_up_name,2.34,11320,4,N,0,0%,0%,0%,0%,0%,0%,19.606968%,0%,0%,0%,0,0%,-0.61185,0,0%,0
af_grid,st_af_grid_name,0.44,12650,3,N,0,0%,0%,0%,0%,-12%,0%,0%,0%,0%,0%,0,0%,0,0,0%,5
af_grid_up,st_af_grid_up_name,1.47,25300,5,N,0,0%,0%,0%,0%,-21%,0%,0%,0%,0%,0%,0,0%,0,0,0%,15
af_kevlar,st_af_kevlar_name,1.28,6380,3,N,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0,0%,0,0,0%,0
af_kevlar_up,st_af_kevlar_up_name,2.98,13380,4,N,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0,0%,0,0,0%,0
af_plates,st_af_plates_name,1.85,7860,3,N,0,0%,0%,0%,0%,0%,0%,0%,0%,4%,6%,0,0%,0,0,0%,0
af_plates_up,st_af_plates_up_name,3.53,16860,5,N,0,0%,0%,0%,0%,0%,0%,0%,0%,7%,9%,0,0%,0,0,0%,0
af_surge,st_af_surge_name,1.56,8500,2,N,0,0%,0%,0%,20%,20%,20%,0%,0%,0%,0%,0,0%,0,0,-21%,0
