~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
ammo_11.43x23_fmj,ammo-11.43x23-fmj,5,recipe_ammo_0,,ammo-11.43x23-fmj,x2,st_prt_i_ammo,x3,,,,
ammo_11.43x23_hydro,ammo-11.43x23-hydro,5,recipe_ammo_0,,ammo-11.43x23-hydro,x2,st_prt_i_ammo,x3,,,,
ammo_12.7x55_ap,ammo_12.7x55_ap,5,recipe_ammo_0,,ammo_12.7x55_ap,x2,st_prt_i_ammo,x7,,,,
ammo_12.7x55_fmj,ammo-12.7x55-fmj,5,recipe_ammo_0,,ammo-12.7x55-fmj,x2,st_prt_i_ammo,x7,,,,
ammo_12x70_buck,ammo-12x70-buck,5,recipe_ammo_0,,ammo-12x70-buck,x2,st_prt_i_ammo,x3,,,,
ammo_12x76_dart,ammo-12x76-dart,5,recipe_ammo_0,,ammo-12x76-dart,x2,st_prt_i_ammo,x3,,,,
ammo_12x76_zhekan,ammo-12x76-zhekan,5,recipe_ammo_0,,ammo-12x76-zhekan,x2,st_prt_i_ammo,x3,,,,
ammo_357_hp_mag,ammo-357-hp,5,recipe_ammo_0,,ammo-357-hp,x2,st_prt_i_ammo,x7,,,,
ammo_5.45x39_ap,ammo-5.45x39-ap,5,recipe_ammo_0,,ammo-5.45x39-ap,x2,st_prt_i_ammo,x4,,,,
ammo_5.45x39_ep,ammo-5.45x39-ep,5,recipe_ammo_0,,ammo-5.45x39-ep,x2,st_prt_i_ammo,x4,,,,
ammo_5.45x39_fmj,ammo-5.45x39-fmj,5,recipe_ammo_0,,ammo-5.45x39-fmj,x2,st_prt_i_ammo,x4,,,,
ammo_5.56x45_ap,ammo-5.56x45-ap,5,recipe_ammo_0,,ammo-5.56x45-ap,x2,st_prt_i_ammo,x4,,,,
ammo_5.56x45_fmj,ammo-5.56x45-fmj,5,recipe_ammo_0,,ammo-5.56x45-fmj,x2,st_prt_i_ammo,x4,,,,
ammo_5.56x45_ss190,ammo-5.56x45-ss190,5,recipe_ammo_0,,ammo-5.56x45-ss190,x2,st_prt_i_ammo,x4,,,,
ammo_5.7x28_ss190,ammo-5.7x28-ss190,5,recipe_ammo_0,,ammo-5.7x28-ss190,x2,st_prt_i_ammo,x4,,,,
ammo_5.7x28_ss195,ammo-5.7x28-ss195,5,recipe_ammo_0,,ammo-5.7x28-ss195,x2,st_prt_i_ammo,x4,,,,
ammo_7.62x25_p,ammo-7.62x25-p,5,recipe_ammo_0,,ammo-7.62x25-p,x2,st_prt_i_ammo,x5,,,,
ammo_7.62x25_ps,ammo-7.62x25-ps,5,recipe_ammo_0,,ammo-7.62x25-ps,x2,st_prt_i_ammo,x5,,,,
ammo_7.62x39_ap,ammo-7.62x39_ap,5,recipe_ammo_0,,ammo-7.62x39_ap,x2,st_prt_i_ammo,x5,,,,
ammo_7.62x39_fmj,ammo-7.62x39_fmj,5,recipe_ammo_0,,ammo-7.62x39_fmj,x2,st_prt_i_ammo,x5,,,,
ammo_7.62x51_ap,ammo-7.62x51_ap,5,recipe_ammo_0,,ammo-7.62x51_ap,x2,st_prt_i_ammo,x5,,,,
ammo_7.62x51_fmj,ammo-7.62x51_fmj,5,recipe_ammo_0,,ammo-7.62x51_fmj,x2,st_prt_i_ammo,x5,,,,
ammo_7.62x54_7h1,ammo-7.62x54-7n1,5,recipe_ammo_0,,ammo-7.62x54-7n1,x2,st_prt_i_ammo,x5,,,,
ammo_7.62x54_7h14,ammo-7.62x54_7n14,5,recipe_ammo_0,,ammo-7.62x54_7n14,x2,st_prt_i_ammo,x5,,,,
ammo_7.62x54_ap,ammo-7.62x54-ap,5,recipe_ammo_0,,ammo-7.62x54-ap,x2,st_prt_i_ammo,x5,,,,
ammo_7.92x33_ap,ammo-7.92x33_ap,5,recipe_ammo_0,,ammo-7.92x33_ap,x2,st_prt_i_ammo,x4,,,,
ammo_7.92x33_fmj,ammo-7.92x33_fmj,5,recipe_ammo_0,,ammo-7.92x33_fmj,x2,st_prt_i_ammo,x4,,,,
ammo_9x18_ap,ammo-9x18-ap,5,recipe_ammo_0,,ammo-9x18-ap,x1,st_prt_i_ammo,x3,,,,
ammo_9x18_fmj,ammo-9x18-fmj,5,recipe_ammo_0,,ammo-9x18-fmj,x1,st_prt_i_ammo,x3,,,,
ammo_9x18_pmm,ammo-9x18-pmm,5,recipe_ammo_0,,ammo-9x18-pmm,x1,st_prt_i_ammo,x3,,,,
ammo_9x19_ap,ammo-9x19-ap,5,recipe_ammo_0,,ammo-9x19-ap,x1,st_prt_i_ammo,x3,,,,
ammo_9x19_fmj,ammo-9x19-fmj,5,recipe_ammo_0,,ammo-9x19-fmj,x1,st_prt_i_ammo,x3,,,,
ammo_9x19_pbp,ammo-9x19-pbp,5,recipe_ammo_0,,ammo-9x19-pbp,x1,st_prt_i_ammo,x3,,,,
