~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
af_baloon,st_af_baloon_name,6,recipe_advanced_4,st_gamma_recipe_advanced_4,st_af_bracelet_name,x1,st_af_cristall_name,x1,mutant_chimera_cogot,x4,,
af_black_spray,st_af_black_spray_name,6,recipe_advanced_4,st_gamma_recipe_advanced_4,st_af_dummy_dummy_name,x1,st_af_sponge_name,x1,mutant_part_controller_brain_tissue,x2,mutant_burer_hand,x3
af_blood,st_af_blood_name,6,recipe_basic_0,,st_af_sandstone_name,x1,mutant_psevdodog_meat,x1,mutant_zombi_hand,x1,,
af_bracelet,st_af_bracelet_name,6,recipe_basic_4,st_gamma_recipe_basic_4,st_af_blood_name,x1,mutant_krovosos_meat,x1,,,,
af_compass,st_af_compass_name,6,recipe_expert_4,st_gamma_recipe_expert_4,st_af_full_empty_name,x1,st_af_black_spray_name,x1,mutant_part_controller_brain_tissue,x4,mutant_heart_chimera,x4
af_cristall,st_af_cristall_name,6,recipe_basic_4,st_gamma_recipe_basic_4,st_af_dummy_glassbeads_name,x1,mutant_fang_psevdodog,x1,mutant_zombi_hand,x2,,
af_cristall_flower,st_af_cristall_flower_name,6,recipe_basic_0,,st_af_black_angel_name,x1,mutant_dog_heart,x1,mutant_snork_leg,x1,,
af_dummy_battery,st_af_dummy_battery_name,6,recipe_basic_0,,st_af_generator_name,x1,mutant_cat_tail,x1,mutant_dog_liver,x1,,
af_dummy_dummy,st_af_dummy_dummy_name,6,recipe_basic_4,st_gamma_recipe_basic_4,st_af_dummy_battery_name,x1,mutant_brain_burer,x1,,,,
af_dummy_glassbeads,st_af_dummy_glassbeads_name,6,recipe_basic_0,,st_af_sun_name,x1,mutant_cat_tail,x1,mutant_tusk_boar,x1,,
af_electra_flash,st_af_electra_flash_name,6,recipe_advanced_4,st_gamma_recipe_advanced_4,st_af_ring_name,x1,st_af_electra_moonlight_name,x1,mutant_controller_hand,x3,,
af_electra_moonlight,st_af_electra_moonlight_name,6,recipe_basic_4,st_gamma_recipe_basic_4,st_af_dummy_battery_name,x1,mutant_psysucker_hand,x1,mutant_psevdodog_tail,x1,,
af_electra_sparkler,st_af_electra_sparkler_name,6,recipe_basic_0,,st_af_fonar_name,x1,mutant_cat_thyroid,x1,mutant_cat_claw,x1,,
af_empty,st_af_empty_name,6,recipe_basic_4,st_gamma_recipe_basic_4,st_af_medusa_name,x1,mutant_fang_psevdodog,x1,mutant_snork_mask,x1,,
af_eye,st_af_eye_name,6,recipe_basic_4,st_gamma_recipe_basic_4,st_af_blood_name,x1,mutant_lurker_eye,x2,mutant_flesh_eye,x1,,
af_fire,st_af_fire_name,6,recipe_advanced_4,st_gamma_recipe_advanced_4,st_af_pin_name,x1,st_af_eye_name,x1,mutant_chimera_claw,x2,mutant_chimera_cogot,x3
af_fire_loop,st_af_fire_loop_name,6,recipe_expert_4,st_gamma_recipe_expert_4,st_af_fire_name,x1,st_af_fireball_name,x1,mutant_heart_chimera,x6,mutant_controller_hand,x6
af_fireball,st_af_fireball_name,6,recipe_advanced_4,st_gamma_recipe_advanced_4,st_af_cristall_name,x1,st_af_lobster_eyes_name,x1,mutant_pseudogigant_eye,x3,,
af_full_empty,st_af_full_empty_name,6,recipe_advanced_4,st_gamma_recipe_advanced_4,st_af_empty_name,x1,st_af_vyvert_name,x1,mutant_pseudogigant_hand,x4,,
af_fuzz_kolobok,st_af_fuzz_kolobok_name,6,recipe_basic_4,st_gamma_recipe_basic_4,st_af_soul_name,x1,mutant_krovosos_meat,x1,,,,
af_glass,st_af_glass_name,6,recipe_advanced_4,st_gamma_recipe_advanced_4,st_af_fuzz_kolobok_name,x1,mutant_chimera_meat,x4,,,,
af_gold_fish,st_af_gold_fish_name,6,recipe_advanced_4,st_gamma_recipe_advanced_4,st_af_gravi_name,x1,mutant_burer_hand,x3,mutant_controller_hand,x1,mutant_chimera_claw,x2
af_gravi,st_af_gravi_name,6,recipe_basic_4,st_gamma_recipe_basic_4,st_af_night_star_name,x1,mutant_snork_hand,x1,mutant_zombi_hand,x1,mutant_fracture_hand,x1
af_ice,st_af_ice_name,6,recipe_advanced_4,st_gamma_recipe_advanced_4,st_af_ring_name,x1,mutant_krovosos_jaw,x2,mutant_chimera_claw,x2,mutant_part_controller_brain_tissue,x1
af_itcher,st_af_itcher_name,6,recipe_basic_0,,st_af_zhelch_name,x1,mutant_cat_thyroid,x1,mutant_dog_heart,x1,,
af_lobster_eyes,st_af_lobster_eyes_name,6,recipe_basic_4,st_gamma_recipe_basic_4,st_af_cristall_flower_name,x1,mutant_flesh_eye,x2,,,,
af_medusa,st_af_medusa_name,6,recipe_basic_0,,st_af_spaika_name,x1,mutant_dog_tail,x2,mutant_cat_claw,x2,,
af_mincer_meat,st_af_mincer_meat_name,6,recipe_basic_0,,st_af_skull_miser_name,x1,mutant_flesh_meat,x1,mutant_dog_meat,x1,,
af_monolith,st_af_monolith_name,6,recipe_expert_4,st_gamma_recipe_expert_4,st_af_electra_flash_name,x1,st_af_baloon_name,x1,mutant_pseudogigant_hand,x4,mutant_pseudogigant_eye,x4
af_night_star,st_af_night_star_name,6,recipe_basic_0,,st_af_signet_name,x1,mutant_boar_leg,x1,mutant_dog_liver,x1,,
af_oasis_heart,st_af_oasis_heart_name,6,recipe_expert_4,st_gamma_recipe_expert_4,st_af_ice_name,x1,st_af_glass_name,x1,mutant_heart_bloodsucker,x6,mutant_heart_chimera,x4
af_pin,st_af_pin_name,6,recipe_basic_4,st_gamma_recipe_basic_4,st_af_itcher_name,x1,mutant_snork_leg,x1,mutant_boar_leg,x2,,
af_ring,st_af_ring_name,6,recipe_basic_4,st_gamma_recipe_basic_4,st_af_electra_sparkler_name,x1,mutant_lurker_tail,x1,mutant_krovosos_meat,x1,,
af_soul,st_af_soul_name,6,recipe_basic_0,,st_af_ear_name,x1,mutant_dog_meat,x3,,,,
af_sponge,st_af_sponge_name,6,recipe_basic_4,st_gamma_recipe_basic_4,st_af_itcher_name,x1,mutant_snork_mask,x1,mutant_tusk_boar,x1,,
af_vyvert,st_af_vyvert_name,6,recipe_basic_4,st_gamma_recipe_basic_4,st_af_mincer_meat_name,x1,mutant_lurker_tail,x2,mutant_fracture_hand,x1,,
