~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
af_camelbak,st_af_camelbak_name,2,recipe_basic_1,st_gamma_recipe_basic_1,st_prt_i_scrap,x5,st_prt_o_ballistic_9,x4,st_prt_o_ballistic_13,x3,st_prt_o_retardant_13,x3
af_camelbak_up,st_af_camelbak_up_name,2,recipe_advanced_1,st_gamma_recipe_advanced_1,st_af_camelbak_name,x1,st_prt_o_ballistic_10,x4,st_prt_o_ballistic_14,x4,st_prt_o_retardant_14,x4
af_cooler,st_af_cooler_name,2,recipe_basic_1,st_gamma_recipe_basic_1,st_prt_o_retardant_7,x4,st_prt_i_scrap,x5,st_prt_i_fasteners,x4,st_prt_o_fabrics_4,x4
af_cooler_up,st_af_cooler_up_name,2,recipe_advanced_1,st_gamma_recipe_advanced_1,st_af_cooler_name,x1,st_prt_o_retardant_8,x8,st_prt_o_retardant_17,x8,,
af_frames,st_af_frames_name,1,recipe_basic_1,st_gamma_recipe_basic_1,st_prt_i_scrap,x6,st_prt_o_ballistic_15,x3,st_prt_i_fasteners,x4,st_prt_o_fabrics_3,x6
af_frames_up,st_af_frames_up_name,2,recipe_advanced_1,st_gamma_recipe_advanced_1,st_af_frames_name,x1,st_prt_o_ballistic_16,x12,st_prt_i_fasteners,x12,st_prt_i_scrap,x12
af_freon,st_af_freon_name,2,recipe_basic_1,st_gamma_recipe_basic_1,st_prt_o_retardant_1,x4,st_prt_o_retardant_5,x5,st_prt_i_scrap,x3,st_prt_i_plastic,x3
af_freon_up,st_af_freon_up_name,2,recipe_advanced_1,st_gamma_recipe_advanced_1,st_af_freon_name,x1,st_prt_o_retardant_2,x12,st_prt_o_retardant_6,x12,,
af_grid,st_af_grid_name,1,recipe_basic_1,st_gamma_recipe_basic_1,st_prt_o_ballistic_5,x2,st_prt_i_scrap,x4,st_prt_i_fasteners,x4,st_prt_o_fabrics_3,x4
af_grid_up,st_af_grid_up_name,2,recipe_advanced_1,st_gamma_recipe_advanced_1,st_af_grid_name,x1,st_prt_o_ballistic_6,x4,st_prt_i_fasteners,x4,st_prt_o_fabrics_4,x4
af_kevlar_up,st_af_kevlar_up_name,1,recipe_basic_1,st_gamma_recipe_basic_1,st_af_kevlar_name,x1,st_prt_o_ballistic_19,x8,st_prt_o_retardant_5,x8,st_prt_o_ballistic_18,x4
af_plates,st_af_plates_name,2,recipe_advanced_1,st_gamma_recipe_advanced_1,st_af_kevlar_up_name,x1,st_prt_o_ballistic_13,x9,st_prt_o_ballistic_20,x9,st_prt_o_ballistic_9,x5
af_plates_up,st_af_plates_up_name,3,recipe_expert_1,st_gamma_recipe_expert_1,st_af_plates_name,x1,st_prt_o_ballistic_15,x10,st_prt_o_ballistic_16,x10,st_prt_o_ballistic_5,x6
af_surge,st_af_surge_name,1,recipe_basic_1,st_gamma_recipe_basic_1,st_prt_i_resistors,x6,st_prt_i_scrap,x4,st_prt_i_fasteners,x4,st_prt_o_retardant_17,x3
af_surge_up,st_af_surge_up_name,2,recipe_advanced_1,st_gamma_recipe_advanced_1,st_af_surge_name,x1,st_prt_i_resistors,x8,st_prt_i_scrap,x8,st_prt_o_retardant_18,x4
batteries_exo,st_batteries_ccell,1,recipe_expert_1,st_gamma_recipe_expert_1,ammo-gauss,x2,,,st_prt_i_fasteners,x2,st_prt_i_scrap,x2
compression_bag,st_compression_bag,1,recipe_basic_1,st_gamma_recipe_basic_1,st_sewing_thread,x3,st_prt_o_fabrics_4,x2,st_prt_o_fabrics_3,x2,,
cooking,st_cooking,1,recipe_basic_1,st_gamma_recipe_basic_1,st_cutlery,x2,st_prt_i_scrap,x2,,,,
device_metal_torch,st_placeable_metal_torch,1,recipe_basic_0,,st_lead_box_name,x1,st_device_flashlight,x1,st_prt_i_capacitors,x2,st_prt_i_scrap,x2
equ_military_pack,st_equ_milpack_name,2,recipe_advanced_1,st_gamma_recipe_advanced_1,st_sewing_thread,x12,st_equ_smilpack_name,x1,st_prt_o_fabrics_4,x13,st_prt_o_fabrics_3,x12
equ_small_military_pack,st_equ_smilpack_name,2,recipe_advanced_1,st_gamma_recipe_advanced_1,st_sewing_thread,x10,st_equ_smallpack_name,x1,st_prt_o_fabrics_4,x10,st_prt_o_fabrics_3,x10
equ_small_pack,st_equ_smallpack_name,1,recipe_basic_1,st_gamma_recipe_basic_1,st_sewing_thread,x8,st_itm_backpack_name,x1,st_prt_o_fabrics_3,x8,st_prt_o_fabrics_2,x4
equ_tourist_pack,st_equ_touristpack_name,3,recipe_expert_1,st_gamma_recipe_expert_1,st_sewing_thread,x14,st_equ_milpack_name,x1,st_prt_o_fabrics_1,x10,st_prt_o_fabrics_2,x15
fieldcooker,st_fieldcooker,2,recipe_advanced_1,st_gamma_recipe_advanced_1,st_cooking,x5,st_balon_gas,x1,st_prt_i_scrap,x10,st_prt_i_fasteners,x5
itm_backpack,st_itm_backpack_name,1,recipe_basic_1,st_gamma_recipe_basic_1,st_sewing_thread,x3,st_prt_o_fabrics_1,x4,st_prt_o_fabrics_3,x4,,
itm_sleepbag,st_itm_sleepbag_name,1,recipe_basic_1,st_gamma_recipe_basic_1,st_sewing_thread,x3,st_prt_o_fabrics_3,x2,st_prt_o_fabrics_4,x2,,
itm_tent,st_itm_tent_name,1,recipe_basic_1,st_gamma_recipe_basic_1,st_rope,x6,st_prt_i_wood,x3,st_prt_o_fabrics_4,x6,st_ball_hammer,x2
kit_hunt,st_kit_hunt,1,recipe_basic_1,st_gamma_recipe_basic_1,st_sewing_thread,x12,st_prt_o_fabrics_4,x8,st_swiss,x8,st_knife_6x4,x1
leatherman_tool,st_leatherman_tool,1,recipe_basic_1,st_gamma_recipe_basic_1,st_prt_i_scrap,x4,st_prt_i_fasteners,x4,st_swiss,x1,st_ball_hammer,x1
radio_item,st_placeable_radio,1,recipe_basic_0,,st_radio2,x1,st_prt_i_copper,x2,st_prt_i_transistors,x1,st_prt_i_resistors,x2
wpn_binoc_inv,st_binocular_name,1,recipe_basic_1,st_gamma_recipe_basic_1,st_welding_goggles,x2,st_mirror,x4,st_prt_i_scrap,x4,,
