~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
armor_repair_fa,st_armor_repair_fa,1,recipe_basic_0,,st_sewing_kit_b,x1,st_sewing_thread,x2,st_duct_tape,x2,st_prt_o_fabrics_4,x3
cleaning_kit_p,st_cleaning_kit_p_new,1,recipe_basic_0,,st_gun_oil_ru,x3,st_swiss,x1,st_grooming,x2,st_prt_i_fasteners,x1
cleaning_kit_r5,st_cleaning_kit_r5_new,1,recipe_basic_0,,st_gun_oil,x3,st_rasp_tool,x2,st_steel_wool,x1,st_prt_i_fasteners,x4
cleaning_kit_r7,st_cleaning_kit_r7_new,1,recipe_basic_0,,st_gun_oil,x4,st_rasp_tool,x5,st_steel_wool,x3,st_prt_i_scrap,x3
cleaning_kit_s,st_cleaning_kit_s_new,1,recipe_basic_0,,st_gun_oil_ru_d,x3,st_grooming,x2,st_rasp_tool,x2,st_prt_i_fasteners,x4
exo_repair_kit,st_exo_repair_kit,3,recipe_ammo_4,st_gamma_recipe_ammo_4,st_exolight_repair_kit,x10,st_sewing_kit_h,x4,st_sewing_kit_a,x8,st_sewing_kit_b,x8
heavy_repair_kit,st_exolight_repair_kit,2,recipe_advanced_0,,st_medium_repair_kit,x12,st_itm_advancedkit_name,x2,st_sewing_kit_h,x8,st_glue_a,x6
heavy_sewing_thread,st_heavy_sewing_thread,1,recipe_basic_0,,st_sewing_thread,x4,st_sewing_kit_b,x3,st_swiss,x1,,
helm_cloth_mask,st_helm_cloth_mask,1,recipe_basic_0,,st_prt_o_fabrics_1,x5,st_prt_o_fabrics_2,x5,st_prt_o_fabrics_3,x5,st_sewing_thread,x1
itm_advancedkit,st_itm_advancedkit_name,1,recipe_basic_0,,st_itm_basickit_name,x5,st_prt_i_scrap,x5,,,,
itm_ammokit,st_itm_ammokit,1,recipe_basic_1,st_gamma_recipe_basic_1,st_itm_basickit_name,x2,st_powder_mag,x6,st_rifle7_ap_rounds,x6,,
itm_drugkit,st_itm_drugkit,1,recipe_basic_1,st_gamma_recipe_basic_1,st_itm_basickit_name,x2,st_medkit_science,x3,st_rebirth,x1,st_drug_anabiotic,x1
light_repair_kit,st_light_repair_kit,1,recipe_basic_0,,st_glue_a,x2,st_glue_b,x2,st_sewing_thread,x4,st_swiss,x3
medium_repair_kit,st_medium_repair_kit,2,recipe_advanced_0,,st_sewing_kit_b,x3,st_heavy_sewing_thread,x2,st_glue_b,x3,st_grooming,x2
ramrod_tool,st_ramrod_tool,1,recipe_basic_0,,st_prt_i_scrap,x3,st_prt_i_fasteners,x3,st_ball_hammer,x1,st_grooming,x3
rasp_tool,st_rasp_tool,1,recipe_basic_0,,st_prt_i_scrap,x2,st_prt_i_fasteners,x2,st_prt_i_wood,x2,st_grooming,x1
sewing_kit_a,st_sewing_kit_a,1,recipe_basic_0,,st_glue_a,x4,st_sewing_thread,x4,st_swiss,x2,st_prt_o_fabrics_4,x4
sewing_kit_b,st_sewing_kit_b,1,recipe_basic_0,,st_glue_b,x4,st_sewing_thread,x3,st_swiss,x1,st_prt_o_fabrics_4,x3
sewing_kit_h,st_sewing_kit_h,1,recipe_basic_0,,st_glue_e,x4,st_sewing_thread,x5,st_swiss,x3,st_prt_o_fabrics_4,x5
toolkit_p,st_toolkit_p_new,1,recipe_basic_0,,st_cleaning_kit_p_new,x4,st_gun_oil_ru_d,x3,st_grooming,x4,st_steel_wool,x1
toolkit_r5,st_toolkit_r5_new,2,recipe_advanced_0,,st_cleaning_kit_r5_new,x4,st_solvent,x5,st_ramrod_tool,x4,st_steel_wool,x3
toolkit_r7,st_toolkit_r7_new,3,recipe_expert_0,,st_cleaning_kit_r7_new,x20,st_solvent,x7,st_ramrod_tool,x6,st_steel_wool,x4
toolkit_s,st_toolkit_s_new,1,recipe_basic_0,,st_cleaning_kit_s_new,x4,st_gun_oil,x3,st_ramrod_tool,x4,st_steel_wool,x2
