~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,st_data_export_sleepiness,st_data_export_thirst,st_data_export_eat_alcohol,st_data_export_eat_health_change,st_data_export_limb_duration,st_data_export_first_aid_head,st_data_export_first_aid_torso,st_data_export_first_aid_arm,st_data_export_first_aid_leg,st_data_export_post_heal_head,st_data_export_post_heal_torso,st_data_export_post_heal_arm,st_data_export_post_heal_leg,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_satiety,st_ui_number_of_uses,ui_inv_effect_time,st_prop_restore_health,st_data_export_restore_health_max,st_prop_restore_bleeding,st_data_export_restore_bleeding_max,st_data_export_restore_radiation,st_data_export_restore_radiation_max,ui_inv_outfit_power_restore,st_data_export_power_restore_max,ui_inv_outfit_radiation_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_additional_weight,st_data_export_used_in_crafting,st_data_export_can_be_crafted
adrenalin,st_adrenalin,st_adrenalin_descr,0.05,6520,5,-23%,3%,-100%,-1.2%,60,10,10,5,5,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,31%,1,2184,0%,0%,0,0,0,0,6.29%,13737%,0%,0%,0%,22.29,N,Y
akvatab,st_akvatab,st_akvatab_descr,0.01,4524,4,1%,3%,10%,0%,0,0,0,0,0,0,0,4,4,0%,0%,0%,0%,0%,0%,0%,0%,0%,-13%,3,36,0.4%,14%,0,0,0,0,0%,0%,0%,0%,0%,0.00,Y,Y
analgetic,st_analgetic,st_analgetic_descr,0.08,1100,2,0%,0%,0%,5%,60,4,4,2,2,0,0,0,0,4%,4%,0%,0%,0%,0%,0%,4%,4%,0%,1,300,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0.00,Y,Y
antibio_chlor,st_antibio_chlor,st_antibio_chlor_descr,0.04,521,2,0%,0%,3%,0%,0,0,0,0,0,0,0,1,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,899,0%,0%,0,0,0,0,0%,0%,4%,11%,0%,0.00,Y,N
antibio_sulfad,st_antibio_sulfad,st_antibio_sulfad_descr,0.04,933,3,0%,0%,3%,-1.55%,0,0,0,0,0,0,0,0,1,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,3,899,0%,0%,0,0,0,0,0%,0%,7%,3%,0%,0.00,Y,N
antiemetic,st_antiemetic,st_antiemetic_descr,0.04,678,4,0%,0%,-4%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3,143,0%,0%,0,0,0,0,0%,0%,0%,0%,10%,0.00,Y,N
antirad,st_antirad,st_antirad_descr,0.05,2700,3,1%,3%,0%,-2%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-35%,1,10,0%,0%,0,0,185,1850,0%,0%,0%,0%,0%,0.00,N,Y
antirad_cystamine,st_antirad_cystamine,st_antirad_cystamine_descr,0.05,1950,3,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-4%,1,400,0%,0%,0,0,0,0,0%,0%,25%,0%,0%,0.00,N,Y
antirad_kalium,st_antirad_kalium,st_antirad_kalium_descr,0.05,2340,4,3%,0%,0%,-2%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-35%,3,120,0%,0%,0,0,27,3240,0%,0%,0%,0%,0%,0.00,Y,Y
bandage,st_bandage,st_bandage_descr,0.04,950,1,0%,0%,1%,0%,40,0,3,3,3,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-3%,1,25,0%,0%,0.6,15,0,0,0%,0%,0%,0%,0%,0.00,Y,Y
caffeine,st_caffeine,st_caffeine_descr,0.01,2550,2,-3%,3%,-17%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,5,266,0%,0%,0,0,0,0,0.8%,212%,0%,0%,0%,2.65,Y,N
cocaine,st_cocaine,st_cocaine_descr,0.01,3500,5,-16%,3%,-53%,-5.7%,60,3,3,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,21%,1,1644,0%,0%,0,0,0,0,4.42%,7266%,0%,0%,0%,12.64,Y,Y
drug_anabiotic,st_drug_anabiotic,st_drug_anabiotic_descr,0.01,3500,5,0%,3%,0%,0%,0,0,0,0,0,11,11,11,11,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,0,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0.00,N,Y
drug_antidot,st_drug_antidot,st_drug_antidot_descr,0.01,3360,4,1%,3%,0%,0%,0,0,0,0,0,3,3,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,3,296,0%,0%,0,0,0,0,0%,0%,0%,4%,0%,0.00,Y,Y
drug_booster,st_drug_booster,st_drug_booster_descr,0.18,1750,3,-1%,0%,-44%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,23%,1,548,0%,0%,0,0,0,0,2.8%,1534%,0%,0%,0%,6.12,Y,Y
drug_coagulant,st_drug_coagulant,st_drug_coagulant_descr,0.01,3350,4,0%,3%,0%,0%,0,0,0,0,0,0,4,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-17%,5,136,0%,0%,0.063,8.568,0,0,0%,0%,0%,0%,0%,0.00,Y,N
drug_psy_blockade,st_drug_psy_blockade,st_drug_psy_blockade_descr,0.01,4450,3,1%,3%,57%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-13%,5,1248,0%,0%,0,0,0,0,0%,0%,0%,0%,18%,0.00,Y,Y
drug_radioprotector,st_drug_radioprotector,st_drug_radioprotector_descr,0.01,1250,4,1%,1%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-4%,2,500,0%,0%,0,0,0,0,0%,0%,14%,0%,0%,0.00,Y,Y
drug_sleepingpills,st_sleepingpills,st_sleepingpills_descr,0.01,4200,3,30%,3%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,1248,0%,0%,0,0,0,0,0%,0%,0%,0%,6%,0.00,Y,Y
glucose,st_glucose,st_glucose_descr,0.02,2760,3,3%,1%,-38%,-0.9%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,39%,1,120,0%,0%,0,0,0,0,1.8%,216%,0%,0%,0%,0.00,N,Y
glucose_s,st_glucose_s,st_glucose_s_descr,0.01,1440,2,2%,1%,-11%,-0.9%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,17%,1,120,0%,0%,0,0,0,0,0.8%,96%,0%,0%,0%,0.00,Y,Y
jgut,st_jgut_zhgut,st_jgut_descr,0.02,2100,2,0%,0%,0%,0%,60,0,5,5,5,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-10%,1,10,0%,0%,7.5,75,0,0,0%,0%,0%,0%,0%,0.00,N,Y
joint,st_joint,st_joint_descr,0.00,380,2,2%,2%,-4%,-0.4%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-8%,1,420,0%,0%,0,0,0,0,0%,0%,0%,0%,4%,0.00,Y,Y
marijuana,st_marijuana,st_marijuana_descr,0.03,1040,4,14%,2%,-10%,-0.4%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,-30%,1,652,0%,0%,0,0,0,0,0%,0%,0%,0%,7%,0.00,Y,Y
medkit,st_medkit,st_medkit_descr,0.50,2500,2,0%,1%,0%,0%,60,5,5,2,2,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,33.4,3%,100%,0,0,15,501,0%,0%,0%,0%,0%,0.00,Y,Y
medkit_army,st_medkit_army,st_medkit_army_descr,0.50,4500,4,0%,1%,0%,0%,60,7,7,3,3,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,33.4,5%,167%,0.75,25.05,0,0,4%,133%,0%,0%,0%,0.00,Y,Y
