~, Pda_encyclopedia_name, Yan_st_sakharov_name, Hunter_gar_trader_name
mutant_part_boar_chop,mutant_boar_chop,175,180
mutant_part_boar_leg,mutant_boar_leg,175,201
mutant_part_brain_burer,mutant_brain_burer,459,525
mutant_part_burer_hand,mutant_burer_hand,771,882
mutant_part_cat_claw,mutant_cat_claw,85,97
mutant_part_cat_tail,mutant_cat_tail,181,207
mutant_part_cat_thyroid,mutant_cat_thyroid,108,124
mutant_part_chimera_claw,mutant_chimera_claw,207,237
mutant_part_chimera_kogot,mutant_chimera_cogot,981,1122
mutant_part_chimera_meat,mutant_chimera_meat,369,380
mutant_part_controller_hand,mutant_controller_hand,1097,1254
mutant_part_dog_heart,mutant_dog_heart,94,108
mutant_part_dog_liver,mutant_dog_liver,98,112
mutant_part_dog_meat,mutant_dog_meat,54,56
mutant_part_dog_tail,mutant_dog_tail,162,186
mutant_part_fang_psevdodog,mutant_fang_psevdodog,65,75
mutant_part_flesh_eye,mutant_flesh_eye,167,192
mutant_part_flesh_meat,mutant_flesh_meat,132,136
mutant_part_fracture_hand,mutant_fracture_hand,146,168
mutant_part_heart_bloodsucker,mutant_heart_bloodsucker,162,186
mutant_part_heart_chimera,mutant_heart_chimera,1378,1575
mutant_part_krovosos_jaw,mutant_krovosos_jaw,362,414
mutant_part_krovosos_meat,mutant_krovosos_meat,240,247
mutant_part_lurker_eye,mutant_lurker_eye,167,192
mutant_part_lurker_meat,mutant_lurker_meat,159,164
mutant_part_lurker_tail,mutant_lurker_tail,167,192
mutant_part_controller_glass,mutant_part_controller_brain_tissue,1257,1437
mutant_part_pseudogigant_eye,mutant_pseudogigant_eye,1475,1686
mutant_part_pseudogigant_hand,mutant_pseudogigant_hand,1401,1602
mutant_part_psevdodog_meat,mutant_psevdodog_meat,138,142
mutant_part_psevdodog_tail,mutant_psevdodog_tail,181,207
mutant_part_psysucker_hand,mutant_psysucker_hand,167,192
mutant_part_psysucker_meat,mutant_psysucker_meat,288,297
mutant_part_snork_hand,mutant_snork_hand,118,135
mutant_part_snork_leg,mutant_snork_leg,207,237
mutant_part_snork_mask,mutant_snork_mask,278,318
mutant_part_tushkano_head,mutant_tushkano_head,133,153
mutant_part_tushkano_meat,mutant_tushkano_meat,43,44
mutant_part_tusk_boar,mutant_tusk_boar,98,112
mutant_part_zombi_hand,mutant_zombi_hand,162,186
mutant_part_crow_beak,st_mutant_part_crow_beak,427,489
hide_bloodsucker,st_hide_bloodsucker_name,2231,3825
hide_boar,st_hide_boar_name,1627,2790
hide_burer,st_hide_burer_name,1968,3375
hide_chimera,st_hide_chimera_name,2362,4050
hide_controller,st_hide_controller_name,2099,3600
hide_flesh,st_hide_flesh_name,1627,2790
hide_lurker,st_hide_lurker_name,1706,2925
hide_pseudodog,st_hide_pseudodog_name,1627,2790
hide_pseudogiant,st_hide_pseudogiant_name,2887,4950
hide_psy_dog,st_hide_psy_dog_name,1889,3240
hide_psysucker,st_hide_psysucker_name,1889,3240
