~, Ui_st_community, Pda_encyclopedia_name, St_prop_weight, St_upgr_cost, Ui_mm_repair, Ui_mcm_menu_exo, Ui_inv_ap_res, Ui_inv_outfit_fire_wound_protection, Ui_inv_outfit_wound_protection, Ui_inv_outfit_burn_protection, Ui_inv_outfit_shock_protection, Ui_inv_outfit_chemical_burn_protection, Ui_inv_outfit_radiation_protection, Ui_inv_outfit_telepatic_protection, Ui_inv_outfit_strike_protection, Ui_inv_outfit_explosion_protection, Ui_inv_outfit_artefact_count, St_data_export_outfit_artefact_count_max, Ui_inv_outfit_additional_weight, Ui_inv_outfit_speed
dolg_pantsir_outfit,dolg,dolg_pantsir_outfit_name,22,78078,H,N,48,36%,29%,8%,6%,9%,4%,21%,8%,51%,2,3,42,104%
hybrid_outfit,st_data_export_unknown,hybrid_outfit_name,28,126910,H,N,46,35%,26%,35%,45%,16%,29%,11%,41%,26%,3,5,28,101%
freedom_exo_vineleaf_outfit,freedom,freedom_exo_vineleaf_outfit_name,38,107536,H,N,64,45%,30%,21%,21%,21%,3%,25%,21%,36%,3,4,42,94%
light_loner_outfit,stalker,light_loner_outfit_name,18,134285,H,N,31,26%,55%,6%,36%,21%,19%,6%,49%,16%,3,5,24,107%
merc_combat_scientific_outfit,killer,merc_combat_scientific_outfit_name,28,130095,H,N,51,40%,24%,35%,59%,16%,23%,11%,41%,31%,3,5,21,98%
light_isg_outfit,isg,light_isg_outfit_name,24,93184,H,N,41,30%,46%,6%,36%,21%,16%,6%,25%,16%,2,4,18,104%
greh_trenchcoat_outfit,greh,greh_trenchcoat_outfit_name,21,101504,H,N,30,28%,20%,25%,26%,35%,24%,6%,26%,6%,5,5,24.799999237061,104%
dolg_heavy_proto_exo_outfit,dolg,dolg_heavy_proto_exo_outfit_name,45,176580,E,Y,55,42%,30%,8%,3%,9%,4%,25%,8%,61%,3,5,96,109%
exo_dolg_outfit,dolg,exo_dolg_outfit_name,25,80520,H,N,51,38%,48%,47%,3%,16%,17%,21%,4%,36%,2,3,28,97%
military_sky_outfit,csky,military_sky_outfit_name,28,72114,H,N,52,35%,20%,6%,7%,11%,5%,26%,11%,51%,2,3,42,101%
monolith_exolight_outfit,monolith,monolith_exolight_outfit_name,35,78246,H,N,55,46%,34%,35%,3%,16%,9%,34%,6%,36%,2,3,45,92%
exo_dolg_wood_outfit,dolg,exo_dolg_wood_outfit_name,28,115444,H,N,53,40%,48%,34%,3%,16%,9%,21%,13%,36%,3,4,50,95%
exo_dolg_red_outfit,dolg,exo_dolg_red_outfit_name,31,115995,H,N,50,35%,35%,52%,21%,25%,11%,29%,16%,31%,3,4,55,95%
freedom_nosorog_outfit,freedom,freedom_nosorog_outfit_name,85,174585,E,Y,69,46%,28%,45%,3%,14%,11%,43%,6%,41%,3,5,115,103%
isg_proto_exo_outfit,isg,isg_proto_exo_outfit_name,48,176841,H,Y,36,25%,23%,21%,13%,35%,16%,15%,9%,11%,4,7,86.400001525879,105%
bandit_exolight_outfit,bandit,bandit_exolight_outfit_name,24,87336,H,N,44,42%,34%,35%,3%,16%,10%,26%,6%,36%,2,3,65,96%
dolg_specops_red_outfit,dolg,dolg_specops_red_outfit_name,21,109450,H,N,42,38%,49%,8%,41%,16%,7%,5%,32%,21%,2,4,28,104%
exolight_outfit,stalker,exolight_outfit_name,31,109647,H,N,50,38%,36%,35%,3%,16%,13%,26%,7%,36%,3,4,60,93%
cs_heavy_outfit,csky,csky_heavy_outfit_name,24,74933,H,N,36,31%,26%,48%,37%,13%,23%,41%,21%,21%,2,3,28,103%
dolg_heavy_redline_outfit,dolg,dolg_heavy_redline_outfit_name,25,102898,H,N,52,40%,27%,8%,6%,9%,4%,21%,8%,51%,3,4,42,102%
stalker_proto_exo_outfit,stalker,stalker_proto_exo_outfit_name,36,224759,H,Y,27,23%,27%,21%,13%,35%,19%,15%,18%,11%,5,7,115.19999694824,108%
greh_exo_outfit,greh,greh_exo_outfit_name,70,183961,E,Y,56,42%,24%,41%,3%,11%,11%,31%,6%,39%,5,7,76.800003051758,101%
light_freedom_outfit,freedom,light_freedom_outfit_name,20,97944,H,N,37,30%,40%,6%,36%,27%,16%,7%,41%,16%,2,4,20,106%
svoboda_exo_outfit,freedom,svoboda_exo_outfit_name,70,160395,E,Y,65,45%,27%,41%,3%,14%,11%,37%,6%,39%,3,5,96,102%
svoboda_light_proto_exo_outfit,freedom,svoboda_light_proto_exo_outfit_name,40,200732,H,Y,33,25%,19%,21%,13%,46%,16%,18%,16%,11%,4,7,96,107%
merc_exolight_outfit,killer,merc_exolight_outfit_name,35,77213,H,N,61,46%,30%,35%,4%,16%,9%,26%,6%,43%,2,3,37.5,93%
monolith_trenchcoat_outfit,monolith,monolith_trenchcoat_outfit_name,21,115159,H,N,32,33%,28%,25%,26%,35%,19%,8%,26%,6%,3,5,27.89999961853,105%
isg_exo_outfit,isg,isg_exo_outfit_name,84,144300,E,Y,71,45%,30%,41%,3%,11%,11%,31%,4%,39%,3,5,86.400001525879,100%
exo_wood_outfit,st_data_export_unknown,exo_wood_outfit_name,35,78678,H,N,55,42%,34%,35%,3%,16%,11%,26%,6%,36%,2,3,50,93%
military_exolight_outfit,army,military_exolight_outfit_name,42,53636,H,N,61,50%,40%,29%,3%,13%,11%,21%,6%,43%,1,2,45,92%
exo_dolg_urban_outfit,dolg,exo_dolg_urban_outfit_name,40,98417,H,N,60,47%,45%,47%,3%,16%,17%,25%,4%,41%,2,3,75,93%
merc_nighthunter_outfit,killer,merc_nighthunter_outfit_name,23,73194,H,N,53,41%,24%,35%,33%,6%,9%,21%,11%,19%,2,3,20.25,103%
renegade_exo_outfit,renegade,renegade_exo_outfit_name,70,102279,E,Y,65,49%,36%,41%,3%,11%,11%,31%,6%,39%,1,3,96,103%
monolith_proto_exo_outfit,monolith,monolith_proto_exo_outfit_name,40,190695,H,Y,30,28%,25%,21%,13%,35%,13%,19%,16%,11%,4,7,86.400001525879,107%
ecolog_proto_exo_outfit,ecolog,ecolog_proto_exo_outfit_name,32,206010,H,Y,24,20%,27%,24%,15%,42%,19%,18%,18%,9%,5,7,96,108%
isg_nosorog_outfit,isg,isg_nosorog_outfit_name,102,123927,E,Y,76,46%,32%,45%,3%,11%,11%,36%,4%,41%,2,4,103.5,101%
light_dolg_outfit,dolg,light_dolg_outfit_name,18,109080,H,N,34,30%,60%,8%,36%,21%,16%,5%,32%,16%,2,4,20,108%
dolg_nosorog_outfit,dolg,dolg_nosorog_outfit_name,76,189919,E,Y,63,46%,42%,59%,3%,11%,11%,29%,4%,41%,3,5,115,105%
dolg_heavy_outfit,dolg,dolg_heavy_outfit_name,25,77173,H,N,52,40%,27%,8%,6%,9%,4%,21%,8%,51%,2,3,42,102%
ecolog_exo_outfit,ecolog,ecolog_exo_outfit_name,56,192198,E,Y,47,35%,36%,48%,3%,13%,13%,37%,7%,31%,4,6,96,103%
military_exo_outfit,army,military_exo_outfit_name,84,123260,E,Y,65,54%,40%,32%,3%,9%,11%,25%,6%,47%,2,4,86.400001525879,101%
military_proto_exo_outfit,army,military_proto_exo_outfit_name,60,132330,E,Y,61,50%,30%,4%,3%,7%,4%,25%,9%,73%,2,4,86.400001525879,106%
isg_exolight_outfit,isg,isg_exolight_outfit_name,42,74250,H,N,66,42%,30%,35%,3%,16%,11%,26%,4%,36%,2,3,45,90%
bandit_exo_outfit,bandit,bandit_exo_outfit_name,49,155905,E,Y,47,45%,34%,41%,3%,11%,10%,31%,6%,39%,2,4,124.80000305176,106%
