~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_mcm_menu_exo,ui_inv_ap_res,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed
bandit_ps5_outfit,bandit,bandit_ps5_outfit_name,bandit_ps5_outfit_description,9.80,73138,M,N,26,23%,25%,6%,21%,11%,5%,6%,11%,16%,2,4,26,108%
bandit_scientific_dark_outfit,bandit,bandit_scientific_dark_outfit_name,bandit_scientific_dark_outfit_description,11.90,99421,M,N,24,19%,18%,41%,30%,21%,22%,16%,16%,11%,3,5,28,103%
bandit_scientific_outfit,bandit,bandit_scientific_outfit_name,bandit_scientific_outfit_description,13.30,112190,M,N,27,28%,18%,31%,45%,16%,21%,11%,26%,11%,3,5,33,104%
bandit_sun_outfit,bandit,bandit_sun_outfit_name,bandit_sun_outfit_description,7.70,79046,M,N,23,18%,23%,21%,21%,46%,10%,6%,21%,11%,2,4,20,110%
cs_medium_outfit,csky,csky_medium_outfit_name,csky_medium_outfit_description,17.00,32623,M,N,31,19%,14%,42%,19%,7%,18%,16%,6%,6%,2,2,24,101%
cs_scientific_outfit,csky,cs_scientific_outfit_name,cs_scientific_outfit_description,17.00,95750,M,N,30,18%,16%,48%,37%,25%,30%,16%,16%,11%,3,5,22,100%
cs_stalker_outfit,csky,cs_stalker_outfit_name,cs_stalker_outfit_description,11.00,55694,M,N,29,17%,20%,24%,25%,37%,17%,6%,21%,11%,2,3,16,107%
dolg_outfit,dolg,dolg_outfit_name,dolg_outfit_description,12.60,55364,M,N,33,23%,29%,8%,21%,11%,6%,5%,8%,16%,3,3,20,106%
dolg_scientific_outfit,dolg,dolg_scientific_outfit_name,dolg_scientific_outfit_description,15.30,99763,M,N,30,19%,23%,52%,30%,21%,25%,13%,13%,11%,3,5,22,101%
dolg_scientific_red_outfit,dolg,dolg_scientific_red_outfit_name,dolg_scientific_red_outfit_description,13.50,99450,M,N,28,17%,19%,59%,29%,25%,27%,11%,21%,11%,3,5,18,104%
dolg_scientific_wood_outfit,dolg,dolg_scientific_wood_outfit_name,dolg_scientific_wood_outfit_description,19.80,119572,M,N,32,21%,19%,47%,36%,31%,21%,17%,11%,16%,4,6,24,99%
dolg_scout_outfit,dolg,dolg_scout_outfit_name,dolg_scout_outfit_description,9.00,75384,M,N,30,21%,27%,8%,21%,11%,8%,5%,8%,16%,2,4,24,108%
