~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,st_data_export_zoom_factor,st_data_export_magnifications
0kp2,st_addon_scope_0kp2,st_addon_scope_0kp2_descr,0.27,7000,,
1p29,st_addon_scope_1p29,st_addon_scope_1p29_descr,0.80,14000,15,4
1p59,st_addon_scope_1p59,st_addon_scope_1p59_descr,0.94,30000,,3-10
1p63,st_addon_scope_pk1_obzor,st_addon_scope_pk1_obzor_descr,0.60,5500,,
1p76,st_addon_scope_1p76,st_addon_scope_1p76_descr,0.50,3000,,
1p78gs,st_addon_scope_1p78gs,st_addon_scope_1p78gs_descr,0.70,10000,,2.8
1p87,st_addon_scope_1p87,st_addon_scope_1p87_descr,0.30,4500,,
1pn93,st_addon_scope_1pn93,st_addon_scope_1pn93_descr,1.25,18000,,1-4
1pn93n2_1gs,st_addon_scope_1pn93n2_1gs,st_addon_scope_1pn93n2_1gs_descr,1.50,97490,,3.7
226sig_kit,st_addon_scope_226sig_kit,st_addon_scope_226sig_kit_descr,0.35,7800,,
23_up,st_addon_scope_23_up,st_addon_scope_23_up_descr,0.60,8950,,
5c_tik,st_addon_scope_5c_tik,st_addon_scope_5c_tik_descr,2.15,17850,,
ac10632,st_addon_scope_ac10632,st_addon_scope_ac10632_descr,0.12,7500,,
ac11090,st_addon_scope_ac11090,st_addon_scope_ac11090_descr,0.35,4380,,
acog,st_addon_scope_acog,st_addon_scope_acog_descr,0.51,10000,,2.8
acog2x,st_addon_scope_acog2x,st_addon_scope_acog2x_descr,0.59,41500,,2
admin,st_addon_admin_upgr_kit,st_addon_admin_upgr_kit_descr,1.50,17000,,
ado,st_addon_scope_ncstar_ado,st_addon_scope_ncstar_ado_descr,0.60,40000,,3-9
aim_2k,st_addon_scope_aim_2k,st_addon_scope_aim_2k_descr,1.00,8450,,
aim_5k,,,0.00,0,,
aim_acro,st_addon_scope_aim_acro,st_addon_scope_aim_acro_descr,0.06,6500,,
aim_low,st_addon_scope_aim_low,st_addon_scope_aim_low_descr,0.11,6500,,
aimpoint,st_addon_scope_aimpoint,st_addon_scope_aimpoint_descr,0.13,6500,,
apsabigo,st_addon_scope_apsabigo,st_addon_scope_apsabigo_descr,0.26,6200,,
archangel,st_addon_scope_archangel,st_addon_scope_archangel_descr,2.20,16000,,
bd,st_addon_bd_upgr_kit,st_addon_bd_upgr_kit_descr,1.50,17000,,
bossxe,st_addon_scope_bossxe,st_addon_scope_bossxe_descr,0.15,15250,,
bravo4,st_addon_scope_bravo4,st_addon_scope_bravo4_descr,0.42,36000,,4
c-more,st_addon_scope_cmore,st_addon_scope_cmore_descr,0.14,7500,,
c79,st_addon_scope_c79,st_addon_scope_c79_descr,0.70,14300,,3.5
chs,st_addon_scope_chs,st_addon_scope_chs_descr,0.13,41500,,2
compm4s,st_addon_scope_compm4s,st_addon_scope_compm4s_descr,0.27,5000,,
cortex,st_cortex_scope,st_cortex_scope_desc,0.69,11700,,1-10
d0cter,st_addon_scope_d0cter,st_addon_scope_d0cter_descr,0.03,6000,,
deltapoint,st_addon_scope_deltapoint,st_addon_scope_deltapoint_descr,0.06,6500,,
devo,st_addon_scope_devo,st_addon_scope_devo_descr,0.66,42000,,6
e0t2,st_addon_scope_e0t2,st_addon_scope_e0t2_descr,0.26,7350,,
e0t2_magd,st_addon_scope_e0t2_mag,st_addon_scope_e0t2_mag_descr,0.56,22000,,3
echo1,st_addon_scope_echo1,st_addon_scope_echo1_descr,0.42,145000,,"1,2"
ekp8_02,st_addon_scope_ekp8_02,st_addon_scope_ekp8_02_descr,0.34,3500,,
ekp8_18,st_addon_scope_ekp8_18,st_addon_scope_ekp8_18_descr,0.38,4350,,
eot,st_addon_scope_eotech,st_addon_scope_eotech_descr,0.35,5280,,
exps3,st_addon_scope_exps3,st_addon_scope_exps3_descr,0.32,7350,,
gauss_sight,st_addon_scope_gauss_sight,st_addon_scope_gauss_sight_descr,1.40,253200,,1-10
gee36,st_addon_scope_gee36,st_addon_scope_gee36_descr,0.50,10000,,3
gurza_up,st_addon_scope_gurza_up_new,st_addon_scope_gurza_up_new_descr,0.10,10200,,
hamr,st_addon_scope_hamr,st_addon_scope_hamr_descr,0.47,36000,,4
hco,st_addon_scope_specter_hco,st_addon_scope_specter_hco_descr,0.43,7500,,
he510,st_addon_scope_he510,st_addon_scope_he510_descr,0.14,7500,,
infiltrator_tactical_kit,st_addon_scope_infiltrator_tactical_kit,st_addon_scope_infiltrator_tactical_kit_descr,2.00,25200,,
kab_up,st_addon_scope_kab_up,st_addon_scope_kab_up_descr,1.10,8900,,
kashtan_rmr,st_addon_scope_kashtan_rmr,st_addon_scope_kashtan_rmr_descr,0.76,12000,,2.8
kemper,st_addon_scope_kemper,st_addon_scope_kemper_descr,0.27,11500,,
kit_aus_tri,st_addon_scope_kit_aus_tri,st_addon_scope_kit_aus_tri_descr,0.56,12900,,
kit_fal_leup,st_addon_scope_kit_fal_leup,st_addon_scope_kit_fal_leup_descr,0.85,28000,,
kit_sa5x_spec,st_addon_scope_kit_sa5x_spec,st_addon_scope_kit_sa5x_spec_descr,0.85,16000,,
kobra,st_addon_scope_kobra,st_addon_scope_kobra_descr,0.41,3500,,
kp_sr2,st_addon_scope_kp_sr2,st_addon_scope_kp_sr2_descr,0.03,4500,,
kurtz,st_addon_kurtz_kit,st_addon_kurtz_descr,1.25,13650,,
