~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
wpn_aps,st_wpn_aps,st_wpn_aps_descr,1.02,9380,A,Y,56%,82%,650,20,0,380,88%,20,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.45,,14,26,,,,
wpn_aps_bas,st_wpn_aps_bas,st_wpn_aps_bas_descr,1.02,9380,A,Y,56%,82%,650,20,0,380,88%,20,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,,0.45,,14,26,,,,
wpn_aps_bas_apsabigo,st_wpn_aps_bas_apsabigo,st_wpn_aps_bas_apsabigo_descr,0.99,9380,A,Y,56%,82%,650,20,0,380,88%,20,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,,0.45,,14,26,,,,
wpn_beretta,st_wpn_beretta_new,st_wpn_beretta_new_descr,0.95,7120,A,Y,67%,84%,325,17,0,475,88%,17,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.46,,17,,35,,,
wpn_beretta_camo,st_wpn_beretta_px4,st_wpn_beretta_px4_descr,0.95,11650,A,Y,73%,84%,325,20,0,475,89%,17,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.46,,17,,35,,,
wpn_beretta_m9_upgr_kit,st_wpn_beretta_new,st_wpn_beretta_new_descr,0.95,7120,A,Y,67%,84%,325,17,0,475,88%,20,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.46,,17,,35,,,
wpn_colt1911,st_wpn_colt1911_n,st_wpn_colt1911_n_descr,1.07,20000,A,Y,59%,83%,270,7,0,354,85%,13,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.55,,,20,,,,
wpn_colt1911_anarchy,st_wpn_colt1911_n,st_wpn_colt1911_n_descr,1.07,45000,A,Y,59%,83%,500,11,0,354,81%,13,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.55,,,20,,,,
wpn_colt1911_camo,st_wpn_lar_grizzly,st_wpn_lar_grizzly_descr,1.11,13880,A,Y,65%,83%,300,7,0,461,86%,5,ammo-357-hp,,0.6,,,19,,,,
wpn_colt1911_custom,st_wpn_1911_nsc,st_wpn_1911_nsc_descr,1.07,19260,A,Y,62%,83%,400,15,0,354,85%,13,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.55,,,20,,,,
wpn_colt1911_duty,st_wpn_colt1911_n,st_wpn_colt1911_n_descr,1.07,20000,A,Y,59%,83%,270,7,0,354,85%,13,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.55,,,20,,,,
wpn_colt1911_n,st_wpn_colt1911_n,st_wpn_colt1911_n_descr,1.07,20000,A,Y,59%,83%,270,7,0,354,85%,13,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.55,,,20,,,,
