~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
wpn_9a91,st_wpn_9a91,st_wpn_9a91n_descr,1.80,28860,D,N,82%,82%,700,20,0,255,83%,59,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_abakan,st_wpn_abakan_n,st_wpn_abakan_n_descr,3.85,35850,C,N,82%,71%,600,30,0,944,88%,52,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.5,,,27,,,50,
wpn_abakan_n,st_wpn_abakan_n,st_wpn_abakan_n_descr,3.85,35850,C,N,82%,71%,600,30,0,944,88%,52,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.5,,,27,,,50,
wpn_ace21,st_wpn_ace52,st_wpn_ace52_descr,3.60,38580,D,N,86%,70%,620,25,0,876,86%,32,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_ace52,st_wpn_ace52,st_wpn_ace52_descr,3.60,38580,D,N,86%,70%,620,25,0,876,86%,27,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_adar2_15,st_wpn_adar2_15,st_wpn_adar2_15_descr,2.88,19600,B,N,83%,80%,700,30,0,969,89%,25,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.478,,13,29,,,52,
wpn_aek,st_wpn_aek971,st_wpn_aek971_descr,3.40,38950,C,N,83%,77%,900,30,0,923,89%,58,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.5,,,27,,,50,
wpn_ak,st_wpn_ak,st_wpn_ak_descr,3.30,22650,C,N,67%,72%,600,30,0,600,90%,31,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_ak101,st_wpn_ak101,st_wpn_ak101_descr,3.60,33850,C,N,77%,76%,600,30,0,1007,91%,41,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_ak101_camo,st_wpn_ak101_camo,st_wpn_ak101_descr,3.60,38380,C,N,81%,76%,645,30,0,1030,93%,41,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_ak102,st_wpn_ak101,st_wpn_ak101_descr,3.60,33850,C,N,77%,76%,600,30,0,1007,91%,41,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
wpn_ak103,st_wpn_ak103,st_wpn_ak103_descr,3.60,33860,D,N,73%,72%,600,30,0,600,90%,34,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_ak103_camo,st_wpn_ak103_camo,st_wpn_ak103_descr,3.60,38980,D,N,79%,72%,630,30,0,600,90%,34,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_ak104,st_wpn_ak104_alfa,st_wpn_ak104_alfa_descr,2.50,66550,D,N,77%,80%,600,30,0,562,90%,34,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.57,,,,30,,,55
wpn_ak104_alfa,st_wpn_ak104_alfa,st_wpn_ak104_alfa_descr,2.50,66550,D,N,77%,80%,600,30,0,562,90%,37,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.57,,,,30,,,55
wpn_ak105,st_wpn_ak105,st_wpn_ak105_descr,3.20,24480,C,N,74%,80%,650,30,0,871,91%,34,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.49,,,27,,,50,
wpn_ak105_shakal,st_wpn_ak105_shakal,st_wpn_ak105_shakal_descr,4.51,24480,C,N,78%,80%,700,45,0,902,91%,62,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.53,,,27,,,50,
wpn_ak105_sp,st_wpn_ak105_sp,st_wpn_ak105_sp_descr,2.80,39480,C,N,77%,80%,650,45,0,871,91%,58,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.49,,,27,,,50,
wpn_ak105_swamp,st_wpn_ak105_swamp,st_wpn_ak105_swamp_descr,4.67,24480,C,N,78%,80%,700,45,0,985,91%,62,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.51,,13,29,,,52,
wpn_ak12,st_wpn_ak12_m1,st_wpn_ak12_m1_descr,3.20,46880,C,N,76%,76%,650,30,0,939,91%,58,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,0.5,,,27,,,50,
