~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
wpn_benelli_m1014,st_wpn_benelli_m1014,st_wpn_benelli_m1014_descr,4.13,63500,C,N,73%,59%,350,10,0,349,68%,5,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.8,,,24,,42,,
wpn_bm16,st_wpn_bm16,st_wpn_bm16_descr,1.92,9650,B,Y,41%,67%,1000,2,0,299,60%,1,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.77,,,24,,42,,
wpn_bm16_alt,st_wpn_bm16_alt,st_wpn_bm16_descr,1.92,12850,B,Y,43%,67%,1000,2,0,299,60%,1,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.77,,,24,,42,,
wpn_bm16_full,st_wpn_bm16_full,st_wpn_bm16_full_descr,3.40,15480,B,N,76%,57%,1000,2,0,299,60%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.77,,,24,,42,,
wpn_bm16_full_alt,st_wpn_bm16_full_alt,st_wpn_bm16_full_descr,3.40,18250,B,N,73%,57%,1000,2,0,299,62%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.77,,,24,,42,,
wpn_bm16_full_alt_23,st_wpn_bm16_full_alt_23,st_wpn_bm16_full_alt_23_descr,3.40,29850,B,N,73%,57%,1000,2,0,154,42%,2,ammo_23x75_shrapnel;ammo_23x75_barrikada,,0.52,,,,,40,54,500
wpn_eft_mts_255,st_wpn_eft_mts_255,st_wpn_eft_mts_255_descr,3.40,23600,B,N,95%,88%,100,5,0,230,60%,12,ammo_20x70_buck,,0.8,,,,,,,
wpn_fort500,st_wpn_fort500,st_wpn_fort500_descr,4.30,17700,B,N,64%,88%,86,6,0,329,60%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_ithacam37,st_wpn_ithacam37,st_wpn_ithacam37_descr,3.30,18340,B,N,59%,70%,88,4,0,329,60%,0,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_ithacam37_mag,st_wpn_ithacam37_extmag,st_wpn_ithacam37_extmag_descr,3.78,21660,B,N,59%,74%,88,7,0,349,60%,2,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_ithacam37_sawnoff,st_wpn_ithacam37_sawnoff,st_wpn_ithacam37_sawnoff_descr,2.76,14510,B,N,55%,50%,76,4,0,329,60%,0,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
