~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
wpn_aug_freedom,st_wpn_aug_9mm,st_wpn_aug_9mm_descr,3.35,36110,A,N,65%,86%,700,32,0,527,90%,55,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.47,,17,,35,,,
wpn_bizon,st_wpn_bizon,st_wpn_bizon_descr,2.30,18560,A,N,48%,86%,650,64,0,420,89%,86,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-7.62x25-p;ammo-7.62x25-ps; ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.46,,14,26,,,,
wpn_kiparis,st_wpn_kiparis,st_wpn_kiparis_descr,1.60,16880,A,N,60%,84%,850,30,0,433,91%,105,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.46,,14,26,,,,
wpn_kiparis_ots2_upgr_kit,st_wpn_kiparis_upgraded,st_wpn_kiparis_upgraded_descr,1.60,40000,A,N,66%,84%,950,50,0,433,91%,119,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.46,,14,26,,,,
wpn_kriss_vector,st_wpn_kriss,st_wpn_kriss_descr,2.78,122520,D,N,70%,84%,1100,30,0,420,90%,100,ammo-11.43x23-fmj;ammo-11.43x23-hydro,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.55,,,20,,,,
wpn_mac10,st_wpn_mac10,st_wpn_mac10_descr,2.84,17420,B,N,43%,88%,1250,50,0,525,91%,58,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.46,,14,26,,,,
wpn_mp5,st_wpn_mp5,st_wpn_mp5_descr,2.70,20000,A,N,62%,82%,800,30,0,527,90%,86,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj,0.47,,17,,35,,,
wpn_mp5_kurtz,st_wpn_mp5,st_wpn_mp5_descr,2.70,20000,A,Y,62%,82%,800,30,0,527,90%,79,ammo-9x19-fmj,ammo-9x18-fmj,0.47,,17,,,,,
wpn_mp5_nimble,st_wpn_mp5_nimble,st_wpn_mp5_nimble_descr,2.70,20000,C,N,73%,82%,600,30,0,358,90%,45,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.56,,,20,,,,
wpn_mp5sd,st_wpn_mp5sd,st_wpn_mp5sd_descr,2.70,20000,A,N,62%,82%,800,40,0,527,90%,89,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,35,,,
