~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
pri_a17_gauss_rifle,st_wpn_umirotvoritel,st_wpn_umirotvoritel_descr,12.77,85860,D,N,99%,50%,50,10,0,70000,99%,1428,ammo-gauss,,5.5,,,,,,,500
wpn_dvl10,st_wpn_dvl10,st_wpn_dvl10_descr,6.00,95580,D,N,95%,65%,40,10,0,1207,60%,6,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_dvl10_m1,st_wpn_dvl10_m1,st_wpn_dvl10_m1_descr,5.70,99580,D,N,95%,65%,40,10,0,420,60%,6,ammo_338_federal,,0.85,,,,,,,
wpn_g43,st_wpn_g43,st_wpn_g43_descr,4.33,23980,B,N,90%,65%,70,10,0,777,60%,3,ammo-7.92x33_fmj;ammo-7.92x33_ap,,0.81,,,27,,39,,
wpn_gauss,st_wpn_gauss_bas,st_wpn_gauss_bas_descr,12.77,85860,D,N,99%,50%,50,10,0,10500,91%,1428,ammo-gauss,,1,,,,,,,500
wpn_gauss_quest,lttz_ll_wpn_gauss_quest_name,lttz_ll_wpn_gauss_quest_descr,12.77,85860,D,N,99%,50%,50,10,0,10500,91%,2739,ammo-gauss,,1,,,,,,,500
wpn_k98,st_wpn_k98,st_wpn_k98_descr,3.70,22590,B,N,91%,66%,34,5,0,798,60%,8,ammo-7.92x33_fmj;ammo-7.92x33_ap,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54-r; ammo-7.62x51_fmj;ammo-7.62x51_ap,1.05,,,27,,39,,
wpn_k98_mauser_kit,st_wpn_k98_mod_silen98,st_wpn_k98_mod_silen98_descr,4.20,32590,B,N,97%,66%,40,7,0,1522,60%,0,ammo-7.92x33_fmj;ammo-7.92x33_ap,,1.05,,,27,,39,,
wpn_k98_mod,st_wpn_k98_mod,st_wpn_k98_mod_descr,4.10,32590,B,N,95%,66%,40,7,0,1312,60%,8,ammo-7.92x33_fmj;ammo-7.92x33_ap,,1.05,,,27,,39,,
wpn_k98_mod_silen98,st_wpn_k98_mod_silen98,st_wpn_k98_mod_silen98_descr,4.20,32590,B,N,97%,66%,40,7,0,1522,60%,11,ammo-7.92x33_fmj;ammo-7.92x33_ap,,1.05,,,27,,39,,
wpn_l96a1,st_wpn_l96a1,st_wpn_l96a1_descr,7.20,65880,C,N,95%,65%,40,10,0,887,60%,6,ammo-7.62x51_fmj;ammo-7.62x51_ap,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,1,,,,34,,,62
wpn_l96a1m,st_wpn_l96a1m,st_wpn_l96a1m_descr,7.20,76580,D,N,97%,66%,40,5,0,944,40%,6,ammo-338-lapua,,1.2,,,,,,,140
wpn_m24,st_wpn_m24_new,st_wpn_m24_new_descr,5.40,76680,D,N,96%,60%,35,10,0,887,40%,6,ammo-338-lapua,,1,,,,,,,140
wpn_m82,st_wpn_m82,st_wpn_m82_descr,12.07,50000,D,N,93%,69%,100,10,0,477,75%,7,ammo-12.7x55-fmj;ammo_12.7x55_ap,,3,,,,38,,50,75
wpn_m98b,st_wpn_m98b,st_wpn_m98b_descr,7.50,88980,D,N,95%,65%,35,10,0,992,40%,6,ammo-338-lapua,,1.2,,,,,,,140
wpn_mosin,st_wpn_mosin_k,st_wpn_mosin_k_descr,3.70,21590,B,N,91%,66%,34,5,0,798,60%,12,ammo-7.62x54-7n1,,1.1,,,,30,,,
wpn_remington700,st_wpn_remington700,st_wpn_remington700_descr,3.96,33000,C,N,96%,64%,40,5,0,887,60%,6,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_remington700_archangel,st_wpn_remington700_archangel,st_wpn_remington700_archangel_descr,3.85,33000,C,N,97%,64%,40,20,0,887,60%,9,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_remington700_lapua700,st_wpn_remington700_lapua700,st_wpn_remington700_lapua700_descr,3.95,33000,D,N,98%,64%,40,5,0,887,60%,6,ammo_338_federal,,0.85,,,,,,,
wpn_remington700_magpul_pro,st_wpn_remington700_magpul_pro,st_wpn_remington700_magpul_pro_descr,3.75,33000,C,N,97%,64%,40,12,0,887,60%,9,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_remington700_mod_x_gen3,st_wpn_remington700_mod_x_gen3,st_wpn_remington700_mod_x_gen3_descr,3.70,33000,C,N,98%,64%,40,12,0,887,60%,10,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_sks,st_wpn_sks,st_wpn_sks_descr,3.75,19580,B,N,86%,65%,200,10,0,617,87%,9,ammo-7.62x39_fmj;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,0.585,,,,30,,,55
wpn_sks_b,st_wpn_sks_b,st_wpn_sks_b_descr,3.75,19580,B,N,86%,65%,350,10,0,588,87%,3,ammo-7.62x39_fmj;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,0.58,,,,30,,,55
wpn_sks_modern,st_wpn_sks_modern,st_wpn_sks_descr,3.75,22960,B,N,88%,65%,245,10,0,617,89%,10,ammo-7.62x39_fmj;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,0.585,,,,30,,,55
wpn_sks_molot,st_wpn_sks_molot,st_wpn_sks_molot_descr,3.60,19580,B,N,86%,65%,350,20,0,617,87%,10,ammo-7.62x39_fmj;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,0.585,,,,30,,,55
wpn_sks_tac,st_wpn_sks_tac,st_wpn_sks_tac_descr,3.70,25580,B,N,86%,65%,600,20,0,617,87%,10,ammo-7.62x39_fmj;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,0.585,,,,30,,,55
wpn_sr25,st_wpn_sr25,st_wpn_sr25_descr,4.31,50780,D,N,84%,80%,700,20,0,882,80%,63,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_steyr_scout_big,st_wpn_steyr_scout_big,st_wpn_steyr_scout_big_descr,4.40,53296,C,N,97%,64%,35,5,0,1575,60%,6,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_sv98,st_wpn_sv98,st_wpn_sv98_descr,6.20,58580,C,N,94%,65%,35,10,0,902,60%,13,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,,1.1,,,,30,45,,80
wpn_sv98_custom,st_wpn_sv98_custom,st_wpn_sv98_descr,6.20,63680,C,N,95%,65%,35,10,0,902,69%,13,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,,1.1,,,,30,45,,80
wpn_svd,st_wpn_svd,st_wpn_svd_descr,3.91,40550,D,N,93%,65%,115,10,0,861,78%,11,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,,1.1,,,,30,45,,80
wpn_svd_m1,st_wpn_svd,st_wpn_svd_descr,3.91,40550,D,N,93%,65%,115,10,0,861,78%,11,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,,1.1,,,,30,45,,80
wpn_svd_nimble,st_wpn_svd,st_wpn_svd_descr,3.91,40550,D,N,93%,65%,115,10,0,861,78%,11,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,,1.1,,,,30,45,,80
wpn_svds,st_wpn_svds,st_wpn_svds_descr,4.40,56164,D,N,93%,65%,400,10,0,861,78%,18,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,,1.1,,,,30,45,,80
wpn_svds_pmc,st_wpn_svds_pmc,st_wpn_svds_pmc_descr,4.80,140850,D,N,93%,65%,550,10,0,861,78%,16,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,,1.1,,,,30,45,,80
wpn_svt40,st_wpn_svt40,st_wpn_svt40_descr,3.80,24850,C,N,93%,65%,160,10,0,871,78%,9,ammo-7.62x54-7n1,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,1.1,,,,30,,,
wpn_svu,st_wpn_svu,st_wpn_svu_descr,3.81,43860,D,N,93%,68%,120,10,0,845,78%,2,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,,1.1,,,,30,45,,80
wpn_svu_alt,st_wpn_svu_alt,st_wpn_svu_descr,3.81,48850,D,N,95%,68%,130,10,0,845,80%,2,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,,1.1,,,,30,45,,80
wpn_svu_nimble,st_wpn_svu_nimble,st_wpn_svu_nimble_descr,3.83,48580,D,N,92%,73%,200,10,0,845,78%,3,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,,0.8,,,,30,45,,80
wpn_trg,st_wpn_remington700_lapua700,st_wpn_remington700_lapua700_descr,3.95,33000,D,N,98%,64%,35,5,0,887,40%,6,ammo_338_federal,,0.85,,,,,,,
wpn_vssk,st_wpn_vssk,st_wpn_vssk_descr,7.50,95680,C,N,93%,65%,34,5,0,420,60%,7,ammo-12.7x55-fmj;ammo_12.7x55_ap,,1.2,,,,38,,50,75
wpn_wa2000,st_wpn_wa2000,st_wpn_wa2000_descr,7.65,90000,D,N,93%,69%,45,6,0,882,78%,12,ammo-7.62x51_fmj;ammo-7.62x51_ap,,1,,,,34,,,62
wpn_winchester1873,st_wpn_winchester1873,st_wpn_winchester1873_descr,4.30,27691,B,N,91%,66%,95,12,0,630,60%,35,ammo-357-hp,,0.7,,,19,,,,
