~,st_data_export_price_multiplier
adrenalin,1
af_ah_e1,1
af_ah_e2,1
af_ah_f1,1
af_ah_g1,1
af_ah_g2,1
af_ah_h1,1
af_ah_h2,1
af_ah_o1,1
af_ah_o2,1
af_ah_r1,1
af_ah_r2,1
af_ah_r3,1
af_ah_r4,1
af_ah_r5,1
af_ah_s1,1
af_atom,1
af_ball,1
af_baloon,1
af_bat,1
af_black,1
af_black_angel,1
af_black_spray,1
af_blood,1
af_bracelet,1
af_camelbak,1
af_camelbak_up,1
af_cell,1
af_chelust,1
af_cocoon,1
af_compass,1
af_cooler,1
af_cooler_up,1
af_cristall,1
af_death_lamp,1
af_dragon_eye,1
af_dummy_battery,1
af_dummy_dummy,1
af_dummy_glassbeads,1
af_ear,1
af_electra_flash,1
af_electra_moonlight,1
af_electra_sparkler,1
af_elektron,1
af_empty,1
af_eye,1
af_fire,1
af_fire_loop,1
af_fireball,1
af_fonar,1
af_fountain,1
af_frames,1
af_frames_up,1
af_freon,1
af_freon_up,1
af_full_empty,1
af_fuzz_kolobok,1
af_generator,1
af_glass,1
af_gold_fish,1
af_grapes,1
af_gravi,1
af_grid,1
af_grid_up,1
af_ice,1
af_itcher,1
af_kevlar,1
af_kevlar_up,1
af_kislushka,1
af_kogot,1
af_lighthouse,1
af_lobster_eyes,1
af_medallion,1
af_medusa,1
af_mincer_meat,1
af_moh,1
af_monolith,1
af_night_star,1
af_oasis_heart,1
af_peas,1
af_pin,1
af_plates,1
af_plates_up,1
af_repei,1
af_ring,1
af_sandstone,1
af_serofim,1
af_signet,1
af_skull_miser,1
af_soul,1
af_spaika,1
af_sponge,1
af_star_phantom,1
af_sun,1
af_surge,1
af_surge_up,1
af_tapeworm,1
af_tlf_lost_soul,1
af_tlf_prometheus,1
af_vyvert,1
af_zhelch,1
akvatab,1
ammo_11.43x23_fmj,1
ammo_11.43x23_fmj_bad,1
ammo_11.43x23_hydro,1
ammo_11.43x23_hydro_bad,1
ammo_12.7x55_ap,1
ammo_12.7x55_ap_bad,1
ammo_12.7x55_fmj,1
ammo_12.7x55_fmj_bad,1
ammo_12x70_buck,1
ammo_12x70_buck_bad,1
ammo_12x76_bull,1
ammo_12x76_dart,1
ammo_12x76_dart_bad,1
ammo_12x76_zhekan,1
ammo_12x76_zhekan_bad,1
ammo_20x70_buck,1
ammo_23x75_barrikada,1
ammo_23x75_barrikada_bad,1
ammo_23x75_barrikada_verybad,1
ammo_23x75_shrapnel,1
ammo_23x75_shrapnel_bad,1
ammo_23x75_shrapnel_verybad,1
ammo_338_federal,1
ammo_357_hp_mag,1
ammo_357_hp_mag_bad,1
ammo_4.6x30_fmj,1
ammo_4.6x30_fmj_bad,1
ammo_5.45x39_ap,1
ammo_5.45x39_ap_bad,1
ammo_5.45x39_ep,1
ammo_5.45x39_ep_bad,1
ammo_5.45x39_fmj,1
ammo_5.45x39_fmj_bad,1
ammo_5.56x45_ap,1
ammo_5.56x45_ap_bad,1
ammo_5.56x45_fmj,1
ammo_5.56x45_fmj_bad,1
ammo_5.56x45_ss190,1
