~,st_data_export_quantity,st_data_export_probability
adrenalin,3,1
af_camelbak,1,1
af_cooler,1,1
af_frames,1,1
af_freon,1,1
af_grid,1,1
af_surge,1,1
akvatab,2,1
ammo_gauss,3,1
analgetic,2,1
antibio_chlor,2,1
antibio_sulfad,2,1
antiemetic,2,1
antirad,2,1
antirad_cystamine,2,1
antirad_kalium,2,1
army_bowler,1,1
bandage,5,1
batteries_dead,6,1
batteries_exo,4,1
bolts_pack,2,1
broken_detector,1,1
caffeine,3,1
cooking,1,1
detector_advanced,1,1
detector_geiger,1,1
detector_radio,1,1
detector_simple,1,1
device_pda_1,1,1
device_torch_dummy,1,1
drug_anabiotic,2,1
drug_antidot,3,1
drug_booster,3,1
drug_coagulant,3,1
drug_psy_blockade,3,1
drug_radioprotector,3,1
drug_sleepingpills,3,1
ecolog_exo_outfit,1,1
ecolog_guard_outfit,1,1
ecolog_outfit_blue,1,1
ecolog_outfit_green,1,1
ecolog_outfit_orange,1,1
ecolog_outfit_red,1,1
ecolog_outfit_white,1,1
ecolog_outfit_yello,1,1
ecolog_proto_exo_outfit,1,1
flashlight_broken,1,1
helm_m40,1,1
helm_protective,1,1
helm_respirator,1,1
itm_artefactskit,1,1
itm_backpack,1,1
jgut,2,1
medkit,3,1
medkit_scientic,2,1
morphine,2,1
recipe_basic_4,1,1
salicidic_acid,2,1
scientific_outfit,1,1
stimpack_army,3,1
stimpack_scientic,2,1
tetanus,3,1
trading_computer,1,1
yadylin,2,1
