~,st_data_export_quantity,st_data_export_probability
beans,2,1
beer,3,1
bottle_metal,2,1
box_matches,3,1
bread,4,1
breadold,6,1
charcoal,2,1
chili,2,1
chocolate,2,1
cigar,2,1
cigar1,2,1
cigar2,2,1
cigar3,2,1
cigarettes,4,1
cigarettes_lucky,3,1
cigarettes_russian,3,1
conserva,4,1
cooking,2,1
corn,2,1
drink_crow,2,1
energy_drink,3,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
flask,2,1
hand_rolling_tobacco,2,1
kerosene,2,1
kolbasa,4,1
mineral_water,2,1
mre,1,1
nuts,2,1
protein,2,1
raisins,2,1
ration_ru,1,1
ration_ukr,1,1
salmon,2,1
sausage,2,1
tea,2,1
tobacco,2,1
tomato,2,1
tushonka,4,1
vodka,1,1
vodka2,1,1
vodka_quality,1,1
water_drink,2,1
