~,st_data_export_quantity,st_data_export_probability
adrenalin,1,1
akvatab,2,1
analgetic,3,1
antibio_chlor,8,1
antibio_sulfad,8,1
antiemetic,8,1
antirad_kalium,3,1
bandage,6,1
caffeine,4,1
cocaine,2,1
drug_anabiotic,2,1
drug_antidot,2,1
drug_booster,4,1
drug_coagulant,4,1
drug_psy_blockade,2,1
drug_radioprotector,2,1
drug_sleepingpills,2,1
glucose,2,1
glucose_s,3,1
jgut,3,1
medkit,3,1
medkit_army,2,1
medkit_scientic,1,1
morphine,2,1
protein,5,1
rebirth,1,1
salicidic_acid,3,1
stimpack,2,1
stimpack_army,2,1
stimpack_scientic,1,1
tetanus,2,1
yadylin,4,1
