~,st_data_export_quantity,st_data_export_probability
226sig_kit,1,1
5c_tik,1,1
ac10632,1,1
acog,1,1
acog2k,1,1
admin,1,0.5
ado,1,0.75
af_camelbak,1,1
af_cooler,1,1
af_frames,1,1
af_freon,1,1
af_grid,1,1
af_kevlar,1,1
af_surge,1,1
aim_2k,1,1
aim_acro,1,1
aim_low,1,1
aimpoint,1,1
ammo_11.43x23_fmj,8,1
ammo_11.43x23_hydro,8,1
ammo_12x70_buck,8,1
ammo_12x76_dart,5,1
ammo_12x76_zhekan,8,1
ammo_20x70_buck,8,1
ammo_338_federal,6,1
ammo_357_hp_mag,6,1
ammo_5.56x45_ap,6,1
ammo_5.56x45_fmj,8,1
ammo_5.56x45_ss190,8,1
ammo_5.7x28_ss190,10,1
ammo_5.7x28_ss195,10,1
ammo_7.62x25_p,10,1
ammo_7.62x25_ps,10,1
ammo_7.62x51_ap,8,1
ammo_7.62x51_fmj,8,1
ammo_7.92x33_ap,6,1
ammo_7.92x33_fmj,2,1
ammo_9x18_ap,8,1
ammo_9x18_fmj,8,1
ammo_9x18_pmm,8,1
ammo_9x19_ap,8,1
ammo_9x19_fmj,8,1
ammo_9x19_pbp,8,1
ammo_m209,1,1
ammo_magnum_300,6,1
archangel,1,1
batteries_dead,5,1
batteries_exo,4,1
bd,1,0.5
bolts_pack,2,1
bossxe,1,1
bravo4,1,1
broken_detector,1,1
c-more,1,1
c79,1,1
charcoal,2,1
chs,1,1
compm4s,1,1
compression_bag,1,1
cooking,1,1
d0cter,1,1
deltapoint,1,1
detector_geiger,2,1
detector_radio,2,1
detector_simple,2,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
devo,1,0.75
e0t2,1,1
e0t2_magd,1,0.75
echo1,1,0.2
eot,1,1
explo_jerrycan_fuel,1,1
exps3,1,1
fieldcooker,1,1
flashlight_broken,1,1
gee36,1,1
grenade_f1,1,1
hamr,1,1
hco,1,1
he510,1,1
helm_metro,1,1
helm_ranger,1,1
ied_new,1,1
infiltrator_tactical_kit,1,0.85
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
kemper,1,1
kerosene,2,1
kit_aus_tri,1,1
kit_fal_leup,1,1
kit_hunt,1,1
kit_sa5x_spec,1,1
kurtz,1,0.8
lco1,1,1
leupold,1,1
light_merc_outfit,1,1
mag_grot,2,1
mag_lancer,2,1
magnifier,1,0.9
magpul_pro,1,1
march_f_shorty,1,0.75
march_f_shorty_alt,1,0.70
marchf,1,1
mark8_rmr,1,1
mauser_kit,1,1
mepro,1,1
mine _new,1,1
mod9,1,1
mod_x_gen3,1,1
monstrum,1,1
nbc_merc_outfit,1,1
pn23,1,1
point_aimpro,1,1
razorhd,1,0.70
recipe_exo_1,1,1
recipe_exo_2,1,1
recipe_exo_3,1,1
rmr,1,1
romeo4,1,1
romeo8,1,1
side,1,1
silen98,1,1
skeet,1,1
spec_alt,1,1
specter,1,1
spectre_tactical_kit,1,0.85
susat,1,1
susatov,1,1
t12,1,1
tac30,1,0.75
trihawk,1,1
triji,1,1
u2p2g0r,1,1
uh1_magd,1,0.75
uh2,1,1
upg220,1,1
usp1,1,1
vulcan,1,1
wpn_addon_grenade_launcher,1,1
wpn_addon_grenade_launcher_m203,1,1
wpn_addon_grenade_launcher_scar,1,1
wpn_addon_scope_zf4,1,1
wpn_axe,1,1
wpn_axe3,1,1
wpn_binoc_inv,1,1
wpn_brn180,1,0.88
wpn_fort17,1,0.88
wpn_knife,1,1
wpn_knife2,1,1
wpn_knife3,1,1
wpn_knife4,1,1
wpn_knife5,1,1
wpn_knife8,1,1
wpn_sil_45,1,1
wpn_sil_57,1,1
wpn_sil_9mm,1,1
wpn_sil_aac762,1,1
wpn_sil_atg,1,1
wpn_sil_black_box,1,1
wpn_sil_daniel,1,1
wpn_sil_forester,1,1
wpn_sil_gemtech,1,1
wpn_sil_grot,1,1
wpn_sil_kac4,1,1
wpn_sil_kek12,1,1
wpn_sil_lapu7,1,1
wpn_sil_m42k,1,1
wpn_sil_nato,1,1
wpn_sil_osp9,1,1
wpn_sil_salvo,1,1
wpn_sil_spec_isg,1,1
wpn_sil_sr25,1,1
wpn_sil_surfire,1,1
