~,st_data_export_quantity,st_data_export_probability
ammo_11.43x23_fmj,8,1
ammo_11.43x23_hydro,8,1
ammo_12x70_buck,8,1
ammo_20x70_buck,8,1
ammo_7.62x25_p,10,1
ammo_7.62x25_ps,10,1
ammo_7.62x39_fmj,5,1
ammo_7.62x54_7h1,3,1
ammo_7.92x33_fmj,2,1
ammo_9x18_ap,8,1
ammo_9x18_fmj,8,1
ammo_9x18_pmm,7,1
ammo_9x19_fmj,8,1
ammo_9x19_pbp,7,1
ball_hammer,2,1
batteries_dead,5,1
beadspread,1,1
beans,2,1
beer,3,1
bolts_pack,4,1
boots,1,1
bottle_metal,2,1
box_matches,3,1
bread,4,1
breadold,6,1
broken_detector,1,1
cards,2,1
charcoal,2,1
chili,2,1
chocolate,2,1
cigar,2,1
cigar1,2,1
cigar2,2,1
cigar3,2,1
cigarettes,4,1
cigarettes_lucky,3,1
cigarettes_russian,3,1
compression_bag,1,1
conserva,4,1
cooking,2,1
corn,2,1
detector_geiger,2,1
detector_radio,2,1
detector_simple,2,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
drink_crow,2,1
energy_drink,3,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
flashlight_broken,1,1
flask,2,1
gloves,1,1
guitar_a,1,1
hand_rolling_tobacco,2,1
hand_watch,1,1
harmonica_a,1,1
headlamp,1,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
kerosene,2,1
kit_hunt,1,1
kolbasa,4,1
lazup_pl15,1,1
mineral_water,2,1
mirror,2,1
mre,1,1
nuts,2,1
pb_upgr_kit,1,0.85
pl15_scolaz,1,1
pm_upgr_kit,1,0.85
porn,1,1
porn2,1,1
protein,2,1
radio,1,1
radio2,2,1
raisins,2,1
ration_ru,1,1
ration_ukr,1,1
rope,1,1
salmon,2,1
sausage,2,1
shovel_mili,1,1
shovel_old,1,1
sr1upgr1,1,1
synthrope,2,1
tarpaulin,1,1
tea,2,1
tobacco,2,1
tomato,2,1
tushonka,4,1
underwear,1,1
vodka,1,1
vodka2,1,1
vodka_quality,1,1
walkie,2,1
water_drink,2,1
welding_goggles,1,1
wpn_binoc_inv,1,1
wpn_knife,1,1
wpn_knife2,1,1
wpn_sil_9mm,1,1
wpn_sil_aps,1,1
wpn_sil_sr1m,1,1
