~,st_data_export_price_multiplier
af_ah_e1,1
af_ah_e2,1
af_ah_f1,1
af_ah_g1,1
af_ah_g2,1
af_ah_h1,1
af_ah_h2,1
af_ah_o1,1
af_ah_o2,1
af_ah_r1,1
af_ah_r2,1
af_ah_r3,1
af_ah_r4,1
af_ah_r5,1
af_ah_s1,1
af_black,1
af_tlf_lost_soul,1
af_tlf_prometheus,1
ammo_knife_6,1
animation_hit_bolt,1
animation_hit_wpn_knife,1
animation_hit_wpn_knife2,1
animation_hit_wpn_knife3,1
animation_hit_wpn_knife4,1
animation_hit_wpn_knife5,1
animation_hit_wpn_knife6,1
animation_hit_wpn_knife7,1
animation_hit_wpn_knife8,1
animation_hit_wpn_knife9,1
exo_dolg_red_outfit,1
fieldcraft_plate_attch,1
items_anm_dummy,1
itm_tent_bag,1
itm_xcvb_1,1
itm_xcvb_2,1
itm_xcvb_3,1
marker,1
monolith_shard,1
powder_poltergeist,1
wpn_grot,1
wpn_grot_short,1
wpn_grot_short_tan,1
wpn_grot_tan,1
wpn_mk47_sup,1
