~,st_data_export_quantity,st_data_export_probability
0kp2,1,1
1p29,1,1
1p59,1,1
1p63,1,1
1p76,1,1
1p78gs,1,1
1p87,1,1
1pn93,1,1
1pn93n2_1gs,1,1
226sig_kit,1,1
23_up,1,1
ac10632,1,1
acog,1,1
ado,1,1
aim_acro,1,1
aim_low,1,1
aimpoint,1,1
archangel,1,1
bossxe,1,1
bravo4,1,1
c-more,1,1
c79,1,1
compm4s,1,1
d0cter,1,1
deltapoint,1,1
devo,1,1
e0t2,1,1
e0t2_magd,1,1
echo1,1,1
ekp8_02,1,1
ekp8_18,1,1
eot,1,1
exps3,1,1
gauss_sight,1,1
gee36,1,1
gurza_up,1,1
hamr,1,1
hco,1,1
he510,1,1
kab_up,1,1
kashtan_rmr,1,1
kemper,1,1
kit_aus_tri,1,1
kit_fal_leup,1,1
kit_sa5x_spec,1,1
kobra,1,1
kp_sr2,1,1
lazup_pl15,1,1
lco1,1,1
leupold,1,1
magpul_pro,1,1
march_f_shorty,1,1
march_f_shorty_alt,1,1
marchf,1,1
mark8_rmr,1,1
mepro,1,1
mod9,1,1
mod_x_gen3,1,1
monstrum,1,1
okp,1,1
p1x42,1,1
pgo7gs,1,1
pk1,1,1
pk6,1,1
pka,1,1
pl15_scolaz,1,1
pn23,1,1
point_aimpro,1,1
pritseldob,1,1
ps01,,
ps320,1,1
pso1m21,1,1
pso2,1,1
rakurs,1,1
razorhd,1,1
rmr,1,1
romeo4,1,1
romeo8,1,1
shakal,1,1
side,1,1
silen98,1,1
skeet,1,1
spec_alt,1,1
specter,1,1
sr1upgr1,1,1
sr2_upkit,1,1
sup,1,1
susat,1,1
swamp,1,1
t12,1,1
tac30,1,1
trihawk,1,1
triji,1,1
u2p2g0r,1,1
uh1_magd,1,1
uh2,1,1
upg220,1,1
usp1,1,1
vulcan,1,1
wpn_addon_grenade_launcher,1,1
wpn_addon_grenade_launcher_m203,1,1
wpn_addon_grenade_launcher_monolit,1,1
wpn_addon_grenade_launcher_scar,1,1
wpn_addon_scope_pu,1,1
wpn_addon_scope_zf4,1,1
wpn_sil_45,1,1
wpn_sil_57,1,1
wpn_sil_9a91,1,1
wpn_sil_9mm,1,1
wpn_sil_aac762,1,1
wpn_sil_aps,1,1
wpn_sil_ash12,1,1
wpn_sil_atg,1,1
wpn_sil_black_box,1,1
wpn_sil_daniel,1,1
wpn_sil_forester,1,1
wpn_sil_geks545,1,1
wpn_sil_gemtech,1,1
wpn_sil_hex23,1,1
wpn_sil_hexagon,1,1
wpn_sil_kac4,1,1
wpn_sil_kek12,1,1
wpn_sil_kzrzp,1,1
wpn_sil_lapu7,1,1
wpn_sil_m42k,1,1
wpn_sil_nato,1,1
wpn_sil_osp9,1,1
wpn_sil_pbs1,1,1
wpn_sil_pbs4,1,1
wpn_sil_pl15,1,1
wpn_sil_rotor,1,1
wpn_sil_salvo,1,1
wpn_sil_spec_isg,1,1
wpn_sil_sr1m,1,1
wpn_sil_sr25,1,1
wpn_sil_surfire,1,1
wpn_sil_tgp-a,1,1
wpn_sil_tgpv,1,1
wpn_sil_veresk,1,1
wpn_sil_vihr,1,1
