~,st_data_export_quantity,st_data_export_probability
0kp2,1,1
1p29,1,1
1p63,1,1
1p78gs,1,1
1p87,1,1
1pn93,1,1
1pn93n2_1gs,1,1
23_up,1,1
acog2k,1,1
af_camelbak,1,1
af_cooler,1,1
af_frames,1,1
af_freon,1,1
af_grid,1,1
af_kevlar,1,1
af_surge,1,1
aim_2k,1,1
akvatab,1,1
ammo_11.43x23_fmj,8,1
ammo_11.43x23_hydro,8,1
ammo_12.7x55_fmj,6,1
ammo_12x70_buck,8,1
ammo_12x76_zhekan,7,1
ammo_20x70_buck,8,1
ammo_23x75_shrapnel,5,1
ammo_357_hp_mag,8,1
ammo_5.45x39_ep,6,1
ammo_5.45x39_fmj,8,1
ammo_7.62x25_p,10,1
ammo_7.62x25_ps,10,1
ammo_7.62x39_fmj,5,1
ammo_7.62x54_7h1,4,1
ammo_7.92x33_ap,4,1
ammo_7.92x33_fmj,2,1
ammo_9x18_ap,8,1
ammo_9x18_fmj,8,1
ammo_9x18_pmm,7,1
ammo_9x19_ap,7,1
ammo_9x19_fmj,8,1
ammo_9x19_pbp,7,1
ammo_9x21_sp10,10,1
ammo_9x39_pab9,2,0.85
analgetic,2,1
antibio_chlor,1,1
antibio_sulfad,1,1
antiemetic,1,1
antirad,1,1
antirad_cystamine,1,1
antirad_kalium,1,1
ball_hammer,2,1
bandage,3,1
batteries_dead,5,1
beadspread,1,1
beans,2,1
beer,3,1
bolts_pack,4,1
boots,1,1
bottle_metal,2,1
box_matches,3,1
bread,4,1
breadold,6,1
broken_detector,1,1
c79,1,1
caffeine,1,1
cards,2,1
charcoal,2,1
chili,2,1
chocolate,2,1
chs,1,1
cigar,2,1
cigar1,2,1
cigar2,2,1
cigar3,2,1
cigarettes,4,1
cigarettes_lucky,3,1
cigarettes_russian,3,1
compression_bag,1,1
conserva,4,1
cooking,1,1
corn,2,1
detector_geiger,2,1
detector_radio,2,1
detector_simple,2,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
drink_crow,2,1
drug_anabiotic,1,1
drug_antidot,1,1
drug_booster,2,1
drug_coagulant,1,1
drug_psy_blockade,1,1
drug_radioprotector,1,1
drug_sleepingpills,1,1
ekp8_02,1,1
ekp8_18,1,1
energy_drink,3,1
eot,1,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
flashlight_broken,1,1
flask,2,1
gee36,1,1
gloves,1,1
glucose,1,1
glucose_s,1,1
grenade_rgd5,1,1
guitar_a,1,1
gurza_up,1,1
hand_rolling_tobacco,2,1
hand_watch,1,1
harmonica_a,1,1
headlamp,1,1
ied_rpg_new,1,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
jgut,1,1
kab_up,1,1
kerosene,2,1
kit_hunt,1,1
kobra,1,1
kolbasa,4,1
kp_sr2,1,1
kurtz,1,0.6
lazup_pl15,1,1
medkit,2,1
medkit_army,2,1
mineral_water,2,1
mirror,2,1
mre,1,1
nuts,2,1
okp,1,1
ots2_upgr_kit,1,0.85
p1x42,1,1
pb_upgr_kit,1,0.85
pgo7gs,1,1
pk1,1,1
pk6,1,1
pka,1,1
pl15_scolaz,1,1
pm_upgr_kit,1,0.85
pn23,1,1
porn,1,1
porn2,1,1
protein,2,1
ps01,1,1
pso1m21,1,1
pso2,1,1
radio,1,1
radio2,2,1
raisins,2,1
rakurs,1,1
ration_ru,1,1
ration_ukr,1,1
rope,1,1
salicidic_acid,1,1
salmon,2,1
sausage,2,1
shovel_mili,1,1
shovel_old,1,1
side,1,1
sr1upgr1,1,1
sr2_upkit,1,1
stimpack,2,1
stimpack_army,1,1
sup,1,1
susat,1,1
synthrope,2,1
tarpaulin,1,1
tea,2,1
tetanus,1,1
tobacco,2,1
tomato,2,1
trading_computer,1,1
tushonka,4,1
underwear,1,1
upg220,1,1
usp1,1,1
vitup,1,1
vodka,1,1
vodka2,1,1
vodka_quality,1,1
vorkuta,1,0.75
vulcan,1,1
walkie,2,1
water_drink,2,1
welding_goggles,1,1
wpn_addon_scope_po4x34,1,1
wpn_addon_scope_pu,1,1
wpn_axe,1,1
wpn_binoc_inv,1,1
wpn_fort17,1,0.88
wpn_knife,1,1
wpn_knife2,1,1
wpn_knife3,1,1
wpn_knife4,1,1
wpn_sil_9a91,1,1
wpn_sil_9mm,1,1
wpn_sil_aps,1,1
wpn_sil_ash12,1,1
wpn_sil_atg,1,1
wpn_sil_geks545,1,1
wpn_sil_hex23,1,1
wpn_sil_kek12,1,1
wpn_sil_pbs1,1,1
wpn_sil_pbs4,1,1
wpn_sil_pl15,1,1
wpn_sil_salvo,1,1
wpn_sil_sr1m,1,1
wpn_sil_tgp-a,1,1
wpn_sil_veresk,1,1
wpn_sil_vihr,1,1
yadylin,2,1
