~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_data_export_ammo_box_size,st_upgr_cost,BR1,BR2,BR3,BR4,BR5,st_data_export_projectiles,ui_inv_damage,ui_inv_accuracy,ui_inv_wrange,st_data_export_falloff,ui_inv_bspeed,st_data_export_impulse,st_data_export_weapon_degradation,st_data_export_k_hit,st_data_export_k_ap,st_data_export_k_air_resistance
ammo_9x18_pmm,ammo-9x18-pmm,ammo-9x18-pmm_descr,0.15,15,500,,,0.1,,,1,1.1,66%,100%,80%,187%,70%,40%,1.1,0.1,0.8
ammo_7.62x51_fmj_bad,ammo-7.62x51_fmj,ammo-7.62x51_fmj_descr,0.38,15,1240,,,,0.3,,1,1,55%,100%,10%,150%,63%,400%,1,0.3,0.1
ammo_9x18_ap_verybad,ammo-9x18-ap,ammo-9x18-ap_descr,0.17,15,144,,,,0.3,,1,0.6,75%,100%,80%,187%,50%,400%,0.6,0.3,0.8
ammo_12.7x55_ap_bad,ammo_12.7x55_ap,ammo_12.7x55_ap_descr,0.85,10,7000,,,,,1.2,1,1.35,70%,100%,60%,80%,280%,900%,1.35,1.2,0.6
ammo_4.6x30_fmj,ammo-4.6x30-fmj,ammo-4.6x30-fmj_descr,0.09,15,700,,,,0.25,,1,1,66%,100%,80%,100%,36%,40%,1,0.25,0.8
ammo_7.62x25_ps_bad,ammo-7.62x25-ps,ammo-7.62x25-ps_descr,0.17,16,624,,,,0.23,,1,0.8,68%,100%,50%,187%,46%,400%,0.8,0.23,0.5
ammo_7.62x39_fmj_bad,ammo-7.62x39_fmj,ammo-7.62x39_fmj_descr,0.24,15,855,,,,0.3,,1,1.1,80%,100%,30%,120%,62%,400%,1.1,0.3,0.3
ammo_9x39_pab9_verybad,ammo-9x39-pab9,ammo-9x39-pab9_descr,0.37,15,425,,,,0.27,,1,1.3,55%,100%,40%,100%,53%,400%,1.3,0.27,0.4
ammo_12x70_buck,ammo-12x70-buck,ammo-12x70-buck_descr,0.45,10,750,,0.038,,,,9,0.4,459%,75%,220%,142%,50%,40%,0.4,0.038,2.2
ammo_7.62x39_ap_bad,ammo-7.62x39_ap,ammo-7.62x39_ap_descr,0.24,15,2850,,,,,0.61,1,1.1,80%,100%,30%,120%,56%,400%,1.1,0.61,0.3
ammo_5.45x39_ep,ammo-5.45x39-ep,ammo-5.45x39-ep_descr,0.16,15,1050,,,0.15,,,1,1.6,66%,100%,30%,150%,55%,40%,1.6,0.15,0.3
ammo_5.56x45_ss190_bad,ammo-5.56x45-ss190,ammo-5.56x45-ss190_descr,0.18,15,1100,,,0.15,,,1,1.45,70%,100%,20%,160%,56%,400%,1.45,0.15,0.2
ammo_m209_bad,ammo-m209,ammo-m209_descr,0.20,1,665,,,,0.305,,0,1,66%,100%,100%,100%,130%,110%,1,0.305,1
ammo_7.62x54_7h1_verybad,ammo-7.62x54-7n1,ammo-7.62x54-7n1_descr,0.22,10,235,,,,0.3,,1,1.18,70%,100%,5%,150%,150%,900%,1.18,0.3,0.05
ammo_7.62x51_ap_verybad,ammo-7.62x51_ap,ammo-7.62x51_ap_descr,0.38,15,630,,,,,0.6,1,1,55%,100%,10%,150%,48%,400%,1,0.6,0.1
ammo_9x19_pbp_verybad,ammo-9x19-pbp,ammo-9x19-pbp_descr,0.17,15,188,,0.09,,,,1,1.3,75%,100%,75%,187%,90%,400%,1.3,0.09,0.75
ammo_357_hp_mag_verybad,ammo-357-hp,ammo-357-hp_descr,0.21,13,240,,,,0.3,,1,1.2,55%,100%,80%,150%,72%,700%,1.2,0.3,0.8
ammo_12x70_buck_bad,ammo-12x70-buck,ammo-12x70-buck_descr,0.45,10,415,,0.038,,,,9,0.38,550%,75%,220%,142%,33%,700%,0.38,0.038,2.2
ammo_7.62x25_p,ammo-7.62x25-p,ammo-7.62x25-p_descr,0.17,16,200,,,0.17,,,1,0.65,70%,100%,50%,187%,70%,40%,0.65,0.17,0.5
ammo_7.62x39_ap_verybad,ammo-7.62x39_ap,ammo-7.62x39_ap_descr,0.24,15,430,,,,,0.61,1,1.1,80%,100%,30%,120%,56%,400%,1.1,0.61,0.3
ammo_7.62x25_ps_verybad,ammo-7.62x25-ps,ammo-7.62x25-ps_descr,0.17,16,160,,,,0.23,,1,0.8,68%,100%,50%,187%,42%,400%,0.8,0.23,0.5
ammo_9x18_ap_bad,ammo-9x18-ap,ammo-9x18-ap_descr,0.17,15,860,,,,0.3,,1,0.6,70%,100%,80%,187%,52%,400%,0.6,0.3,0.8
ammo_12.7x55_fmj_verybad,ammo-12.7x55-fmj,ammo-12.7x55-fmj_descr,0.75,10,1260,,,,0.35,,1,1.35,66%,100%,50%,100%,280%,900%,1.35,0.35,0.5
ammo_7.62x54_7h1,ammo-7.62x54-7n1,ammo-7.62x54-7n1_descr,0.22,10,1300,,,,0.3,,1,1.18,66%,100%,5%,150%,150%,40%,1.18,0.3,0.05
ammo_5.56x45_ss190,ammo-5.56x45-ss190,ammo-5.56x45-ss190_descr,0.18,15,1050,,,0.15,,,1,1.45,66%,100%,20%,160%,57%,40%,1.45,0.15,0.2
ammo_7.62x54_ap,ammo-7.62x54-ap,ammo-7.62x54-ap_descr,0.33,15,3000,,,,,0.65,1,1.18,90%,100%,5%,150%,150%,40%,1.18,0.65,0.05
ammo_7.92x33_fmj_verybad,ammo-7.92x33_fmj,ammo-7.92x33_fmj_descr,0.37,15,335,,,,0.25,,1,1,90%,100%,25%,150%,150%,900%,1,0.25,0.25
ammo_9x39_ap,ammo-9x39-ap,ammo-9x39-ap_descr,0.36,15,1700,,,,,0.5,1,1.3,66%,100%,40%,100%,50%,40%,1.3,0.5,0.4
ammo_7.62x25_p_verybad,ammo-7.62x25-p,ammo-7.62x25-p_descr,0.17,16,115,,,0.15,,,1,0.65,72%,100%,50%,187%,60%,400%,0.65,0.15,0.5
