~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
af_camelbak,st_af_camelbak_name,2,recipe_advanced_4,st_recipe_advanced_4,st_prt_i_scrap,x5,st_prt_o_ballistic_9,x4,st_prt_o_ballistic_13,x3,st_prt_o_retardant_13,x3
af_camelbak_up,st_af_camelbak_up_name,3,recipe_expert_2,st_recipe_expert_2,st_af_camelbak_name,x1,st_af_dummy_battery_name,x1,,,,
af_cooler,st_af_cooler_name,2,recipe_advanced_2,st_recipe_advanced_2,st_prt_o_retardant_7,x4,st_prt_i_scrap,x5,st_prt_i_fasteners,x4,st_prt_o_fabrics_4,x4
af_cooler_up,st_af_cooler_up_name,3,recipe_expert_1,st_recipe_expert_1,st_af_cooler_name,x1,st_af_fireball_name,x1,,,,
af_frames,st_af_frames_name,2,recipe_advanced_0,,st_prt_i_scrap,x6,st_prt_o_ballistic_15,x3,st_prt_i_fasteners,x4,st_prt_o_fabrics_3,x6
af_frames_up,st_af_frames_up_name,3,recipe_expert_0,,st_af_frames_name,x1,st_af_night_star_name,x1,,,,
af_freon,st_af_freon_name,2,recipe_advanced_1,st_recipe_advanced_1,st_prt_o_retardant_1,x4,st_prt_o_retardant_5,x5,st_prt_i_scrap,x3,st_prt_i_plastic,x3
af_freon_up,st_af_freon_up_name,3,recipe_expert_1,st_recipe_expert_1,st_af_freon_name,x1,st_af_cristall_name,x1,,,,
af_grid,st_af_grid_name,2,recipe_advanced_0,,st_prt_o_ballistic_5,x2,st_prt_i_scrap,x4,st_prt_i_fasteners,x4,st_prt_o_fabrics_3,x4
af_grid_up,st_af_grid_up_name,3,recipe_expert_0,,st_af_grid_name,x1,st_af_gravi_name,x1,,,,
af_kevlar,st_af_kevlar_name,2,recipe_advanced_3,st_recipe_advanced_3,st_prt_o_ballistic_1,x2,st_prt_o_ballistic_3,x3,st_prt_o_ballistic_5,x3,st_prt_o_ballistic_7,x4
af_plates,st_af_plates_name,2,recipe_advanced_0,,st_prt_o_ballistic_13,x4,st_prt_o_ballistic_9,x3,st_prt_i_scrap,x3,st_prt_i_fasteners,x3
af_surge,st_af_surge_name,2,recipe_advanced_0,,st_prt_i_resistors,x6,st_prt_i_scrap,x4,st_prt_i_fasteners,x4,st_prt_o_retardant_17,x3
af_surge_up,st_af_surge_up_name,3,recipe_expert_3,st_recipe_expert_3,st_af_surge_name,x1,st_af_electra_sparkler_name,x1,,,,
army_bowler,st_army_bowler,2,recipe_advanced_0,,st_cooking,x6,st_prt_i_scrap,x5,st_prt_i_fasteners,x3,st_cutlery,x3
wpn_binoc_inv,st_binocular_name,3,recipe_expert_0,,st_welding_goggles,x2,st_mirror,x4,st_addon_scope_ac10632,x4,,
compression_bag,st_compression_bag,1,recipe_basic_0,,st_sewing_thread,x3,st_prt_o_fabrics_4,x3,st_prt_o_fabrics_3,x4,,
cooking,st_cooking,1,recipe_basic_0,,st_cutlery,x3,st_prt_i_scrap,x4,,,,
equ_military_pack,st_equ_milpack_name,1,recipe_basic_3,st_recipe_basic_3,st_sewing_thread,x10,st_prt_o_fabrics_4,x13,st_prt_o_fabrics_2,x8,st_prt_o_fabrics_3,x12
equ_small_pack,st_equ_smallpack_name,1,recipe_basic_1,st_recipe_basic_1,st_sewing_thread,x6,st_prt_o_fabrics_3,x8,st_prt_o_fabrics_1,x6,st_prt_o_fabrics_2,x8
equ_small_military_pack,st_equ_smilpack_name,1,recipe_basic_2,st_recipe_basic_2,st_sewing_thread,x8,st_prt_o_fabrics_4,x10,st_prt_o_fabrics_2,x6,st_prt_o_fabrics_3,x10
equ_tourist_pack,st_equ_touristpack_name,1,recipe_basic_4,st_recipe_basic_4,st_sewing_thread,x12,st_prt_o_fabrics_3,x16,st_prt_o_fabrics_1,x10,st_prt_o_fabrics_2,x15
fieldcooker,st_fieldcooker,3,recipe_expert_0,,st_army_bowler,x1,st_balon_gas,x6,st_prt_i_scrap,x10,st_prt_i_fasteners,x8
itm_backpack,st_itm_backpack_name,1,recipe_basic_0,,st_sewing_thread,x4,st_prt_o_fabrics_2,x6,st_prt_o_fabrics_1,x6,st_prt_o_fabrics_3,x6
itm_sleepbag,st_itm_sleepbag_name,2,recipe_advanced_0,,st_sewing_thread,x4,st_itm_backpack_name,x2,st_prt_o_fabrics_3,x8,st_prt_o_fabrics_4,x6
itm_tent,st_itm_tent_name,1,recipe_basic_1,st_recipe_basic_1,st_rope,x6,st_prt_i_wood,x3,st_prt_o_fabrics_4,x10,st_ball_hammer,x2
kit_hunt,st_kit_hunt,3,recipe_expert_0,,st_sewing_thread,x4,st_itm_backpack_name,x2,st_swiss,x6,st_knife_hunting,x1
lead_box,st_lead_box_name,1,recipe_basic_0,,st_prt_i_scrap,x10,st_prt_i_fasteners,x4,st_ball_hammer,x1,,
leatherman_tool,st_leatherman_tool,1,recipe_basic_2,st_recipe_basic_2,st_prt_i_scrap,x4,st_prt_i_fasteners,x8,st_swiss,x5,st_ball_hammer,x1
decor_door,st_placeable_door,2,recipe_advanced_0,,st_prt_i_wood,x4,st_prt_i_fasteners,x2,,,,
decor_door02,st_placeable_door02,2,recipe_advanced_0,,st_prt_i_scrap,x4,st_prt_i_fasteners,x2,,,,
decor_door03,st_placeable_door03,2,recipe_advanced_0,,st_prt_i_wood,x4,st_prt_i_fasteners,x2,,,,
decor_door04,st_placeable_door04,2,recipe_advanced_0,,st_prt_i_wood,x4,st_prt_i_fasteners,x2,,,,
decor_door05,st_placeable_door05,2,recipe_advanced_0,,st_prt_i_scrap,x2,st_prt_i_wood,x2,st_prt_i_fasteners,x2,,
decor_metal_plate,st_placeable_metal_plate,1,recipe_basic_0,,st_prt_i_scrap,x2,st_prt_i_fasteners,x3,,,,
device_metal_torch,st_placeable_metal_torch,1,recipe_basic_0,,st_lead_box_name,x1,st_device_flashlight,x1,st_prt_i_capacitors,x2,st_prt_i_scrap,x2
radio_item,st_placeable_radio,1,recipe_basic_0,,st_radio2,x1,st_prt_i_copper,x2,st_prt_i_transistors,x1,st_prt_i_resistors,x2
decor_shield,st_placeable_shield,1,recipe_basic_0,,st_prt_i_scrap,x3,st_prt_i_fasteners,x3,,,,
decor_wall,st_placeable_wall,2,recipe_advanced_0,,st_prt_i_wood,x15,st_prt_i_fasteners,x5,,,,
decor_wall02,st_placeable_wall02,2,recipe_advanced_0,,st_prt_i_wood,x6,st_prt_i_fasteners,x3,,,,
decor_wall02_metal,st_placeable_wall02_metal,2,recipe_advanced_0,,st_prt_i_scrap,x6,st_prt_i_fasteners,x6,,,,
decor_wall_divider,st_placeable_wall_divider,1,recipe_basic_0,,st_prt_i_wood,x3,st_prt_i_fasteners,x2,,,,
decor_wall_doorway,st_placeable_wall_doorway,2,recipe_advanced_0,,st_prt_i_wood,x13,st_prt_i_fasteners,x5,,,,
decor_wall_doorway_metal,st_placeable_wall_doorway_metal,2,recipe_advanced_0,,st_prt_i_scrap,x13,st_prt_i_fasteners,x13,,,,
decor_wall_metal,st_placeable_wall_metal,2,recipe_advanced_0,,st_prt_i_scrap,x15,st_prt_i_fasteners,x15,,,,
decor_wooden_board,st_placeable_wooden_board,1,recipe_basic_0,,st_prt_i_wood,x4,st_prt_i_fasteners,x2,,,,
decor_wooden_plank,st_placeable_wooden_plank,1,recipe_basic_0,,st_prt_i_wood,x1,st_prt_i_fasteners,x1,,,,
