~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
adrenalin,st_adrenalin,4,recipe_drug_3,st_recipe_drug_3,st_drug_booster,x2,st_e_syringe,x1,st_prt_i_plastic,x2,,
analgetic,st_analgetic,4,recipe_drug_2,st_recipe_drug_2,st_yadylin,x1,st_bandage,x1,st_e_syringe,x1,,
antiemetic,st_antiemetic,4,recipe_drug_0,,st_tetanus,x1,st_prt_i_plastic,x1,,,,
antirad,st_antirad,4,recipe_drug_0,,st_antirad_kalium,x2,st_prt_i_plastic,x1,,,,
antirad_cystamine,st_antirad_cystamine,4,recipe_drug_3,st_recipe_drug_3,st_antirad,x1,st_antirad_kalium,x3,st_prt_i_plastic,x1,,
antirad_kalium,st_antirad_kalium,4,recipe_drug_1,st_recipe_drug_1,st_sleepingpills,x3,st_vodka,x1,st_prt_i_plastic,x1,,
bandage,st_bandage,4,recipe_drug_0,,st_drug_coagulant,x2,st_prt_o_fabrics_3,x4,,,,
cocaine,st_cocaine,4,recipe_drug_2,st_recipe_drug_2,st_drug_booster,x1,st_prt_i_plastic,x2,,,,
drug_anabiotic,st_drug_anabiotic,4,recipe_drug_4,st_recipe_drug_4,st_drug_psy_blockade,x5,st_drug_booster,x2,st_prt_i_plastic,x1,,
drug_antidot,st_drug_antidot,4,recipe_drug_1,st_recipe_drug_1,st_antiemetic,x3,st_prt_i_plastic,x2,,,,
drug_booster,st_drug_booster,4,recipe_drug_0,,st_joint,x1,st_vodka,x1,st_jar,x1,,
drug_coagulant,st_drug_coagulant,4,recipe_drug_0,,st_antibio_chlor,x1,st_sleepingpills,x5,st_prt_i_plastic,x1,,
drug_psy_blockade,st_drug_psy_blockade,4,recipe_drug_3,st_recipe_drug_3,st_drug_anabiotic,x5,st_sleepingpills,x5,st_prt_i_plastic,x1,,
drug_radioprotector,st_drug_radioprotector,4,recipe_drug_2,st_recipe_drug_2,st_antibio_sulfad,x1,st_antirad,x2,st_prt_i_plastic,x1,,
glucose,st_glucose,4,recipe_drug_1,st_recipe_drug_1,st_glucose_s,x2,st_e_syringe,x1,,,,
glucose_s,st_glucose_s,4,recipe_drug_0,,st_protein,x1,st_e_syringe,x1,,,,
jgut,st_jgut_zhgut,4,recipe_drug_1,st_recipe_drug_1,st_bandage,x2,st_prt_o_fabrics_4,x1,,,,
medkit,st_medkit,4,recipe_drug_0,,st_yadylin,x2,st_e_syringe,x2,st_prt_i_plastic,x2,,
medkit_army,st_medkit_army,4,recipe_drug_1,st_recipe_drug_1,st_medkit,x3,st_bandage,x2,st_prt_i_plastic,x2,,
medkit_scientic,st_medkit_science,4,recipe_drug_2,st_recipe_drug_2,st_medkit,x4,st_antirad,x2,st_bandage,x3,st_prt_i_plastic,x2
morphine,st_morphine,4,recipe_drug_3,st_recipe_drug_3,st_salicidic_acid,x1,st_drug_booster,x1,st_e_syringe,x2,,
rebirth,st_rebirth,4,recipe_drug_4,st_recipe_drug_4,st_survival_kit,x1,st_yadylin,x2,st_e_syringe,x2,,
salicidic_acid,st_salicidic_acid,4,recipe_drug_2,st_recipe_drug_2,st_protein,x1,st_drug_booster,x1,st_e_syringe,x1,,
stimpack,st_stim_impro,4,recipe_drug_0,,st_medkit,x2,st_e_syringe,x1,st_prt_i_plastic,x1,,
stimpack_army,st_stim_military,4,recipe_drug_1,st_recipe_drug_1,st_medkit_army,x2,st_e_syringe,x1,st_prt_i_plastic,x1,,
stimpack_scientic,st_stim_scientic,4,recipe_drug_2,st_recipe_drug_2,st_medkit_science,x2,st_e_syringe,x1,st_prt_i_plastic,x1,,
survival_kit,st_survival_kit,4,recipe_drug_4,st_recipe_drug_4,st_antirad,x3,st_medkit,x3,st_bandage,x5,,
tetanus,st_tetanus,4,recipe_drug_3,st_recipe_drug_3,st_antibio_chlor,x1,st_antibio_sulfad,x1,st_e_syringe,x1,,
yadylin,st_yadylin,4,recipe_drug_1,st_recipe_drug_1,st_sleepingpills,x3,st_protein,x1,st_jar,x1,,
