~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,st_data_export_sleepiness,st_data_export_thirst,st_data_export_eat_alcohol,st_data_export_eat_health_change,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_satiety,st_ui_number_of_uses,ui_inv_effect_time,st_prop_restore_health,st_data_export_restore_health_max,st_prop_restore_bleeding,st_data_export_restore_bleeding_max,st_data_export_restore_radiation,st_data_export_restore_radiation_max,ui_inv_outfit_power_restore,st_data_export_power_restore_max,ui_inv_outfit_radiation_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_additional_weight,st_data_export_used_in_crafting,st_data_export_can_be_crafted
stimpack_scientic,st_stim_scientic,st_stim_scientic_descr,0.10,6000,5,1%,1%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-10%,1,15,10%,150%,0,0,69,1035,0%,0%,0%,0%,0%,0,N,Y
adrenalin,st_adrenalin,st_adrenalin_descr,0.05,12240,5,-3%,3%,-53%,-1.2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,31%,1,2184,0%,0%,0,0,0,0,6.29%,13737%,0%,0%,0%,4.15,N,Y
morphine,st_morphine,st_morphine_descr,0.07,1640,5,2%,1%,3%,10.9%,13.16%,26.18%,0%,0%,0%,0%,0%,18.62%,24.08%,-28%,1,1518,0%,0%,0.219,332.442,0,0,0%,0%,0%,0%,0%,0,N,Y
raid_injector_1,st_raid_injector_1,st_raid_injector_1_descr,0.10,12000,5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,0,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,N,N
drug_radioprotector,st_drug_radioprotector,st_drug_radioprotector_descr,0.01,1720,4,1%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-11%,2,751,0%,0%,0,0,0,0,0%,0%,219%,0%,0%,0,N,Y
antibio_chlor,st_antibio_chlor,st_antibio_chlor_descr,0.04,521,2,0%,0%,3%,-3.15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,899,0%,0%,0,0,0,0,0%,0%,4%,0%,0%,0,Y,N
antiemetic,st_antiemetic,st_antiemetic_descr,0.04,680,4,0%,0%,-43%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3,143,0%,0%,0,0,0,0,0.1%,14%,0%,1%,0%,0,Y,Y
drug_antidot,st_drug_antidot,st_drug_antidot_descr,0.01,3360,4,1%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,3,296,0%,0%,0,0,0,0,0%,0%,0%,2%,0%,0,N,Y
raid_injector_5,st_raid_injector_5,st_raid_injector_5_descr,0.10,60000,5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,0,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,N,N
drug_coagulant,st_drug_coagulant,st_drug_coagulant_descr,0.01,3350,4,0%,3%,0%,0%,5.25%,11.65%,0%,0%,0%,0%,0%,8.82%,11.97%,-17%,5,438,0%,0%,0.063,27.594,0,0,0%,0%,0%,0%,0%,0,Y,Y
cocaine,st_cocaine,st_cocaine_descr,0.01,4542,5,-2%,3%,-16%,-5.7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,21%,1,1644,0%,0%,0,0,0,0,4.42%,7266%,0%,0%,0%,2.33,N,Y
drug_booster,st_drug_booster,st_drug_booster_descr,0.18,2382,3,-1%,0%,-44%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,23%,1,548,0%,0%,0,0,0,0,2.8%,1534%,0%,0%,0%,1.07,Y,Y
akvatab,st_akvatab,st_akvatab_descr,0.01,4524,4,-1%,3%,-21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,3,36,0%,0%,0,0,40,1440,0%,0%,0%,0%,0%,0,N,N
drug_sleepingpills,st_sleepingpills,st_sleepingpills_descr,0.01,2100,1,30%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5,1248,0%,0%,0,0,0,0,0%,0%,0%,0%,1%,0,Y,N
glucose_s,st_glucose_s,st_glucose_s_descr,0.01,1440,2,2%,1%,0%,-0.9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17%,1,0,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,Y,Y
antirad,st_antirad,st_antirad_descr,0.05,1860,3,1%,3%,0%,-5.3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-35%,1,10.8,0%,0%,0,0,106,1144,0%,0%,0%,0%,0%,0,Y,Y
raid_injector_4,st_raid_injector_4,st_raid_injector_4_descr,0.10,50000,5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,0,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,N,N
raid_injector_3,st_raid_injector_3,st_raid_injector_3_descr,0.10,40000,5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,0,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,N,N
jgut,st_jgut_zhgut,st_jgut_descr,0.02,1750,2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-10%,1,5,0%,0%,5.25,26.25,0,0,0%,0%,0%,0%,0%,0,N,Y
yadylin,st_yadylin,st_yadylin_descr,0.10,816,2,2%,0%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-10%,1,262.6,0.2%,52%,0,0,0,0,0%,0%,0%,0%,0%,0,Y,Y
stimpack_army,st_stim_military,st_stim_military_descr,0.10,5000,4,1%,1%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-21%,1,15,10%,150%,0,0,0,0,0%,0%,0%,0%,0%,0,N,Y
caffeine,st_caffeine,st_caffeine_descr,0.01,2550,2,-3%,3%,-17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,5,266,0%,0%,0,0,0,0,0.8%,212%,0%,0%,0%,0.72,N,N
bandage,st_bandage,st_bandage_descr,0.04,1000,1,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-3%,1,10,0%,0%,1.5,15,0,0,0%,0%,0%,0%,0%,0,Y,Y
raid_injector_2,st_raid_injector_2,st_raid_injector_2_descr,0.10,25000,5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,0,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,N,N
medkit,st_medkit,st_medkit_descr,0.50,2500,2,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,33.4,3%,100%,0,0,15,501,0%,0%,0%,0%,0%,0,Y,Y
rebirth,st_rebirth,st_rebirth_descr,0.08,6690,5,-1%,0%,53%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,46%,1,8.5,37.6%,319%,0,0,566,4811,0%,0%,0%,0%,0%,0,N,Y
drug_anabiotic,st_drug_anabiotic,st_drug_anabiotic_descr,0.01,2650,5,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,0,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,Y,Y
medkit_scientic,st_medkit_science,st_medkit_science_descr,0.50,6500,4,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2,33.4,5%,167%,0.75,25.05,46,1536,0%,0%,428%,0%,2%,0,Y,Y
raid_injector_general,st_stim_scientic,st_stim_scientic_descr,0.10,1,5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,0,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,N,N
tetanus,st_tetanus,st_tetanus_descr,0.05,1940,3,1%,1%,0%,-0.9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-12%,1,434,0.102%,44%,0,0,2,868,0%,0%,0%,0%,0%,0,Y,Y
salicidic_acid,st_salicidic_acid,st_salicidic_acid_descr,0.08,980,4,1%,1%,2%,9.1%,11.52%,19.6%,0%,0%,0%,0%,0%,14.96%,20.4%,-19%,1,1152,0%,0%,0.123,141.696,0,0,0%,0%,0%,0%,0%,0,Y,Y
glucose,st_glucose,st_glucose_descr,0.02,2760,3,3%,1%,0%,-0.9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,39%,1,0,0%,0%,0,0,0,0,0%,0%,0%,0%,0%,0,N,Y
stimpack,st_stim_impro,st_stim_impro_descr,0.10,3000,2,1%,1%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-17%,1,12,7%,84%,0,0,0,0,0%,0%,0%,0%,0%,0,N,Y
survival_kit,st_survival_kit,st_survival_kit_descr,0.18,7500,5,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,34%,1,45,6%,270%,15,675,116,5220,0%,0%,0%,0%,0%,0,Y,Y
antibio_sulfad,st_antibio_sulfad,st_antibio_sulfad_descr,0.04,935,3,0%,0%,3%,-1.55%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,3,899,0%,0%,0,0,0,0,0%,0%,7%,0%,0%,0,Y,N
analgetic,st_analgetic,st_analgetic_descr,0.08,1360,2,3%,0%,3%,2.3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-24%,1,1042,0.08%,83%,0.078,81.276,0,0,0%,0%,0%,0%,0%,0,N,Y
drug_psy_blockade,st_drug_psy_blockade,st_drug_psy_blockade_descr,0.01,4450,3,1%,3%,57%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-13%,5,1248,0%,0%,0,0,0,0,0%,0%,0%,0%,2%,0,Y,Y
medkit_army,st_medkit_army,st_medkit_army_descr,0.50,4500,4,0%,1%,0%,0%,10%,20%,0%,0%,0%,0%,0%,16%,20%,0%,2,33.4,5%,167%,0.75,25.05,0,0,4%,133%,0%,0%,0%,0,Y,Y
antirad_cystamine,st_antirad_cystamine,st_antirad_cystamine_descr,0.05,1080,3,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-14%,1,231,0%,0%,0,0,0,0,0%,0%,148%,0%,0%,0,N,Y
antirad_kalium,st_antirad_kalium,st_antirad_kalium_descr,0.05,3080,4,3%,0%,0%,-8.3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-35%,3,10,0%,0%,0,0,106,1060,0%,0%,0%,0%,0%,0,Y,Y
