~,st_data_export_visual_item_id,st_data_export_hit_fraction,st_data_export_ap_scale,st_data_export_body_bonearmor,st_data_export_head_bonearmor
actors\barman\barman,"novice_outfit,helm_cloth_mask",0.9,0.9,0.011,0
actors\dolg\stalker_do_balon_1,"dolg_outfit,helm_respirator",0.45,0.8,0.15,0
actors\izgoy\izgoy,exo_outfit,0.15,0.7,0.45,0.3
actors\mnp_npc_remeik\bandit_mechanic_td,exo_outfit,0.15,0.7,0.45,0.3
actors\mnp_npc_remeik\bandit_trader_td,stalker_outfit,0.5,0.8,0.1,0
actors\mnp_npc_remeik\esc_army_secret_trader,military_outfit,0.2,0.75,0.35,0.3
actors\mnp_npc_remeik\girl,exo_outfit,0.15,0.7,0.45,0.3
actors\mnp_npc_remeik\killer_leshiy,,0.2,0.75,0.4,0.3
actors\mnp_npc_remeik\leshui,,0.45,0.8,0.15,0
actors\mnp_npc_remeik\mar_tropnik,cs_medium_outfit,0.3,0.75,0.2,0.2
actors\mnp_npc_remeik\merc_black,merc_scientific_outfit,0.4,0.8,0.15,0.15
actors\mnp_npc_remeik\merc_grivon,,0.7,0.85,0.075,0
actors\mnp_npc_remeik\merc_meshanik,merc_scientific_outfit,0.4,0.8,0.15,0.15
actors\mnp_npc_remeik\merc_rasvet,"dolg_outfit,helm_respirator",0.45,0.8,0.15,0
actors\mnp_npc_remeik\merc_tihiy,merc_scientific_outfit,0.4,0.8,0.15,0.15
actors\mnp_npc_remeik\merc_trader,merc_scientific_outfit,0.4,0.8,0.15,0.15
actors\mnp_npc_remeik\meschanic_band_klatbiche,,0.7,0.85,0.075,0
actors\mnp_npc_remeik\monolit_jupiter_mechanik,stalker_outfit,0.5,0.8,0.1,0
actors\mnp_npc_remeik\monolit_jupiter_trader,stalker_outfit,0.5,0.8,0.1,0
actors\mnp_npc_remeik\monolit_kbo_bariga,stalker_outfit,0.5,0.8,0.1,0
actors\mnp_npc_remeik\provodnik_mops,,0.7,0.85,0.075,0
actors\mnp_npc_remeik\stalker_dushman_skat,dolg_pantsir_outfit,0.2,0.75,0.4,0.3
actors\mnp_npc_remeik\stalker_ki_head_5,,0.2,0.75,0.4,0.3
actors\mnp_npc_remeik\stalker_ki_hero,"merc_outfit,helm_m40",0.5,0.8,0.15,0.011
actors\mnp_npc_remeik\stalker_ki_informator,"merc_outfit,helm_m40",0.5,0.8,0.15,0.011
actors\mnp_npc_remeik\stalker_mikluha,military_outfit,0.2,0.75,0.35,0.3
actors\mnp_npc_remeik\stalker_shram,"trenchcoat_brown_outfit,helm_rp_bala",0.85,0.9,0.011,0
actors\mnp_npc_remeik\stalker_soldier_medic,military_outfit,0.2,0.75,0.35,0.3
actors\mnp_npc_remeik\sviblov,dolg_pantsir_outfit,0.2,0.75,0.4,0.3
actors\mnp_npc_remeik\trader_band_klatbiche,,0.7,0.85,0.075,0
actors\neytral\stalker_bar_security,,0.15,0.7,0.45,0.3
actors\neytral\stalker_neytral_balon_6,stalker_outfit,0.5,0.8,0.1,0
actors\neytral\stalker_neytral_hood_uzor,stalker_outfit,0.5,0.8,0.1,0
actors\neytral\stalker_neytral_rukzak_2,stalker_outfit,0.5,0.8,0.1,0
actors\neytral\stalker_plash_1,"trenchcoat_brown_outfit,helm_rp_bala",0.85,0.9,0.011,0
actors\novice\stalker_plash_1,,0.7,0.85,0.011,0.011
actors\novice\stalker_plash_2,,0.7,0.85,0.011,0.011
actors\stalker_bandit\1,,0.9,0.9,0.011,0
actors\stalker_bandit\1_1,,0.9,0.9,0.011,0
actors\stalker_bandit\1_10,,0.9,0.9,0.011,0.011
actors\stalker_bandit\1_11,,0.9,0.9,0.011,0
actors\stalker_bandit\1_12,,0.9,0.9,0.011,0
actors\stalker_bandit\1_13,,0.9,0.9,0.011,0
actors\stalker_bandit\1_2,,0.9,0.9,0.011,0.011
actors\stalker_bandit\1_3,,0.9,0.9,0.011,0
actors\stalker_bandit\1_4,,0.9,0.9,0.011,0
actors\stalker_bandit\1_5,,0.9,0.9,0.011,0
actors\stalker_bandit\1_6,,0.9,0.9,0.011,0
actors\stalker_bandit\1_7,,0.9,0.9,0.011,0
actors\stalker_bandit\1_8,,0.9,0.9,0.011,0
actors\stalker_bandit\1_9,,0.9,0.9,0.011,0
actors\stalker_bandit\2,,0.5,0.8,0.15,0
actors\stalker_bandit\2_0,,0.5,0.8,0.15,0.011
actors\stalker_bandit\2_0_1,,0.5,0.8,0.15,0
actors\stalker_bandit\2_0_10,,0.5,0.8,0.15,0.011
actors\stalker_bandit\2_0_11,,0.5,0.8,0.15,0.011
actors\stalker_bandit\2_0_2,,0.5,0.8,0.15,0
actors\stalker_bandit\2_0_3,,0.5,0.8,0.15,0
actors\stalker_bandit\2_0_4,,0.5,0.8,0.15,0
actors\stalker_bandit\2_0_5,,0.5,0.8,0.15,0
actors\stalker_bandit\2_0_6,,0.5,0.8,0.15,0
actors\stalker_bandit\2_0_7,,0.5,0.8,0.15,0
actors\stalker_bandit\2_0_8,,0.5,0.8,0.15,0
actors\stalker_bandit\2_0_9,,0.5,0.8,0.15,0
actors\stalker_bandit\2_1,,0.5,0.8,0.15,0
actors\stalker_bandit\2_2,,0.5,0.8,0.15,0
actors\stalker_bandit\2_3,,0.5,0.8,0.15,0
actors\stalker_bandit\2_4,,0.5,0.8,0.15,0
actors\stalker_bandit\2_5,,0.5,0.8,0.15,0
actors\stalker_bandit\2_6,,0.5,0.8,0.15,0
actors\stalker_bandit\2_7,,0.5,0.8,0.15,0.011
actors\stalker_bandit\2_8,,0.5,0.8,0.15,0.011
actors\stalker_bandit\2_9,,0.5,0.8,0.15,0.011
actors\stalker_bandit\3,,0.45,0.8,0.15,0.011
actors\stalker_bandit\3_1,,0.45,0.8,0.15,0
actors\stalker_bandit\3_2,,0.7,0.85,0.011,0
actors\stalker_bandit\3_3,,0.45,0.8,0.15,0.011
actors\stalker_bandit\3_4,,0.45,0.8,0.15,0
actors\stalker_bandit\3_5,,0.45,0.8,0.15,0
actors\stalker_bandit\3_6,,0.45,0.8,0.15,0
actors\stalker_bandit\3_7,,0.45,0.8,0.15,0
actors\stalker_bandit\4,,0.45,0.8,0.15,0
actors\stalker_bandit\4_1,,0.45,0.8,0.15,0.011
actors\stalker_bandit\4_2,,0.7,0.85,0.011,0
actors\stalker_bandit\4_3,,0.45,0.8,0.15,0.011
actors\stalker_bandit\4_4,,0.45,0.8,0.15,0
actors\stalker_bandit\4_5,,0.45,0.8,0.15,0
actors\stalker_bandit\4_6,,0.45,0.8,0.15,0
actors\stalker_bandit\4_7,,0.45,0.8,0.15,0
actors\stalker_bandit\4_8,,0.45,0.8,0.15,0
actors\stalker_bandit\bandit1a_mask,"bandit_novice_outfit,helm_cloth_mask",0.9,0.9,0.011,0
actors\stalker_bandit\light_bandit,,0.3,0.75,0.25,0
actors\stalker_bandit\light_bandit_backpacker,,0.3,0.75,0.25,0.3
actors\stalker_bandit\light_bandit_ppm,,0.3,0.75,0.25,0.011
actors\stalker_bandit\stalker_band2a_mask,"banditmerc_outfit,helm_m40",0.5,0.8,0.15,0.011
actors\stalker_bandit\stalker_band_2_mask,"banditmerc_outfit,helm_m40",0.5,0.8,0.15,0.011
actors\stalker_bandit\stalker_band_brokenexolight,,0.3,0.75,0.25,0
actors\stalker_bandit\stalker_band_brokenexolight_2,,0.3,0.75,0.25,0
actors\stalker_bandit\stalker_band_brokenexolight_3,,0.3,0.75,0.25,0
actors\stalker_bandit\stalker_band_brokenexolight_4,,0.3,0.75,0.25,0
actors\stalker_bandit\stalker_band_ha,,0.3,0.7,0.3,0.3
actors\stalker_bandit\stalker_band_ha_backpack,,0.3,0.7,0.3,0.3
actors\stalker_bandit\stalker_band_ha_glasses,,0.3,0.75,0.25,0.2
actors\stalker_bandit\stalker_band_ha_glasses_2,,0.3,0.75,0.25,0.2
actors\stalker_bandit\stalker_band_ha_pbf,,0.3,0.7,0.3,0.3
actors\stalker_bandit\stalker_band_ha_pbf_2,,0.3,0.7,0.3,0.3
actors\stalker_bandit\stalker_bandit1a,"bandit_novice_outfit,helm_cloth_mask",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit1a_gas,"bandit_novice_outfit,helm_respirator",0.9,0.9,0.011,0.011
actors\stalker_bandit\stalker_bandit1a_glasses,,0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit1a_mask,"bandit_novice_outfit,helm_rp_bala",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit1b,"bandit_novice_outfit_alt,helm_cloth_mask",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit1b_gas,"bandit_novice_outfit_alt,helm_respirator",0.9,0.9,0.011,0.011
actors\stalker_bandit\stalker_bandit1b_mask,"bandit_novice_outfit_alt,helm_rp_bala",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit1b_vest,,0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit1b_vest_gp5,,0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit1c,"bandit_novice_outfit,helm_cloth_mask",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit1c_csvest,,0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit1c_csvest_shades,,0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit1c_gas,"bandit_novice_outfit,helm_respirator",0.9,0.9,0.011,0.011
actors\stalker_bandit\stalker_bandit1c_mask,"bandit_novice_outfit,helm_rp_bala",0.9,0.9,0.011,0
actors\stalker_bandit\stalker_bandit2a,"banditmerc_outfit,helm_cloth_mask",0.5,0.8,0.15,0
actors\stalker_bandit\stalker_bandit2a_altyn,,0.5,0.8,0.15,0.3
actors\stalker_bandit\stalker_bandit2a_altyn_2,,0.5,0.8,0.15,0.3
actors\stalker_bandit\stalker_bandit2a_longhaul,,0.5,0.8,0.15,0.011
actors\stalker_bandit\stalker_bandit2a_longhaul_2,,0.5,0.8,0.15,0.011
