~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_inv_outfit_durability_physical,ui_inv_outfit_durability_anomaly,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed
monolith_scientific_outfit,monolith,monolith_scientific_outfit_name,monolith_scientific_outfit_description,7.82,53440,H,83%,96%,53%,39%,33%,47%,170%,39%,17%,34%,18%,2,4,16,96%
cs_exolight_outfit,csky,cs_exolight_outfit_name,cs_exolight_outfit_description,13.30,78350,H,100%,71%,70%,44%,41%,55%,249%,53%,9%,41%,36%,1,2,30,94%
dolg_proto_exo_outfit,dolg,dolg_proto_exo_outfit_name,dolg_proto_exo_outfit_description,15.24,84600,E,86%,71%,33%,47%,12%,17%,70%,9%,0%,43%,22%,1,2,88,110%
exo_wood_outfit,st_data_export_unknown,exo_wood_outfit_name,exo_wood_outfit_description,14.40,82350,H,100%,71%,72%,49%,28%,28%,219%,49%,9%,46%,23%,2,3,30,94%
exolight_outfit,stalker,exolight_outfit_name,exolight_outfit_description,13.30,71350,H,98%,71%,72%,45%,27%,25%,200%,47%,9%,43%,36%,2,3,30,94%
merc_exo_outfit,killer,merc_exo_outfit_name,merc_exo_outfit_description,36.10,137420,E,86%,71%,78%,56%,20%,20%,170%,46%,9%,53%,43%,2,4,105,102%
monolith_exo_outfit,monolith,monolith_exo_outfit_name,monolith_exo_outfit_description,27.30,148820,E,86%,71%,76%,58%,17%,20%,239%,56%,19%,50%,38%,1,3,105,102%
merc_ace_outfit,killer,ace_outfit_name,ace_outfit_description,10.24,74340,H,83%,96%,61%,38%,27%,42%,150%,45%,24%,30%,17%,3,5,16,98%
merc_exolight_outfit,killer,merc_exolight_outfit_name,merc_exolight_outfit_description,12.30,71350,H,100%,71%,72%,45%,25%,22%,180%,47%,9%,43%,36%,2,3,32,94%
dolg_heavy_proto_exo_outfit,dolg,dolg_heavy_proto_exo_outfit_name,dolg_heavy_proto_exo_outfit_description,20.32,105350,E,86%,71%,53%,54%,30%,25%,180%,18%,0%,50%,31%,2,4,94,107%
dolg_scientific_wood_outfit,dolg,dolg_scientific_wood_outfit_name,dolg_scientific_wood_outfit_description,9.10,65780,H,82%,96%,53%,46%,18%,32%,119%,39%,25%,34%,20%,3,5,16,98%
svoboda_exolight_outfit,freedom,svoboda_exolight_outfit_name,svoboda_exolight_outfit_description,12.50,78350,H,100%,71%,76%,42%,23%,20%,150%,45%,11%,40%,31%,2,3,34,94%
military_proto_exo_outfit,army,military_proto_exo_outfit_name,military_proto_exo_outfit_description,18.29,101350,E,86%,71%,56%,51%,25%,25%,150%,18%,0%,46%,31%,1,3,94,107%
isg_exo_outfit,isg,isg_exo_outfit_name,isg_exo_outfit_description,31.30,152560,E,86%,71%,78%,63%,28%,25%,219%,49%,16%,60%,36%,1,3,105,102%
cs_stalker_proto_exo_outfit,csky,cs_stalker_proto_exo_outfit_name,cs_stalker_proto_exo_outfit_description,13.55,73550,E,86%,71%,26%,39%,23%,20%,85%,12%,0%,34%,15%,3,5,85,110%
isg_proto_exo_outfit,isg,isg_proto_exo_outfit_name,isg_proto_exo_outfit_description,13.80,94920,E,86%,71%,39%,45%,17%,21%,90%,12%,0%,37%,20%,2,5,96,110%
exo_merc_urban_outfit,killer,exo_merc_urban_outfit_name,exo_merc_urban_outfit_description,13.10,82350,H,100%,71%,76%,46%,21%,20%,150%,45%,9%,43%,46%,1,2,28,94%
svoboda_light_proto_exo_outfit,freedom,svoboda_light_proto_exo_outfit_name,svoboda_light_proto_exo_outfit_description,13.44,87500,E,86%,71%,33%,41%,10%,17%,70%,9%,0%,37%,18%,2,5,90,110%
dolg_scientific_red_outfit,dolg,dolg_scientific_red_outfit_name,dolg_scientific_red_outfit_description,9.28,64560,H,82%,96%,61%,39%,18%,32%,119%,39%,19%,28%,18%,2,4,16,98%
stalker_proto_exo_outfit,stalker,stalker_proto_exo_outfit_name,stalker_proto_exo_outfit_description,14.20,72950,E,86%,71%,29%,42%,10%,11%,46%,4%,0%,36%,18%,2,4,85,110%
cs_scientific_outfit_good,csky,cs_scientific_outfit_good_name,cs_scientific_outfit_good_description,8.40,73760,H,82%,96%,53%,33%,18%,82%,280%,59%,25%,21%,13%,3,5,16,98%
monolith_nosorog_outfit,monolith,monolith_nosorog_outfit_name,nosorog_outfit_description,37.30,198820,E,90%,71%,83%,69%,17%,20%,239%,56%,15%,61%,45%,1,3,105,100%
ecolog_exo_outfit,ecolog,ecolog_exo_outfit_name,ecolog_exo_outfit_description,27.30,125300,E,86%,71%,73%,52%,44%,55%,289%,56%,9%,50%,33%,1,3,105,102%
monolith_exolight_outfit,monolith,monolith_exolight_outfit_name,monolith_exolight_outfit_description,12.30,76350,H,98%,71%,76%,48%,17%,20%,239%,56%,19%,40%,31%,1,2,30,94%
freedom_nosorog_outfit,freedom,freedom_nosorog_outfit_name,freedom_nosorog_outfit_desc,37.50,183300,E,90%,71%,83%,66%,25%,25%,200%,47%,15%,62%,38%,2,4,110,100%
cs_exo_outfit,csky,cs_exo_outfit_name,cs_exo_outfit_description,28.30,125300,E,86%,71%,73%,54%,41%,55%,249%,53%,9%,51%,36%,1,3,105,102%
bandit_exolight_outfit,bandit,bandit_exolight_outfit_name,bandit_exolight_outfit_description,11.30,68350,H,98%,71%,70%,43%,21%,22%,189%,46%,11%,44%,33%,2,3,46,94%
exo_dolg_wood_outfit,dolg,exo_dolg_wood_outfit_name,exo_dolg_wood_outfit_description,14.40,82350,H,100%,71%,72%,52%,25%,26%,200%,49%,15%,50%,23%,2,3,30,94%
ecolog_outfit_blue,ecolog,st_ecologist_outfit_blue_name,st_ecologist_outfit_blue_description,7.63,61400,H,31%,100%,46%,24%,62%,86%,230%,61%,36%,21%,13%,3,5,18,99%
exo_outfit,stalker,exo_outfit_name,exo_outfit_description,28.30,128230,E,86%,71%,76%,55%,27%,25%,200%,47%,9%,52%,36%,2,4,105,102%
dolg_exolight_outfit,dolg,dolg_exolight_outfit_name,dolg_exolight_outfit_description,13.70,71350,H,98%,71%,72%,48%,25%,22%,189%,47%,9%,46%,26%,1,2,30,94%
merc_combat_scientific_outfit,killer,merc_combat_scientific_outfit_name,merc_combat_scientific_outfit_description,9.95,76782,H,83%,96%,61%,45%,15%,32%,119%,42%,21%,34%,20%,2,4,16,98%
cs_scientific_outfit,csky,cs_scientific_outfit_name,cs_scientific_outfit_description,7.68,53270,H,83%,96%,53%,31%,34%,64%,209%,53%,19%,20%,13%,2,4,16,98%
dolg_nosorog_outfit,dolg,dolg_nosorog_outfit_name,nosorog_outfit_description,38.70,185400,E,90%,71%,79%,70%,25%,22%,189%,47%,15%,67%,34%,2,4,105,100%
army_nosorog_outfit,army,army_nosorog_outfit_name,nosorog_outfit_description,36.10,186420,E,90%,71%,83%,65%,23%,20%,150%,45%,15%,61%,43%,2,4,105,100%
merc_nosorog_outfit,killer,merc_nosorog_outfit_name,nosorog_outfit_description,46.10,187420,E,90%,71%,83%,66%,20%,20%,170%,46%,15%,63%,50%,2,4,105,100%
isg_scientific_outfit,isg,isg_scientific_outfit_name,isg_scientific_outfit_description,10.63,85280,H,83%,96%,61%,38%,28%,47%,170%,50%,20%,30%,17%,2,4,16,98%
military_exo_outfit,army,military_exo_outfit_name,military_exo_outfit_description,26.10,126420,E,86%,71%,78%,54%,23%,20%,150%,45%,13%,50%,36%,2,4,105,102%
isg_exolight_outfit,isg,isg_exolight_outfit_name,isg_exolight_outfit_description,16.30,91350,H,100%,71%,76%,52%,28%,25%,219%,49%,16%,50%,40%,1,2,30,94%
dolg_exo_outfit,dolg,dolg_exo_outfit_name,dolg_exo_outfit_description,28.70,125400,E,86%,71%,76%,58%,25%,22%,189%,47%,9%,56%,27%,1,3,105,102%
freedom_exo_vineleaf_outfit,freedom,freedom_exo_vineleaf_outfit_name,freedom_exo_vineleaf_outfit_description,12.50,84350,H,100%,71%,70%,53%,23%,20%,150%,45%,6%,50%,31%,2,3,34,94%
bandit_exo_outfit,bandit,bandit_exo_outfit_name,bandit_exo_outfit_description,26.30,124870,E,86%,71%,73%,53%,21%,22%,189%,46%,11%,55%,33%,2,4,121,102%
exo_merc_wood_outfit,killer,exo_merc_wood_outfit_name,exo_merc_wood_outfit_description,14.30,83350,H,100%,71%,72%,51%,28%,27%,209%,49%,9%,49%,22%,2,3,30,94%
svoboda_exo_outfit,freedom,svoboda_exo_outfit_name,svoboda_exo_outfit_description,27.50,133300,E,86%,71%,78%,55%,25%,25%,200%,47%,11%,52%,31%,2,4,110,102%
ecolog_proto_exo_outfit,ecolog,ecolog_proto_exo_outfit_name,ecolog_proto_exo_outfit_description,15.64,88200,E,86%,71%,36%,41%,25%,40%,109%,15%,0%,37%,18%,2,4,88,110%
dolg_scientific_outfit,dolg,dolg_scientific_outfit_name,dolg_scientific_outfit_description,8.45,52910,H,83%,96%,53%,41%,28%,40%,140%,45%,17%,31%,19%,1,3,16,98%
