~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_inv_outfit_durability_physical,ui_inv_outfit_durability_anomaly,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed
trenchcoat_green_outfit,st_data_export_unknown,trenchcoat_green_outfit_name,trenchcoat_green_outfit_description,5.12,13770,L,2%,68%,21%,18%,5%,7%,23%,4%,5%,12%,6%,0,0,8,104%
bandit_novice_outfit,bandit,bandit_novice_outfit_name,bandit_novice_outfit_description,3.09,6870,L,3%,0%,16%,18%,4%,3%,14%,0%,0%,12%,6%,0,0,10,105%
cs_light_outfit,csky,csky_light_outfit_name,csky_light_outfit_description,5.36,24680,L,35%,28%,21%,25%,13%,7%,34%,4%,0%,18%,14%,1,2,14,105%
trenchcoat_brown_outfit,st_data_export_unknown,trenchcoat_brown_outfit_name,trenchcoat_brown_outfit_description,5.08,13500,L,2%,68%,21%,18%,6%,5%,23%,4%,6%,12%,6%,0,0,8,104%
cs_novice_outfit,csky,csky_novice_outfit_name,csky_novice_outfit_description,3.87,7680,L,3%,0%,16%,19%,8%,13%,43%,0%,0%,14%,7%,0,0,5,105%
trenchcoat_dolg_brown_outfit,dolg,trenchcoat_dolg_brown_outfit_name,trenchcoat_brown_outfit_description,5.88,14120,L,2%,68%,18%,25%,6%,8%,17%,4%,0%,18%,10%,1,1,8,104%
novice_outfit,st_data_export_unknown,novice_outfit_name,novice_outfit_description,2.98,6200,L,3%,0%,16%,19%,4%,4%,17%,0%,0%,14%,7%,0,0,5,105%
greh_trenchcoat_outfit,greh,greh_trenchcoat_outfit_name,greh_trenchcoat_outfit_description,6.39,13840,L,2%,68%,18%,24%,7%,9%,32%,5%,6%,17%,10%,1,1,8,104%
redline_novice_outfit,st_data_export_unknown,redline_novice_outfit_name,redline_novice_outfit_description,3.29,8900,L,3%,0%,16%,16%,6%,6%,31%,0%,0%,10%,5%,0,0,7,107%
isg_lcs_camo_outfit,isg,isg_lcs_camo_outfit_name,isg_lcs_camo_outfit_description,4.77,20970,L,35%,28%,21%,24%,10%,5%,28%,3%,0%,18%,12%,1,3,16,104%
