~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,st_data_export_zoom_factor,st_data_export_magnifications
1p29,st_addon_scope_1p29,st_addon_scope_1p29_descr,0.80,5960,15,
ac10632,st_addon_scope_ac10632,st_addon_scope_ac10632_descr,0.12,2500,,
ac11090,st_addon_scope_ac11090,st_addon_scope_ac11090_descr,0.35,4380,,
acog,st_addon_scope_acog,st_addon_scope_acog_descr,0.35,4700,,
c-more,st_addon_scope_cmore,st_addon_scope_cmore_descr,0.30,2500,,
eot,st_addon_scope_eotech,st_addon_scope_eotech_descr,0.30,2800,,
kobra,st_addon_scope_kobra,st_addon_scope_kobra_descr,0.40,2800,,
none,,,0,0,,
ps01,st_addon_scope,st_addon_scope_descr,0.62,4800,,
pso1m21,st_addon_scope_pso-1m2-01,st_addon_scope_pso-1m2-01_descr,0.62,4800,,
wpn_addon_scope,st_addon_scope,st_addon_scope_descr,0.62,4800,24,
wpn_addon_scope_g43,st_addon_scope_zf4,st_addon_scope_zf4_descr,0.40,1590,24.8,
wpn_addon_scope_susat,st_addon_scope_galil_susat,st_addon_scope_galil_descr,0.58,2560,24,
wpn_addon_scope_sv98,,,0,0,,
