~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost
sil_kzrzp,,,0,0
wpn_addon_silencer,st_addon_silencer,st_addon_silencer_descr,0.20,400
wpn_sil_45,st_addon_sil_45,st_addon_sil_45_descr,0.54,1800
wpn_sil_57,st_addon_sil_57,st_addon_sil_57_descr,0.30,1900
wpn_sil_6p9,st_addon_sil_6p9,st_addon_sil_6p9_descr,0.10,1000
wpn_sil_9a91,st_addon_sil_9a91,st_addon_sil_9a91_descr,0.70,2300
wpn_sil_9mm,st_addon_sil_9mm,st_addon_sil_9mm_descr,0.20,1480
wpn_sil_aps,st_addon_sil_aps,st_addon_sil_aps_descr,0.20,1000
wpn_sil_atg,st_addon_sil_atg,st_addon_sil_atg_descr,0.70,2500
wpn_sil_gemtech,st_addon_sil_gemtech,st_addon_sil_gemtech_descr,0.50,2100
wpn_sil_kzrzp,st_addon_sil_kzrzp,st_addon_sil_kzrzp_descr,0.55,2600
wpn_sil_nato,st_addon_sil_nato,st_addon_sil_nato_descr,0.55,2200
wpn_sil_pbs1,st_addon_sil_pbs1,st_addon_sil_pbs1_descr,0.64,2200
wpn_sil_pbs4,st_addon_sil_pbs4,st_addon_sil_pbs4_descr,0.58,2300
wpn_sil_sr25,st_addon_sil_sr25,st_addon_sil_sr25_descr,0.56,2350
wpn_sil_tgp-a,st_addon_sil_tgp-a,st_addon_sil_tgp-a_descr,0.80,2000
wpn_sil_vihr,st_addon_sil_vihr,st_addon_sil_vihr_descr,0.70,2300
