Section,Type,Key_1,Value_1,Key_2,Value_2,Key_3,Value_3,Key_4,Value_4,Key_5,Value_5,Key_6,Value_6,Key_7,Value_7,Key_8,Value_8,Key_9,Value_9,Key_10,Value_10,Key_11,Value_11,Key_12,Value_12,Key_13,Value_13,Key_14,Value_14,Key_15,Value_15,Key_16,Value_16
up_sect_firsta_binoc,any,cost,"600",scope_zoom_factor,"-5",value,"+10",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firstc_binoc,any,cost,"1200",scope_zoom_factor,"-5",value,"+15",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_firste_binoc,any,cost,"1800",scope_zoom_factor,"-5",value,"+20",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_secona_binoc,any,cost,"1000",scope_nightvision,"effector_nightvision_2",value,"+1",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_seconc_binoc,any,cost,"2000",scope_nightvision,"effector_nightvision_1",value,"+2",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_secone_binoc,any,cost,"2500",scope_nightvision,"effector_nightvision_3",value,"+3",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_thirda_binoc,any,cost,"400",inv_weight,"-0.5",value,"-0.5",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fiftha_exo_1,outfit,cost,"21000",inv_weight,"3.7",sprint_allowed,"true",,,,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fiftha_exo_2,outfit,cost,"3600",inv_weight,"0.05",telepatic_protection,"2.08",value,"5",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fiftha_nosorog_1,outfit,artefact_count,"1",cost,"5000",inv_weight,"0.4",value,"1",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fiftha_nosorog_2,outfit,artefact_count,"1",cost,"5000",inv_weight,"0.4",value,"1",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fiftha_skat_proto_1,outfit,artefact_count,"1",cost,"5000",inv_weight,"0.4",value,"1",,,,,,,,,,,,,,,,,,,,,,,,
up_sect_fifthc_exo_1,outfit,cost,"6000",inv_weight,"0.1",telepatic_protection,"4.17",value,"10",,,,,,,,,,,,,,,,,,,,,,,,
