~,Name,Row_1,Column_1,Cell_1,Property_1,Value_1,Name_1,Desc_1,Section_1,Row_2,Column_2,Cell_2,Property_2,Value_2,Name_2,Desc_2,Section_2,Row_3,Column_3,Cell_3,Property_3,Value_3,Name_3,Desc_3,Section_3,Row_4,Column_4,Cell_4,Property_4,Value_4,Name_4,Desc_4,Section_4,Row_5,Column_5,Cell_5,Property_5,Value_5,Name_5,Desc_5,Section_5,Row_6,Column_6,Cell_6,Property_6,Value_6,Name_6,Desc_6,Section_6,Row_7,Column_7,Cell_7,Property_7,Value_7,Name_7,Desc_7,Section_7,Row_8,Column_8,Cell_8,Property_8,Value_8,Name_8,Desc_8,Section_8,Row_9,Column_9,Cell_9,Property_9,Value_9,Name_9,Desc_9,Section_9,Row_10,Column_10,Cell_10,Property_10,Value_10,Name_10,Desc_10,Section_10,Row_11,Column_11,Cell_11,Property_11,Value_11,Name_11,Desc_11,Section_11,Row_12,Column_12,Cell_12,Property_12,Value_12,Name_12,Desc_12,Section_12,Row_13,Column_13,Cell_13,Property_13,Value_13,Name_13,Desc_13,Section_13,Row_14,Column_14,Cell_14,Property_14,Value_14,Name_14,Desc_14,Section_14,Row_15,Column_15,Cell_15,Property_15,Value_15,Name_15,Desc_15,Section_15,Row_16,Column_16,Cell_16,Property_16,Value_16,Name_16,Desc_16,Section_16,Row_17,Column_17,Cell_17,Property_17,Value_17,Name_17,Desc_17,Section_17,Row_18,Column_18,Cell_18,Property_18,Value_18,Name_18,Desc_18,Section_18,Row_19,Column_19,Cell_19,Property_19,Value_19,Name_19,Desc_19,Section_19,Row_20,Column_20,Cell_20,Property_20,Value_20,Name_20,Desc_20,Section_20,Row_21,Column_21,Cell_21,Property_21,Value_21,Name_21,Desc_21,Section_21,Row_22,Column_22,Cell_22,Property_22,Value_22,Name_22,Desc_22,Section_22
army_nosorog_outfit,army_nosorog_outfit_name,1,1,1,ui_inv_outfit_wound_protection,+5,st_up_damage_2_name,st_up_damage_2_descr,up_sect_firsta_exolight_1,1,2,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_2_name,st_up_armor_2_descr,up_sect_firstc_exolight_1,1,2,2,st_prop_durability,+5,st_up_durability_2_name,st_up_durability_2_descr,up_sect_firstd_exolight_1,1,3,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_3_name,st_up_armor_3_descr,up_sect_firste_exolight_1,1,3,2,ui_inv_outfit_wound_protection,+5,st_up_damage_3_name,st_up_damage_3_descr,up_sect_firstf_exolight_1,2,1,1,ui_inv_outfit_telepatic_protection,+5,st_up_tele_1_name,st_up_tele_1_descr,up_sect_secona_exolight_1,2,2,1,ui_inv_outfit_shock_protection,+5,st_up_shock_1_name,st_up_shock_1_descr,up_sect_seconc_exolight_1,2,2,2,ui_inv_outfit_burn_protection,+5,st_up_burn_1_name,st_up_burn_1_descr,up_sect_second_exolight_1,2,3,1,ui_inv_outfit_chemical_burn_protection,+10,st_up_chem_4_name,st_up_chem_4_descr,up_sect_secone_exolight_1,2,3,2,ui_inv_outfit_radiation_protection,+10,st_up_rad_3_name,st_up_rad_3_descr,up_sect_seconf_exolight_1,3,1,1,ui_inv_outfit_power_restore,+3,st_up_stamina_1_name,st_up_stamina_1_descr,up_sect_thirda_exolight_1,3,2,1,st_prop_artefact,+1,st_up_arty_1_name,st_up_arty_1_descr,up_sect_thirdc_exolight_1,3,3,1,st_prop_weightoutfit,-3,st_up_weight_4_name,st_up_weight_4_descr,up_sect_thirde_exolight_1,4,1,1,ui_inv_outfit_additional_weight,+5,st_up_carry_2_name,st_up_carry_2_descr,up_sect_fourta_exolight_1,4,2,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_4_name,st_up_armor_4_descr,up_sect_fourtc_exolight_1,4,2,2,st_prop_durability,+5,st_up_durability_3_name,st_up_durability_3_descr,up_sect_fourtd_exolight_1,4,3,1,st_prop_restore_bleeding,+2,st_up_bleed_2_name,st_up_bleed_2_descr,up_sect_fourte_exolight_1,4,3,2,st_prop_restore_health,+1,st_up_health_3_name,st_up_health_3_descr,up_sect_fourtf_exolight_1,5,1,1,st_prop_artefact,+1,st_up_arty_2_name,st_up_arty_2_descr,up_sect_fiftha_nosorog_1,5,2,1,ui_inv_outfit_telepatic_protection,+10,st_up_helm_tele_1_name,st_up_helm_tele_1_descr,up_sect_fifthc_nosorog_1,5,2,2,ui_inv_outfit_radiation_protection,+5,st_up_helm_rad_1_name,st_up_helm_rad_1_descr,up_sect_fifthd_nosorog_1,5,3,1,st_prop_sprint,,st_up_run_1_name,st_up_run_1_descr,up_sect_fifthe_nosorog_1
army_outfit,army_outfit_name,1,1,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_1_name,st_up_armor_1_descr,up_sect_firsta_novice_1,1,2,1,ui_inv_outfit_wound_protection,+5,st_up_damage_1_name,st_up_damage_1_descr,up_sect_firstc_novice_1,1,3,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_2_name,st_up_armor_2_descr,up_sect_firste_novice_1,2,1,1,ui_inv_outfit_chemical_burn_protection,+5,st_up_chem_1_name,st_up_chem_1_descr,up_sect_secona_novice_1,2,2,1,ui_inv_outfit_shock_protection,+10,st_up_shock_1_name,st_up_shock_1_descr,up_sect_seconc_novice_1,2,2,2,ui_inv_outfit_burn_protection,+10,st_up_burn_1_name,st_up_burn_1_descr,up_sect_second_novice_1,3,1,1,ui_inv_outfit_additional_weight,+5,st_up_carry_1_name,st_up_carry_1_descr,up_sect_thirda_novice_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bandit_exo_outfit,bandit_exo_outfit_name,1,1,1,ui_inv_outfit_wound_protection,+5,st_up_damage_2_name,st_up_damage_2_descr,up_sect_firsta_exolight_1,1,2,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_2_name,st_up_armor_2_descr,up_sect_firstc_exolight_1,1,2,2,st_prop_durability,+5,st_up_durability_2_name,st_up_durability_2_descr,up_sect_firstd_exolight_1,1,3,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_3_name,st_up_armor_3_descr,up_sect_firste_exolight_1,1,3,2,ui_inv_outfit_wound_protection,+5,st_up_damage_3_name,st_up_damage_3_descr,up_sect_firstf_exolight_1,2,1,1,ui_inv_outfit_telepatic_protection,+5,st_up_tele_1_name,st_up_tele_1_descr,up_sect_secona_exolight_1,2,2,1,ui_inv_outfit_shock_protection,+5,st_up_shock_1_name,st_up_shock_1_descr,up_sect_seconc_exolight_1,2,2,2,ui_inv_outfit_burn_protection,+5,st_up_burn_1_name,st_up_burn_1_descr,up_sect_second_exolight_1,2,3,1,ui_inv_outfit_chemical_burn_protection,+10,st_up_chem_4_name,st_up_chem_4_descr,up_sect_secone_exolight_1,2,3,2,ui_inv_outfit_radiation_protection,+10,st_up_rad_3_name,st_up_rad_3_descr,up_sect_seconf_exolight_1,3,1,1,ui_inv_outfit_power_restore,+3,st_up_stamina_1_name,st_up_stamina_1_descr,up_sect_thirda_exolight_1,3,2,1,st_prop_artefact,+1,st_up_arty_1_name,st_up_arty_1_descr,up_sect_thirdc_exolight_1,3,3,1,st_prop_weightoutfit,-3,st_up_weight_4_name,st_up_weight_4_descr,up_sect_thirde_exolight_1,4,1,1,ui_inv_outfit_additional_weight,+5,st_up_carry_2_name,st_up_carry_2_descr,up_sect_fourta_exolight_1,4,2,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_4_name,st_up_armor_4_descr,up_sect_fourtc_exolight_1,4,2,2,st_prop_durability,+5,st_up_durability_3_name,st_up_durability_3_descr,up_sect_fourtd_exolight_1,4,3,1,st_prop_restore_bleeding,+2,st_up_bleed_2_name,st_up_bleed_2_descr,up_sect_fourte_exolight_1,4,3,2,st_prop_restore_health,+1,st_up_health_3_name,st_up_health_3_descr,up_sect_fourtf_exolight_1,5,1,1,st_prop_sprint,,st_up_run_1_name,st_up_run_1_descr,up_sect_fiftha_exo_1,5,2,1,ui_inv_outfit_telepatic_protection,+10,st_up_helm_tele_1_name,st_up_helm_tele_1_descr,up_sect_fifthc_exo_1,5,2,2,ui_inv_outfit_radiation_protection,+5,st_up_helm_rad_1_name,st_up_helm_rad_1_descr,up_sect_fifthd_exo_1,5,3,1,st_prop_artefact,+1,st_up_arty_2_name,st_up_arty_2_descr,up_sect_fifthe_exo_1
bandit_exolight_outfit,bandit_exolight_outfit_name,1,1,1,ui_inv_outfit_wound_protection,+5,st_up_damage_2_name,st_up_damage_2_descr,up_sect_firsta_exolight_1,1,2,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_2_name,st_up_armor_2_descr,up_sect_firstc_exolight_1,1,2,2,st_prop_durability,+5,st_up_durability_2_name,st_up_durability_2_descr,up_sect_firstd_exolight_1,1,3,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_3_name,st_up_armor_3_descr,up_sect_firste_exolight_1,1,3,2,ui_inv_outfit_wound_protection,+5,st_up_damage_3_name,st_up_damage_3_descr,up_sect_firstf_exolight_1,2,1,1,ui_inv_outfit_telepatic_protection,+5,st_up_tele_1_name,st_up_tele_1_descr,up_sect_secona_exolight_1,2,2,1,ui_inv_outfit_shock_protection,+5,st_up_shock_1_name,st_up_shock_1_descr,up_sect_seconc_exolight_1,2,2,2,ui_inv_outfit_burn_protection,+5,st_up_burn_1_name,st_up_burn_1_descr,up_sect_second_exolight_1,2,3,1,ui_inv_outfit_chemical_burn_protection,+10,st_up_chem_4_name,st_up_chem_4_descr,up_sect_secone_exolight_1,2,3,2,ui_inv_outfit_radiation_protection,+10,st_up_rad_3_name,st_up_rad_3_descr,up_sect_seconf_exolight_1,3,1,1,ui_inv_outfit_power_restore,+3,st_up_stamina_1_name,st_up_stamina_1_descr,up_sect_thirda_exolight_1,3,2,1,st_prop_artefact,+1,st_up_arty_1_name,st_up_arty_1_descr,up_sect_thirdc_exolight_1,3,3,1,st_prop_weightoutfit,-3,st_up_weight_4_name,st_up_weight_4_descr,up_sect_thirde_exolight_1,4,1,1,ui_inv_outfit_additional_weight,+5,st_up_carry_2_name,st_up_carry_2_descr,up_sect_fourta_exolight_1,4,2,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_4_name,st_up_armor_4_descr,up_sect_fourtc_exolight_1,4,2,2,st_prop_durability,+5,st_up_durability_3_name,st_up_durability_3_descr,up_sect_fourtd_exolight_1,4,3,1,st_prop_restore_bleeding,+2,st_up_bleed_2_name,st_up_bleed_2_descr,up_sect_fourte_exolight_1,4,3,2,st_prop_restore_health,+1,st_up_health_3_name,st_up_health_3_descr,up_sect_fourtf_exolight_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bandit_nbc_outfit,bandit_nbc_outfit_name,1,1,1,st_prop_durability,+5,st_up_durability_1_name,st_up_durability_1_descr,up_sect_firsta_sts_1,1,2,1,ui_inv_outfit_wound_protection,+5,st_up_damage_1_name,st_up_damage_1_descr,up_sect_firstc_sts_1,1,3,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_1_name,st_up_armor_1_descr,up_sect_firste_sts_1,1,3,2,ui_inv_outfit_wound_protection,+5,st_up_damage_2_name,st_up_damage_2_descr,up_sect_firstf_sts_1,2,1,1,st_prop_weightoutfit,-3,st_up_weight_1_name,st_up_weight_1_descr,up_sect_secona_sts_1,2,2,1,ui_inv_outfit_burn_protection,+10,st_up_burn_2_name,st_up_burn_2_descr,up_sect_seconc_sts_1,2,2,2,ui_inv_outfit_shock_protection,+10,st_up_shock_2_name,st_up_shock_2_descr,up_sect_second_sts_1,2,3,1,ui_inv_outfit_chemical_burn_protection,+10,st_up_chem_2_name,st_up_chem_2_descr,up_sect_secone_sts_1,2,3,2,ui_inv_outfit_radiation_protection,+10,st_up_rad_2_name,st_up_rad_2_descr,up_sect_seconf_sts_1,3,1,1,ui_inv_outfit_chemical_burn_protection,+5,st_up_chem_1_name,st_up_chem_1_descr,up_sect_thirda_sts_1,3,2,1,ui_inv_outfit_additional_weight,+7,st_up_carry_1_name,st_up_carry_1_descr,up_sect_thirdc_sts_1,3,2,2,st_prop_artefact,+1,st_up_arty_1_name,st_up_arty_1_descr,up_sect_thirdd_sts_1,3,3,1,st_prop_artefact,+1,st_up_arty_2_name,st_up_arty_2_descr,up_sect_thirde_sts_1,4,1,1,ui_inv_outfit_radiation_protection,+5,st_up_helm_rad_1_name,st_up_helm_rad_1_descr,up_sect_fourta_sts_nbc_1,4,2,1,ui_inv_outfit_additional_weight,+5,st_up_carry_1_name,st_up_carry_1_descr,up_sect_fourtc_sts_nbc_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bandit_novice_outfit,bandit_novice_outfit_name,1,1,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_1_name,st_up_armor_1_descr,up_sect_firsta_novice_1,1,2,1,ui_inv_outfit_wound_protection,+5,st_up_damage_1_name,st_up_damage_1_descr,up_sect_firstc_novice_1,1,3,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_2_name,st_up_armor_2_descr,up_sect_firste_novice_1,2,1,1,ui_inv_outfit_chemical_burn_protection,+5,st_up_chem_1_name,st_up_chem_1_descr,up_sect_secona_novice_1,2,2,1,ui_inv_outfit_shock_protection,+10,st_up_shock_1_name,st_up_shock_1_descr,up_sect_seconc_novice_1,2,2,2,ui_inv_outfit_burn_protection,+10,st_up_burn_1_name,st_up_burn_1_descr,up_sect_second_novice_1,3,1,1,ui_inv_outfit_additional_weight,+5,st_up_carry_1_name,st_up_carry_1_descr,up_sect_thirda_novice_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bandit_novice_outfit_alt,bandit_novice_alt_outfit_name,1,1,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_1_name,st_up_armor_1_descr,up_sect_firsta_novice_1,1,2,1,ui_inv_outfit_wound_protection,+5,st_up_damage_1_name,st_up_damage_1_descr,up_sect_firstc_novice_1,1,3,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_2_name,st_up_armor_2_descr,up_sect_firste_novice_1,2,1,1,ui_inv_outfit_chemical_burn_protection,+5,st_up_chem_1_name,st_up_chem_1_descr,up_sect_secona_novice_1,2,2,1,ui_inv_outfit_shock_protection,+10,st_up_shock_1_name,st_up_shock_1_descr,up_sect_seconc_novice_1,2,2,2,ui_inv_outfit_burn_protection,+10,st_up_burn_1_name,st_up_burn_1_descr,up_sect_second_novice_1,3,1,1,ui_inv_outfit_additional_weight,+5,st_up_carry_1_name,st_up_carry_1_descr,up_sect_thirda_novice_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bandit_ps5_outfit,bandit_ps5_outfit_name,1,1,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_1_name,st_up_armor_1_descr,up_sect_firsta_ps5_2,1,2,1,st_prop_durability,+5,st_up_durability_1_name,st_up_durability_1_descr,up_sect_firstc_ps5_2,1,3,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_2_name,st_up_armor_2_descr,up_sect_firste_ps5_2,1,3,2,ui_inv_outfit_wound_protection,+5,st_up_damage_1_name,st_up_damage_1_descr,up_sect_firstf_ps5_2,2,1,1,ui_inv_outfit_power_restore,+3,st_up_stamina_1_name,st_up_stamina_1_descr,up_sect_secona_ps5_2,2,2,1,ui_inv_outfit_burn_protection,+10,st_up_burn_2_name,st_up_burn_2_descr,up_sect_seconc_ps5_2,2,2,2,st_prop_artefact,+1,st_up_arty_2_name,st_up_arty_2_descr,up_sect_second_ps5_2,2,3,1,st_prop_weightoutfit,-3,st_up_weight_1_name,st_up_weight_1_descr,up_sect_secone_ps5_2,3,1,1,st_prop_artefact,+1,st_up_arty_1_name,st_up_arty_1_descr,up_sect_thirda_ps5_2,3,2,1,ui_inv_outfit_additional_weight,+7,st_up_carry_2_name,st_up_carry_2_descr,up_sect_thirdc_ps5_2,3,3,1,st_prop_restore_health,+1,st_up_health_1_name,st_up_health_1_descr,up_sect_thirde_ps5_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bandit_scientific_dark_outfit,bandit_scientific_dark_outfit_name,1,1,1,ui_inv_outfit_wound_protection,+5,st_up_damage_1_name,st_up_damage_1_descr,up_sect_firsta_seva_2,1,2,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_1_name,st_up_armor_1_descr,up_sect_firstc_seva_2,1,2,2,ui_inv_outfit_wound_protection,+5,st_up_damage_2_name,st_up_damage_2_descr,up_sect_firstd_seva_2,1,3,1,ui_inv_outfit_fire_wound_protection,+10,st_up_armor_2_name,st_up_armor_2_descr,up_sect_firste_seva_2,1,3,2,st_prop_durability,+5,st_up_durability_3_name,st_up_durability_3_descr,up_sect_firstf_seva_2,2,1,1,ui_inv_outfit_chemical_burn_protection,+5,st_up_chem_2_name,st_up_chem_2_descr,up_sect_secona_seva_2,2,2,1,ui_inv_outfit_radiation_protection,+5,st_up_rad_2_name,st_up_rad_2_descr,up_sect_seconc_seva_2,2,2,2,ui_inv_outfit_telepatic_protection,+5,st_up_tele_1_name,st_up_tele_1_descr,up_sect_second_seva_2,2,3,1,ui_inv_outfit_burn_protection,+10,st_up_burn_4_name,st_up_burn_4_descr,up_sect_secone_seva_2,2,3,2,ui_inv_outfit_shock_protection,+10,st_up_shock_3_name,st_up_shock_3_descr,up_sect_seconf_seva_2,3,1,1,st_prop_artefact,+1,st_up_arty_1_name,st_up_arty_1_descr,up_sect_thirda_seva_2,3,2,1,ui_inv_outfit_chemical_burn_protection,+5,st_up_chem_3_name,st_up_chem_3_descr,up_sect_thirdc_seva_2,3,2,2,st_prop_artefact,+1,st_up_arty_2_name,st_up_arty_2_descr,up_sect_thirdd_seva_2,3,3,1,st_prop_restore_health,+1,st_up_health_2_name,st_up_health_2_descr,up_sect_thirde_seva_2,4,1,1,ui_inv_outfit_radiation_protection,+5,st_up_helm_rad_1_name,st_up_helm_rad_1_descr,up_sect_fourta_seva_2,4,2,1,ui_inv_outfit_telepatic_protection,+5,st_up_helm_tele_1_name,st_up_helm_tele_1_descr,up_sect_fourtc_seva_2,4,3,1,ui_inv_outfit_additional_weight,+10,st_up_carry_2_name,st_up_carry_2_descr,up_sect_fourte_seva_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bandit_scientific_outfit,bandit_scientific_outfit_name,1,1,1,ui_inv_outfit_wound_protection,+5,st_up_damage_1_name,st_up_damage_1_descr,up_sect_firsta_seva_2,1,2,1,ui_inv_outfit_fire_wound_protection,+5,st_up_armor_1_name,st_up_armor_1_descr,up_sect_firstc_seva_2,1,2,2,ui_inv_outfit_wound_protection,+5,st_up_damage_2_name,st_up_damage_2_descr,up_sect_firstd_seva_2,1,3,1,ui_inv_outfit_fire_wound_protection,+10,st_up_armor_2_name,st_up_armor_2_descr,up_sect_firste_seva_2,1,3,2,st_prop_durability,+5,st_up_durability_3_name,st_up_durability_3_descr,up_sect_firstf_seva_2,2,1,1,ui_inv_outfit_chemical_burn_protection,+5,st_up_chem_2_name,st_up_chem_2_descr,up_sect_secona_seva_2,2,2,1,ui_inv_outfit_radiation_protection,+5,st_up_rad_2_name,st_up_rad_2_descr,up_sect_seconc_seva_2,2,2,2,ui_inv_outfit_telepatic_protection,+5,st_up_tele_1_name,st_up_tele_1_descr,up_sect_second_seva_2,2,3,1,ui_inv_outfit_burn_protection,+10,st_up_burn_4_name,st_up_burn_4_descr,up_sect_secone_seva_2,2,3,2,ui_inv_outfit_shock_protection,+10,st_up_shock_3_name,st_up_shock_3_descr,up_sect_seconf_seva_2,3,1,1,st_prop_artefact,+1,st_up_arty_1_name,st_up_arty_1_descr,up_sect_thirda_seva_2,3,2,1,ui_inv_outfit_chemical_burn_protection,+5,st_up_chem_3_name,st_up_chem_3_descr,up_sect_thirdc_seva_2,3,2,2,st_prop_artefact,+1,st_up_arty_2_name,st_up_arty_2_descr,up_sect_thirdd_seva_2,3,3,1,st_prop_restore_health,+1,st_up_health_2_name,st_up_health_2_descr,up_sect_thirde_seva_2,4,1,1,ui_inv_outfit_radiation_protection,+5,st_up_helm_rad_1_name,st_up_helm_rad_1_descr,up_sect_fourta_seva_2,4,2,1,ui_inv_outfit_telepatic_protection,+5,st_up_helm_tele_1_name,st_up_helm_tele_1_descr,up_sect_fourtc_seva_2,4,3,1,ui_inv_outfit_additional_weight,+10,st_up_carry_2_name,st_up_carry_2_descr,up_sect_fourte_seva_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
