~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,BR1,BR2,BR3,BR4,BR5,st_data_export_hit_power
wpn_g36k,st_wpn_g36k,st_wpn_g36k_descr,3.30,32280,C,N,83%,71%,30,750,30,1000,1024,91%,54,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
wpn_9a91,st_wpn_9a91,st_wpn_9a91_descr,1.80,40860,D,N,82%,82%,53,700,20,600,350,90%,73,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.62
wpn_ak74m_duty,st_wpn_ak74m_duty,st_wpn_ak74m_descr,3.40,38580,C,N,79%,76%,36,600,30,1000,950,92%,81,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,0.15,0.47,0.5,0.5
wpn_aek_camo,st_wpn_aek971_camo,st_wpn_aek971_camo_descr,3.40,45760,C,N,86%,77%,36,850,30,1000,760,92%,60,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.5
wpn_l85a2_alt,st_wpn_l85a2_alt,st_wpn_l85a2_descr,4.13,36980,C,N,88%,79%,30,665,30,1000,1041,90%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,0.15,0.27,0.52,0.51
wpn_vintorez_nimble,st_wpn_vintorez_nimble,st_wpn_vintorez_nimble_descr,3.28,60950,D,N,89%,82%,55,774,10,600,350,81%,73,ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-pab9;ammo-9x39-ap;ammo-9x39-ap;ammo-9x39-ap,,,,,0.27,0.5,0.64
wpn_m249,st_wpn_m249,st_wpn_m249_descr,7.68,66580,C,N,76%,75%,30,870,100,1000,1030,91%,89,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.51
wpn_l85,st_wpn_l85,st_wpn_l85_descr,3.88,33860,C,N,85%,79%,30,680,30,1000,1041,91%,82,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,0.15,0.27,0.52,0.51
wpn_ak105,st_wpn_ak105,st_wpn_ak105_descr,3.20,24480,C,N,66%,80%,35,650,30,1000,871,91%,66,ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ep;ammo-5.45x39-ap;ammo-5.45x39-ap;ammo-5.45x39-ap,,,,0.15,0.47,0.5,0.49
wpn_g36_camo,st_wpn_g36_camo,st_wpn_g36_descr,3.77,48850,C,N,84%,71%,30,765,30,1000,1024,91%,80,ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ss190;ammo-5.56x45-ap;ammo-5.56x45-ap;ammo-5.56x45-ap,,,,0.15,0.27,0.52,0.5
