~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,BR1,BR2,BR3,BR4,BR5,st_data_export_hit_power
wpn_sks,st_wpn_sks,st_wpn_sks_descr,3.75,25580,D,N,86%,65%,42,200,10,900,617,87%,30,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,0.4,0.61,0.585
wpn_svd_nimble,st_wpn_svd_nimble,st_wpn_svd_nimble_descr,5.14,186460,D,N,95%,65%,86,85,10,1400,937,55%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,1.1
wpn_m24,st_wpn_m24,st_wpn_m24_descr,5.40,82680,D,N,96%,60%,117,36,5,1500,887,50%,25,ammo-338-lapua;ammo-338-lapua;ammo-338-lapua,,,,,,1.4,1.35
wpn_g43,st_wpn_g43,st_wpn_g43_descr,4.33,23980,D,N,90%,65%,54,130,10,1000,777,80%,25,ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_ap;ammo-7.92x33_ap;ammo-7.92x33_ap,,,,,0.45,,0.81
wpn_svu,st_wpn_svu,st_wpn_svu_descr,3.81,43860,D,N,93%,68%,86,130,10,1050,845,60%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,,0.45,0.65,1.1
wpn_m82,st_wpn_m82,st_wpn_m82_descr,12.07,86420,D,N,93%,69%,270,100,10,1800,597,75%,25,ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo_12.7x55_ap;ammo_12.7x55_ap;ammo_12.7x55_ap,,,,,0.35,1.5,3
wpn_vssk,st_wpn_vssk,st_wpn_vssk_descr,7.50,75680,D,N,93%,65%,202,36,5,1000,525,50%,28,ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo_12.7x55_ap;ammo_12.7x55_ap;ammo_12.7x55_ap,,,,,0.35,1.5,2.25
wpn_sr25,st_wpn_sr25,st_wpn_sr25_descr,4.31,70780,D,N,84%,71%,66,700,10,1000,882,77%,32,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,1
wpn_trg,st_trg_sako,st_wpn_trg_descr,4.68,71880,D,N,97%,63%,117,36,5,1500,883,55%,25,ammo-338-lapua;ammo-338-lapua;ammo-338-lapua,,,,,,1.4,1.35
wpn_svt40,st_wpn_svt40,st_wpn_svt40_descr,3.80,27850,D,N,93%,65%,60,150,10,1000,871,57%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r; ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,0.45,0.65,0.77
wpn_gauss_quest,lttz_ll_wpn_gauss_quest_name,lttz_ll_wpn_gauss_quest_descr,12.77,145860,N/A,N,99%,50%,166,30,10,1000,10500,63%,0,ammo-gauss;ammo-gauss;ammo-gauss,,,,,,5,1
wpn_l96a1m,st_wpn_l96a1m,st_wpn_l96a1m_descr,7.20,76580,D,N,97%,66%,86,36,5,1200,944,60%,25,ammo-338-lapua;ammo-338-lapua;ammo-338-lapua,,,,,,1.4,1
wpn_wa2000,st_wpn_wa2000,st_wpn_wa2000_descr,7.65,30000,D,N,93%,69%,66,125,6,1200,882,45%,25,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,,,,0.3,0.61,1
wpn_sks_modern,st_wpn_sks_modern,st_wpn_sks_descr,3.75,27960,D,N,88%,65%,42,245,10,900,617,88%,30,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,,,0.4,0.61,0.585
wpn_svt40_modern,st_wpn_svt40_modern,st_wpn_svt40_descr,3.80,26350,D,N,93%,65%,60,135,10,1000,871,51%,25,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r; ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,,,,0.45,0.65,0.77
