~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,ui_st_rank,st_data_export_jump_height,st_data_export_is_junk,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,st_prop_restore_health,ui_inv_satiety,st_prop_restore_bleeding,st_data_export_restore_radiation,ui_inv_outfit_power_restore,ui_inv_outfit_additional_weight
af_absorbent,st_af_absorbent_name,st_af_absorbent_descr,1.76,30629,1,1,0.5,N,0%,0%,9.40%,0%,-10.50%,0%,0%,0%,11.70%,0,0,0,6.11,0%,0
af_ameba_mi,af-ameba-mica,enc_zone_artifact_af-ameba-mica,0.59,47094,2,2,0,N,0%,0%,0%,0%,0%,0%,0%,-5.39%,0%,0,0,0,11.75,0%,0
af_ameba_sli,af-ameba-slime,enc_zone_artifact_af-ameba-slime,2.95,7200,1,0,0,Y,0%,0%,0%,0%,0%,0%,0%,0%,4.88%,0,0,0,0,0%,0
af_ameba_slu,af-ameba-slug,enc_zone_artifact_af-ameba-slug,3.09,8500,1,0,0,Y,0%,3.85%,0%,0%,0%,0%,0%,0%,9.75%,0,0,0,0.94,0%,0
af_arhara_globus,af_arhara_globus_name,af_arhara_globus_descr,2.34,23800,4,0,0.2,Y,0%,0%,0%,-9.74%,0%,0%,0%,0%,0%,0,2421.568627451,0,0,0%,0
af_armor_1,af_armor_1_name,af_armor_1_descr,1.12,24232,1,1,0.2,N,0%,0%,0%,0%,0%,0%,0%,8.18%,10.24%,0,0,0,6.11,0%,0
af_armor_2,af_armor_2_name,af_armor_2_descr,1.22,24518,1,1,0.4,N,0%,0%,0%,18.02%,0%,0%,0%,8.18%,0%,0,0,0,6.11,0%,0
af_armor_3,af_armor_3_name,af_armor_3_descr,1.17,21155,1,1,0.7,N,0%,0%,2.99%,0%,0%,0%,0%,8.18%,0%,0,0,0,6.11,0%,0
af_armor_4,af_armor_4_name,af_armor_4_descr,1.02,32023,1,1,1,N,0%,0%,0%,0%,29%,0%,0%,8.18%,0%,0,0,0,6.11,0%,0
af_atom,st_af_atom_name,st_af_atom_descr,1.08,11600,2,0,0.05,Y,0%,0%,0%,13.76%,0%,0%,0%,0%,0%,0,0,0,0,-9%,4100
af_babka_1,af_babka_1_name,af_babka_1_descr,0.36,31424,1,1,0.4,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,3186.2745098039,19.7778,6.11,0%,0
af_babka_2,af_babka_2_name,af_babka_2_descr,0.46,44595,2,2,0.6,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,5416.6666666667,42.027825,11.75,0%,0
af_babka_3,af_babka_3_name,af_babka_3_descr,0.56,53481,3,3,0.2,N,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,7647.0588235294,64.27785,22.09,0%,0
af_ball,st_af_ball_name,st_af_ball_descr,1.87,10400,1,0,1,Y,0%,2.89%,0%,-4.87%,-7%,0%,0%,0%,0%,0,0,0,0,0%,0
af_baloon,st_af_baloon_name,st_af_baloon_descr,0.96,52153,3,3,0.01,N,0%,0%,0%,-20.45%,70%,0%,0%,0%,0%,0,0,0,22.09,0%,0
af_baloon3,st_af_baloon3_name,st_af_baloon3_descr,2.14,38656,2,2,0.01,N,0%,0%,0%,0%,-15.75%,0%,5.76%,0%,0%,0,0,0,11.75,0%,0
af_bat,st_af_bat_name,st_af_bat_descr,1.18,30300,4,0,0.01,Y,0%,-1.93%,0%,0%,0%,0%,-1.44%,0%,0%,0,0,0,0,0%,0
af_best_compass,st_compass2,st_compass2_descr,0.84,54694,3,3,0.2,N,0%,0%,0%,0%,0%,23.70%,0%,0%,0%,0,0,0,22.09,0%,0
af_black,st_af_black_name,st_af_black_descr,2.18,21600,3,0,0.05,Y,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,2.82,0%,7300
af_black_angel,st_af_black_angel_name,st_af_black_angel_descr,3.06,25700,4,0,0.15,Y,0%,0%,0%,0%,0%,0%,0%,0%,0%,3.66995788,0,0,-1.88,0%,0
af_black_spray,st_af_black_spray_name,st_af_black_spray_descr,0.49,51251,3,3,0.4,N,0%,0%,0%,0%,0%,0%,11.53%,0%,0%,0,-2899.5098039216,0,22.09,0%,0
af_bloo,af-blood,enc_zone_artifact_af-blood,0.91,40760,2,2,0.9,N,0%,7.22%,0%,0%,0%,0%,5.76%,0%,0%,0,-2007.3529411765,0,11.75,0%,0
af_blood,st_af_blood_name,st_af_blood_descr,0.86,41859,2,2,0.01,N,0%,0%,0%,-11.93%,55%,0%,0%,0%,0%,0,0,0,11.75,0%,0
af_blood2,st_af_blood2_name,st_af_blood2_descr,0.63,47352,2,2,0.01,N,0%,0%,0%,0%,42.50%,11.38%,0%,0%,-6.14%,0,0,0,11.75,0%,0
af_blood3,st_af_blood3_name,st_af_blood3_descr,2.04,30714,1,1,0.01,N,0%,0%,0%,0%,-10.50%,0%,2.88%,0%,0%,0,0,0,6.11,0%,0
af_blood_green,af_blood_green_name,af_blood_green_descr,0.73,53567,3,3,0.01,N,0%,0%,0%,0%,55%,17.06%,0%,0%,-8.19%,0,0,0,22.09,0%,0
af_bracelet,st_af_bracelet_name,st_af_bracelet_descr,1.18,28186,1,1,0.01,N,0%,-1.35%,0%,0%,0%,0%,2.88%,0%,0%,5.50493682,0,0,6.11,0%,0
