~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
af_aac,st_af_aac_name,3,recipe_expert_0,,st_af_iam_name,x1,st_prt_i_resistors,x3,st_prt_i_transistors,x6,st_prt_i_capacitors,x4
af_aam,st_af_aam_name,3,recipe_expert_1,st_recipe_expert_1,st_af_aac_name,x1,st_prt_i_resistors,x8,st_prt_i_transistors,x7,st_prt_i_capacitors,x5
af_iam,st_af_iam_name,2,recipe_advanced_0,,st_lead_box_name,x1,st_prt_i_resistors,x5,st_prt_i_transistors,x4,st_prt_i_capacitors,x3
detector_advanced,st_detector2,2,recipe_advanced_0,,st_detector1,x1,st_prt_i_resistors,x8,st_prt_i_transistors,x12,st_prt_i_capacitors,x10
detector_elite,st_detector3,3,recipe_expert_2,st_recipe_expert_2,st_detector2,x1,st_prt_i_resistors,x20,st_prt_i_transistors,x17,st_prt_i_capacitors,x15
detector_geiger,st_geiger_dead,1,recipe_basic_0,,st_broken_detector,x1,st_prt_i_resistors,x6,st_prt_i_capacitors,x6,st_prt_i_transistors,x5
detector_radio,st_detector9,2,recipe_advanced_1,st_recipe_advanced_1,st_walkie,x3,st_prt_i_resistors,x5,st_prt_i_capacitors,x6,st_prt_i_transistors,x5
detector_scientific,st_detector4,3,recipe_expert_4,st_recipe_expert_4,st_detector3,x1,st_prt_i_resistors,x28,st_prt_i_transistors,x31,st_prt_i_capacitors,x23
detector_simple,st_detector1,1,recipe_basic_0,,st_broken_detector,x1,st_prt_i_resistors,x8,st_prt_i_transistors,x7,st_prt_i_capacitors,x8
device_pda_2,st_pda_2_name,3,recipe_expert_1,st_recipe_expert_1,st_pda_1_name,x1,st_prt_i_resistors,x8,st_prt_i_transistors,x10,st_prt_i_capacitors,x8
device_pda_3,st_pda_3_name,3,recipe_expert_4,st_recipe_expert_4,st_pda_2_name,x1,st_prt_i_resistors,x13,st_prt_i_transistors,x15,st_prt_i_capacitors,x16
device_torch_dummy,st_device_torch_name,1,recipe_basic_0,,st_flashlight_broken,x2,st_prt_i_resistors,x4,st_prt_i_capacitors,x4,st_prt_i_copper,x6
device_torch_nv_1,st_device_torch_nv_1_name,2,recipe_advanced_0,,st_device_torch_name,x1,st_prt_i_resistors,x4,st_prt_i_capacitors,x4,st_prt_i_copper,x6
device_torch_nv_2,st_device_torch_nv_2_name,2,recipe_advanced_2,st_recipe_advanced_2,st_device_torch_nv_1_name,x1,st_prt_i_resistors,x6,st_prt_i_capacitors,x6,st_prt_i_transistors,x6
device_torch_nv_3,st_device_torch_nv_3_name,3,recipe_expert_2,st_recipe_expert_2,st_device_torch_nv_2_name,x1,st_prt_i_resistors,x10,st_prt_i_capacitors,x8,st_prt_i_transistors,x6
device_torch_nv_4,st_device_torch_nv_4_name,3,recipe_expert_4,st_recipe_expert_4,st_device_torch_nv_3_name,x1,st_prt_i_resistors,x35,st_prt_i_capacitors,x35,st_prt_i_transistors,x35
