~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
upgr_o_2_armor,st_upgr_o_armor,2,recipe_advanced_3,st_recipe_advanced_3,st_upgr_o_armor,x1,st_prt_o_ballistic_1,x5,st_prt_o_ballistic_3,x5,st_prt_o_ballistic_5,x5
upgr_o_1_armor,st_upgr_o_armor,1,recipe_basic_3,st_recipe_basic_3,st_prt_o_ballistic_11,x4,st_prt_o_ballistic_13,x4,st_prt_o_ballistic_15,x4,st_prt_o_ballistic_17,x4
upgr_o_2_arty,st_upgr_o_arty,2,recipe_advanced_4,st_recipe_advanced_4,st_upgr_o_arty,x1,st_af_aac_name,x1,st_sewing_thread,x4,st_prt_o_fabrics_3,x6
upgr_o_1_arty,st_upgr_o_arty,1,recipe_basic_4,st_recipe_basic_4,st_lead_box_name,x1,st_sewing_thread,x4,st_prt_o_fabrics_3,x6,,
upgr_o_3_arty,st_upgr_o_arty,3,recipe_expert_4,st_recipe_expert_4,st_upgr_o_arty,x1,st_af_iam_name,x1,st_sewing_thread,x4,st_prt_o_fabrics_3,x6
upgr_o_1_bleed,st_upgr_o_bleed,1,recipe_basic_4,st_recipe_basic_4,st_analgetic,x4,st_batteries,x4,st_prt_i_transistors,x5,,
upgr_o_2_bleed,st_upgr_o_bleed,2,recipe_advanced_4,st_recipe_advanced_4,st_upgr_o_bleed,x1,st_jgut_zhgut,x4,st_batteries,x4,st_prt_i_transistors,x6
upgr_o_3_bleed,st_upgr_o_bleed,3,recipe_expert_4,st_recipe_expert_4,st_upgr_o_bleed,x1,st_survival_kit,x1,st_batteries,x4,st_prt_i_transistors,x8
upgr_o_3_burn,st_upgr_o_burn,3,recipe_expert_2,st_recipe_expert_2,st_upgr_o_burn,x1,st_prt_o_retardant_1,x6,st_prt_o_retardant_9,x6,st_prt_o_retardant_14,x6
upgr_o_2_burn,st_upgr_o_burn,2,recipe_advanced_2,st_recipe_advanced_2,st_upgr_o_burn,x1,st_prt_o_retardant_1,x5,st_prt_o_retardant_9,x5,st_prt_o_retardant_14,x5
upgr_o_1_burn,st_upgr_o_burn,1,recipe_basic_2,st_recipe_basic_2,st_prt_o_retardant_1,x4,st_prt_o_retardant_9,x4,st_prt_o_retardant_14,x4,st_prt_o_retardant_7,x4
upgr_o_1_carry,st_upgr_o_carry,1,recipe_basic_3,st_recipe_basic_3,st_af_frames_name,x1,st_prt_o_ballistic_14,x4,st_prt_o_ballistic_16,x4,st_prt_o_ballistic_10,x4
upgr_o_3_carry,st_upgr_o_carry,3,recipe_expert_3,st_recipe_expert_3,st_upgr_o_carry,x1,st_af_frames_name,x1,st_prt_o_ballistic_14,x5,st_prt_o_ballistic_16,x5
upgr_o_2_carry,st_upgr_o_carry,2,recipe_advanced_3,st_recipe_advanced_3,st_upgr_o_carry,x1,st_af_frames_name,x1,st_prt_o_ballistic_14,x4,st_prt_o_ballistic_16,x4
upgr_o_2_chem,st_upgr_o_chem,2,recipe_advanced_2,st_recipe_advanced_2,st_upgr_o_chem,x1,st_prt_o_retardant_2,x5,st_prt_o_retardant_3,x5,st_prt_o_retardant_8,x5
upgr_o_1_chem,st_upgr_o_chem,1,recipe_basic_2,st_recipe_basic_2,st_prt_o_retardant_2,x4,st_prt_o_retardant_3,x4,st_prt_o_retardant_8,x4,st_prt_o_retardant_16,x4
upgr_o_3_chem,st_upgr_o_chem,3,recipe_expert_2,st_recipe_expert_2,st_upgr_o_chem,x1,st_prt_o_retardant_2,x6,st_prt_o_retardant_3,x6,st_prt_o_retardant_8,x6
upgr_o_3_damage,st_upgr_o_damage,3,recipe_expert_3,st_recipe_expert_3,st_upgr_o_damage,x1,st_prt_o_ballistic_8,x6,st_prt_o_ballistic_10,x6,st_prt_o_ballistic_12,x6
upgr_o_1_damage,st_upgr_o_damage,1,recipe_basic_3,st_recipe_basic_3,st_prt_o_ballistic_12,x4,st_prt_o_ballistic_14,x4,st_prt_o_ballistic_16,x4,st_prt_o_ballistic_18,x4
upgr_o_2_damage,st_upgr_o_damage,2,recipe_advanced_3,st_recipe_advanced_3,st_upgr_o_damage,x1,st_prt_o_ballistic_7,x5,st_prt_o_ballistic_9,x5,st_prt_o_ballistic_11,x5
upgr_o_2_durability,st_upgr_o_durability,2,recipe_advanced_1,st_recipe_advanced_1,st_upgr_o_durability,x1,st_prt_o_ballistic_20,x5,st_prt_o_ballistic_18,x5,st_prt_o_retardant_4,x5
upgr_o_3_durability,st_upgr_o_durability,3,recipe_expert_1,st_recipe_expert_1,st_upgr_o_durability,x1,st_prt_o_ballistic_20,x6,st_prt_o_ballistic_18,x6,st_prt_o_retardant_4,x6
upgr_o_1_durability,st_upgr_o_durability,1,recipe_basic_1,st_recipe_basic_1,st_prt_o_fabrics_2,x4,st_prt_o_ballistic_20,x4,st_prt_o_ballistic_18,x4,st_prt_o_retardant_4,x4
upgr_o_1_health,st_upgr_o_health,1,recipe_basic_4,st_recipe_basic_4,st_stim_impro,x4,st_batteries,x4,st_prt_i_transistors,x5,,
upgr_o_2_health,st_upgr_o_health,2,recipe_advanced_4,st_recipe_advanced_4,st_upgr_o_health,x1,st_stim_military,x4,st_batteries,x4,st_prt_i_transistors,x6
upgr_o_3_health,st_upgr_o_health,3,recipe_expert_4,st_recipe_expert_4,st_upgr_o_health,x1,st_stim_scientic,x4,st_batteries,x4,st_prt_i_transistors,x8
upgr_o_2_power,st_upgr_o_power,2,recipe_advanced_1,st_recipe_advanced_1,st_upgr_o_power,x1,st_prt_o_ballistic_13,x5,st_prt_o_fabrics_1,x5,st_prt_o_ballistic_19,x5
upgr_o_1_power,st_upgr_o_power,1,recipe_basic_1,st_recipe_basic_1,st_prt_o_ballistic_13,x4,st_prt_o_retardant_9,x4,st_prt_o_fabrics_1,x4,st_prt_o_ballistic_19,x4
upgr_o_3_power,st_upgr_o_power,3,recipe_expert_1,st_recipe_expert_1,st_upgr_o_power,x1,st_prt_o_ballistic_13,x6,st_prt_o_fabrics_1,x6,st_prt_o_ballistic_19,x6
upgr_o_1_psi,st_upgr_o_psi,1,recipe_basic_2,st_recipe_basic_2,st_prt_o_retardant_11,x4,st_prt_o_retardant_12,x4,st_prt_o_retardant_18,x4,st_prt_o_retardant_20,x4
upgr_o_2_psi,st_upgr_o_psi,2,recipe_advanced_2,st_recipe_advanced_2,st_upgr_o_psi,x1,st_prt_o_retardant_11,x5,st_prt_o_retardant_12,x5,st_prt_o_retardant_18,x5
upgr_o_3_psi,st_upgr_o_psi,3,recipe_expert_2,st_recipe_expert_2,st_upgr_o_psi,x1,st_prt_o_retardant_11,x6,st_prt_o_retardant_12,x6,st_prt_o_retardant_18,x6
upgr_o_1_rad,st_upgr_o_rad,1,recipe_basic_2,st_recipe_basic_2,st_helm_respirator,x1,st_prt_o_retardant_15,x4,st_prt_o_retardant_16,x4,st_prt_o_retardant_11,x4
