~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,st_data_export_sleepiness,st_data_export_thirst,st_data_export_eat_alcohol,st_data_export_eat_health_change,ui_inv_radiation,ui_inv_satiety,st_ui_number_of_uses,st_data_export_used_in_cooking,st_data_export_can_be_cooked,ui_inv_effect_time,st_prop_restore_health,st_data_export_restore_health_max,st_prop_restore_bleeding,st_data_export_restore_bleeding_max,st_data_export_restore_radiation,st_data_export_restore_radiation_max,ui_inv_outfit_power_restore,st_data_export_power_restore_max,ui_inv_outfit_radiation_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_additional_weight
meat_flesh_a,st_meat_flesh,st_meat_flesh_descr,0.18,3890,3,0.4%,0%,0%,1.3%,0,44%,1,N,Y,262.6,0.2%,52%,0,0,0,0,0%,0%,0,0%,0,0
chocolate_p,st_chocolate_p,st_chocolate_p_descr,0.12,1000,2,0.01%,1%,0%,0%,0,40%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
chili,st_chili,st_chili_descr,0.34,757,2,0.01%,8%,0%,0%,0,32%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
meat_dog,st_meat_dog,st_meat_dog_descr,0.14,795,1,0.08%,0%,0%,-2.3%,118,13%,1,N,Y,177,0%,0%,0.0225,3.9825,0,0,0%,0%,0,0%,0,0
mutant_part_boar_chop,mutant_boar_chop,mutant_boar_chop_description,0.20,825,0,0.14%,0%,0%,-2.35%,414,49%,1,Y,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
camelbak_sip,st_beer,st_beer_descr,0,0,1,0%,-2%,0%,0%,0,0%,1,N,N,1,0%,0%,0,0,0,0,5%,5%,0,0%,0,0
protein,st_protein,st_protein_descr,0.09,1000,3,0.02%,1%,0%,0%,0,38%,1,N,N,0,0%,0%,0,0,0,0,0%,0%,0,0%,0,0
joint,st_joint,st_joint_descr,0,380,2,1.94%,2%,-4%,-0.4%,0,-8%,1,N,N,420,0%,0%,0,0,0,0,0%,0%,0,0%,1,0
cigar1,st_cigar1,st_cigar1_descr,0,2506,2,-0.56%,2%,-6%,-0.6%,0,3%,3,N,N,59,0%,0%,0,0,13,767,0%,0%,0,0%,0,0
meat_pseudodog_b,st_meat_pseudodog,st_meat_pseudodog_descr,0.09,1483,2,0.18%,0%,0%,-1.3%,69,22%,1,N,Y,230,0%,0%,0,0,0,0,0%,0%,3,0%,0,0
