~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,st_data_export_blast_power,st_detonation_radius,st_data_export_fragments,st_data_fragment_damage,st_detonation_time
ammo_m209,ammo-m209,ammo-m209_descr,0.20,1750,5.2,4.7,94,0.074,5
ammo_m209_bad,ammo-m209,ammo-m209_descr,0.20,665,5.2,4.7,94,0.074,5
ammo_m209_verybad,ammo-m209,ammo-m209_descr,0.20,300,5.2,4.7,94,0.074,5
ammo_vog-25,ammo-vog-25,ammo-vog-25_descr,0.26,1750,4.8,4.3,85,0.07,5
ammo_vog-25_bad,ammo-vog-25,ammo-vog-25_descr,0.26,480,4.8,4.3,85,0.07,5
ammo_vog-25_verybad,ammo-vog-25,ammo-vog-25_descr,0.26,230,4.8,4.3,85,0.07,5
ammo_vog-30,ammo_vog_30,ammo_vog_30_descr,0.20,1850,4.8,4.3,85,0.07,5
grenade_f1,st_grenade_f1,st_grenade_f1_descr,0.60,1900,3,8,127,0.27,3
grenade_gd-05,st_grenade_thermite,st_grenade_thermite_descr,0.20,1789,4,9,117,0.24,4
grenade_rgd5,st_grenade_rgd5,st_grenade_rgd5_descr,0.31,1550,3,6,80,0.27,3
grenade_smoke,st_grenade_smoke,st_grenade_smoke_descr,0.15,590,0,0,0,0,12
ied,st_ied,st_ied_descr,2.17,3690,5.7,12.9,5,0.06,0
ied_rpg,st_ied_rpg,st_ied_rpg_descr,1.89,2990,4.3,7.2,153,0.03,0
mine,st_mine_name,st_mine_descr,0.75,1790,3.18,2.26,0,0.04,0
wpn_rpg26,st_wpn_rpg26,st_wpn_rpg26_descr,2.90,2600,4.3,7.2,450,0.5,0
