id,texture,width,height,x,y
0kp2,ui\ui_icon_bas,50,50,4400,50
1p29,ui\ui_icon_bas,50,50,4350,0
1p59,ui\ui_icon_bas,100,50,3950,250
1p63,ui\ui_icon_new_scopes_eft,50,50,0,0
1p76,ui\ui_icon_bas,50,50,4050,50
1p78gs,ui\ui_icon_bas,50,50,4100,50
1p87,ui\ui_icon_new_scopes_eft,50,50,150,0
1pn93,ui\ui_icon_bas,100,50,4300,200
1pn93n2_1gs,ui\ui_icon_bas,100,50,4000,200
226sig_kit,ui\ui_icon_bas,100,50,5150,450
23_up,ui\ui_icon_bas,100,50,5150,250
5c_tik,ui\ui_icon_bas,200,100,5600,500
ac10632,ui\ui_icon_bas,50,50,4050,0
ac11090,ui\ui_icon_new_scopes_eft,50,50,150,150
acog,ui\ui_icon_bas,50,50,4000,0
addon,ui\ui_icon_equipment,50,50,0,0
ado,ui\ui_icon_new_scopes_eft,100,50,0,250
adrenalin,ui\ui_icon_equipment,50,50,750,3300
af_aac,ui\ui_icon_equipment,50,50,100,1400
af_aam,ui\ui_icon_equipment,50,50,150,1400
af_absorbent,ui\ui_arts,50,50,7600,2850
af_absorbent_af_aac,ui\ui_arts,50,50,100,1400
af_absorbent_af_aam,ui\ui_arts,50,50,150,1400
af_absorbent_af_iam,ui\ui_arts,50,50,150,1350
af_absorbent_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_ameba_mi,ui\ui_arts,50,50,7100,1400
af_ameba_mi_af_aac,ui\ui_arts,50,50,100,1400
af_ameba_mi_af_aam,ui\ui_arts,50,50,150,1400
af_ameba_mi_af_iam,ui\ui_arts,50,50,150,1350
af_ameba_mi_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_ameba_mica,ui\ui_arts,50,50,7250,350
af_ameba_mica_af_aac,ui\ui_arts,50,50,100,1400
af_ameba_mica_af_aam,ui\ui_arts,50,50,150,1400
af_ameba_mica_af_iam,ui\ui_arts,50,50,150,1350
af_ameba_mica_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_ameba_sli,ui\ui_arts,50,50,7200,1400
af_ameba_slime,ui\ui_arts,50,50,7150,350
af_ameba_slime_af_aac,ui\ui_arts,50,50,100,1400
af_ameba_slime_af_aam,ui\ui_arts,50,50,150,1400
af_ameba_slime_af_iam,ui\ui_arts,50,50,150,1350
af_ameba_slime_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_ameba_slu,ui\ui_arts,50,50,7150,1400
af_ameba_slug,ui\ui_arts,50,50,7200,350
af_ameba_slug_af_aac,ui\ui_arts,50,50,100,1400
af_ameba_slug_af_aam,ui\ui_arts,50,50,150,1400
af_ameba_slug_af_iam,ui\ui_arts,50,50,150,1350
af_ameba_slug_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_arhara_globus,ui\ui_arts,50,50,7200,450
af_armor_1,ui\ui_arts,50,50,7250,450
af_armor_1_af_aac,ui\ui_arts,50,50,100,1400
af_armor_1_af_aam,ui\ui_arts,50,50,150,1400
af_armor_1_af_iam,ui\ui_arts,50,50,150,1350
af_armor_1_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_armor_2,ui\ui_arts,50,50,7300,450
af_armor_2_af_aac,ui\ui_arts,50,50,100,1400
af_armor_2_af_aam,ui\ui_arts,50,50,150,1400
af_armor_2_af_iam,ui\ui_arts,50,50,150,1350
af_armor_2_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_armor_3,ui\ui_arts,50,50,7350,450
af_armor_3_af_aac,ui\ui_arts,50,50,100,1400
af_armor_3_af_aam,ui\ui_arts,50,50,150,1400
af_armor_3_af_iam,ui\ui_arts,50,50,150,1350
af_armor_3_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_armor_4,ui\ui_arts,50,50,7400,450
af_armor_4_af_aac,ui\ui_arts,50,50,100,1400
af_armor_4_af_aam,ui\ui_arts,50,50,150,1400
af_armor_4_af_iam,ui\ui_arts,50,50,150,1350
af_armor_4_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_atom,ui\ui_icon_equipment,50,50,400,3700
af_babka_1,ui\ui_arts,50,50,7100,500
af_babka_1_af_aac,ui\ui_arts,50,50,100,1400
af_babka_1_af_aam,ui\ui_arts,50,50,150,1400
af_babka_1_af_iam,ui\ui_arts,50,50,150,1350
af_babka_1_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_babka_2,ui\ui_arts,50,50,7150,500
af_babka_2_af_aac,ui\ui_arts,50,50,100,1400
af_babka_2_af_aam,ui\ui_arts,50,50,150,1400
af_babka_2_af_iam,ui\ui_arts,50,50,150,1350
af_babka_2_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_babka_3,ui\ui_arts,50,50,7200,500
af_babka_3_af_aac,ui\ui_arts,50,50,100,1400
af_babka_3_af_aam,ui\ui_arts,50,50,150,1400
af_babka_3_af_iam,ui\ui_arts,50,50,150,1350
af_babka_3_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_ball,ui\ui_icon_equipment,50,50,150,3650
af_baloon,ui\ui_arts,50,50,400,3500
af_baloon3,ui\ui_arts,50,50,7350,1100
af_baloon3_af_aac,ui\ui_arts,50,50,100,1400
af_baloon3_af_aam,ui\ui_arts,50,50,150,1400
af_baloon3_af_iam,ui\ui_arts,50,50,150,1350
af_baloon3_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_baloon_af_aac,ui\ui_arts,50,50,100,1400
af_baloon_af_aam,ui\ui_arts,50,50,150,1400
af_baloon_af_iam,ui\ui_arts,50,50,150,1350
af_baloon_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_bat,ui\ui_icon_equipment,50,50,200,3700
af_best_compass,ui\ui_arts,50,50,7400,1200
af_best_compass_af_aac,ui\ui_arts,50,50,100,1400
af_best_compass_af_aam,ui\ui_arts,50,50,150,1400
af_best_compass_af_iam,ui\ui_arts,50,50,150,1350
af_best_compass_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_black,ui\ui_icon_equipment,50,50,0,3650
af_black_angel,ui\ui_icon_equipment,50,50,550,3650
af_black_spray,ui\ui_arts,50,50,900,3500
af_black_spray_af_aac,ui\ui_arts,50,50,100,1400
af_black_spray_af_aam,ui\ui_arts,50,50,150,1400
af_black_spray_af_iam,ui\ui_arts,50,50,150,1350
af_black_spray_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_bloo,ui\ui_arts,50,50,7300,1300
af_bloo_af_aac,ui\ui_arts,50,50,100,1400
af_bloo_af_aam,ui\ui_arts,50,50,150,1400
af_bloo_af_iam,ui\ui_arts,50,50,150,1350
af_bloo_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_blood,ui\ui_arts,50,50,250,3500
af_blood2,ui\ui_arts,50,50,7350,250
af_blood2_af_aac,ui\ui_arts,50,50,100,1400
af_blood2_af_aam,ui\ui_arts,50,50,150,1400
af_blood2_af_iam,ui\ui_arts,50,50,150,1350
af_blood2_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_blood3,ui\ui_arts,50,50,7250,1100
af_blood3_af_aac,ui\ui_arts,50,50,100,1400
af_blood3_af_aam,ui\ui_arts,50,50,150,1400
af_blood3_af_iam,ui\ui_arts,50,50,150,1350
af_blood3_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_blood_af_aac,ui\ui_arts,50,50,100,1400
af_blood_af_aam,ui\ui_arts,50,50,150,1400
af_blood_af_iam,ui\ui_arts,50,50,150,1350
af_blood_green,ui\ui_arts,50,50,7300,250
af_blood_green_af_aac,ui\ui_arts,50,50,100,1400
af_blood_green_af_aam,ui\ui_arts,50,50,150,1400
af_blood_green_af_iam,ui\ui_arts,50,50,150,1350
af_blood_green_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_blood_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_bracelet,ui\ui_arts,50,50,350,3500
af_bracelet_af_aac,ui\ui_arts,50,50,100,1400
af_bracelet_af_aam,ui\ui_arts,50,50,150,1400
af_bracelet_af_iam,ui\ui_arts,50,50,150,1350
af_bracelet_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_brain,ui\ui_arts,50,50,7550,2850
af_brain_af_aac,ui\ui_arts,50,50,100,1400
af_brain_af_aam,ui\ui_arts,50,50,150,1400
af_brain_af_iam,ui\ui_arts,50,50,150,1350
af_brain_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_bumerang,ui\ui_arts,50,50,8050,3000
af_bumerang_af_aac,ui\ui_arts,50,50,100,1400
af_bumerang_af_aam,ui\ui_arts,50,50,150,1400
af_bumerang_af_iam,ui\ui_arts,50,50,150,1350
af_bumerang_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_camelbak,ui\ui_icon_equipment,50,50,350,950
af_camelbak_up,ui\ui_icon_equipment,50,50,350,950
af_caterpillar,ui\ui_arts,50,50,7400,400
af_caterpillar_af_aac,ui\ui_arts,50,50,100,1400
af_caterpillar_af_aam,ui\ui_arts,50,50,150,1400
af_caterpillar_af_iam,ui\ui_arts,50,50,150,1350
af_caterpillar_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_cell,ui\ui_icon_equipment,50,50,500,3700
af_ceramic,ui\ui_icon_armorinserts,50,50,0,0
af_ceramic_up,ui\ui_icon_armorinserts,50,50,0,0
af_chelust,ui\ui_icon_equipment,50,50,350,3700
af_chertyaico,ui\ui_arts,50,50,7200,750
af_chertyaico_af_aac,ui\ui_arts,50,50,100,1400
af_chertyaico_af_aam,ui\ui_arts,50,50,150,1400
af_chertyaico_af_iam,ui\ui_arts,50,50,150,1350
af_chertyaico_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_clear_sky,ui\ui_arts,50,50,7900,3350
af_clear_sky_af_aac,ui\ui_arts,50,50,100,1400
af_clear_sky_af_aam,ui\ui_arts,50,50,150,1400
af_clear_sky_af_iam,ui\ui_arts,50,50,150,1350
af_clear_sky_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_cocoon,ui\ui_icon_equipment,50,50,550,3700
af_compass,ui\ui_arts,50,50,850,3550
af_compass_af_aac,ui\ui_arts,50,50,100,1400
af_compass_af_aam,ui\ui_arts,50,50,150,1400
af_compass_af_iam,ui\ui_arts,50,50,150,1350
af_compass_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_cooler,ui\ui_icon_equipment,50,50,200,950
af_cooler_up,ui\ui_icon_equipment,50,50,200,950
af_crist_flower,ui\ui_arts,50,50,7350,1300
af_cristal_drops,ui\ui_arts,50,50,7350,900
af_cristal_drops_af_aac,ui\ui_arts,50,50,100,1400
af_cristal_drops_af_aam,ui\ui_arts,50,50,150,1400
af_cristal_drops_af_iam,ui\ui_arts,50,50,150,1350
af_cristal_drops_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_cristall,ui\ui_arts,50,50,100,3500
af_cristall2,ui\ui_arts,50,50,7150,250
af_cristall2_af_aac,ui\ui_arts,50,50,100,1400
af_cristall2_af_aam,ui\ui_arts,50,50,150,1400
af_cristall2_af_iam,ui\ui_arts,50,50,150,1350
af_cristall2_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_cristall3,ui\ui_arts,50,50,7250,1050
af_cristall3_af_aac,ui\ui_arts,50,50,100,1400
af_cristall3_af_aam,ui\ui_arts,50,50,150,1400
af_cristall3_af_iam,ui\ui_arts,50,50,150,1350
af_cristall3_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_cristall_af_aac,ui\ui_arts,50,50,100,1400
af_cristall_af_aam,ui\ui_arts,50,50,150,1400
af_cristall_af_iam,ui\ui_arts,50,50,150,1350
af_cristall_flower,ui\ui_arts,50,50,750,3500
af_cristall_flower2,ui\ui_arts,50,50,7150,200
af_cristall_flower2_af_aac,ui\ui_arts,50,50,100,1400
af_cristall_flower2_af_aam,ui\ui_arts,50,50,150,1400
af_cristall_flower2_af_iam,ui\ui_arts,50,50,150,1350
af_cristall_flower2_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_cristall_flower3,ui\ui_arts,50,50,7100,1050
af_cristall_flower3_af_aac,ui\ui_arts,50,50,100,1400
