~,st_class,st_ui_dbg_spawn_type,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,st_data_export_max_uses
0kp2,WP_SCOPE,w_misc,st_addon_scope_0kp2,st_addon_scope_0kp2_descr,0.20,5280,
1p29,WP_SCOPE,w_misc,st_addon_scope_1p29,st_addon_scope_1p29_descr,0.80,5960,
1p59,WP_SCOPE,w_misc,st_addon_scope_1p59,st_addon_scope_1p59_descr,1.30,11000,
1p63,WP_SCOPE,w_misc,st_addon_scope_pk1_obzor,st_addon_scope_pk1_obzor_descr,0.60,2500,
1p76,WP_SCOPE,w_misc,st_addon_scope_1p76,st_addon_scope_1p76_descr,0.58,3280,
1p78gs,WP_SCOPE,w_misc,st_addon_scope_1p78gs,st_addon_scope_1p78gs_descr,0.50,4800,
1p87,WP_SCOPE,w_misc,st_addon_scope_1p87,st_addon_scope_1p87_descr,0.30,2500,
1pn93,WP_SCOPE,w_misc,st_addon_scope_1pn93,st_addon_scope_1pn93_descr,1.30,5200,
1pn93n2_1gs,WP_SCOPE,w_misc,st_addon_scope_1pn93n2_1gs,st_addon_scope_1pn93n2_1gs_descr,1,4500,
226sig_kit,II_FOOD,w_misc,st_addon_scope_226sig_kit,st_addon_scope_226sig_kit_descr,0.35,10000,
23_up,II_FOOD,w_misc,st_addon_scope_23_up,st_addon_scope_23_up_descr,0.60,6000,
5c_tik,II_FOOD,w_misc,st_addon_scope_5c_tik,st_addon_scope_5c_tik_descr,2.15,22000,
ac10632,WP_SCOPE,w_misc,st_addon_scope_ac10632,st_addon_scope_ac10632_descr,0.12,2500,
ac11090,WP_SCOPE,w_misc,st_addon_scope_monstrum_2x32,st_addon_scope_monstrum_2x32_descr,0.42,15000,
acog,WP_SCOPE,w_misc,st_addon_scope_acog,st_addon_scope_acog_descr,0.35,4700,
addon,II_FOOD,w_misc,st_antirad,st_antirad_descr,0,0,
ado,WP_SCOPE,w_misc,st_addon_scope_ncstar_ado,st_addon_scope_ncstar_ado_descr,0.60,6900,
adrenalin,II_FOOD,i_medical,st_adrenalin,st_adrenalin_descr,0.05,14840,
af_aac,II_ATTCH,i_arty_cont,st_af_aac_name,st_af_aac_descr,2.73,19410,
af_aam,II_ATTCH,i_arty_cont,st_af_aam_name,st_af_aam_descr,3.06,31485,
af_absorbent,ARTEFACT,i_arty,st_af_absorbent_name,st_af_absorbent_descr,1.76,30629,
af_absorbent_af_aac,SCRPTART,i_arty_cont,st_af_absorbent_af_aac_name,st_af_absorbent_af_aac_descr,4.49,0,
af_absorbent_af_aam,SCRPTART,i_arty_cont,st_af_absorbent_af_aam_name,st_af_absorbent_af_aam_descr,4.82,0,
