~,pda_encyclopedia_name,st_ui_dbg_spawn_type,st_upgr_cost,st_data_export_can_be_looted_by_npc
0kp2,st_addon_scope_0kp2,w_misc,5280,Y
1p29,st_addon_scope_1p29,w_misc,5960,Y
1p59,st_addon_scope_1p59,w_misc,11000,Y
1p63,st_addon_scope_pk1_obzor,w_misc,2500,N
1p76,st_addon_scope_1p76,w_misc,3280,Y
1p78gs,st_addon_scope_1p78gs,w_misc,4800,Y
1p87,st_addon_scope_1p87,w_misc,2500,N
1pn93,st_addon_scope_1pn93,w_misc,5200,Y
1pn93n2_1gs,st_addon_scope_1pn93n2_1gs,w_misc,4500,Y
226sig_kit,st_addon_scope_226sig_kit,w_misc,10000,Y
23_up,st_addon_scope_23_up,w_misc,6000,Y
5c_tik,st_addon_scope_5c_tik,w_misc,22000,Y
ac10632,st_addon_scope_ac10632,w_misc,2500,Y
ac11090,st_addon_scope_monstrum_2x32,w_misc,15000,Y
acog,st_addon_scope_acog,w_misc,4700,Y
addon,st_antirad,w_misc,0,N
ado,st_addon_scope_ncstar_ado,w_misc,6900,N
adrenalin,st_adrenalin,i_medical,14840,Y
af_aac,st_af_aac_name,i_arty_cont,19410,Y
af_aam,st_af_aam_name,i_arty_cont,31485,Y
af_absorbent,st_af_absorbent_name,i_arty,30629,Y
af_absorbent_af_aac,st_af_absorbent_af_aac_name,i_arty_cont,0,N
af_absorbent_af_aam,st_af_absorbent_af_aam_name,i_arty_cont,0,N
af_absorbent_af_iam,st_af_absorbent_af_iam_name,i_arty_cont,0,N
af_absorbent_lead_box,st_af_absorbent_lead_box_name,i_arty_cont,0,N
af_ameba_mi,af-ameba-mica,i_arty,47094,Y
af_ameba_mi_af_aac,st_af-ameba-mica_aac_name,i_arty_cont,0,N
af_ameba_mi_af_aam,st_af-ameba-mica_aam_name,i_arty_cont,0,N
af_ameba_mi_af_iam,st_af-ameba-mica_iam_name,i_arty_cont,0,N
af_ameba_mi_lead_box,st_af-ameba-mica_lead_box_name,i_arty_cont,0,N
af_ameba_mica,af_ameba_mica,i_arty,55722,Y
af_ameba_mica_af_aac,st_af_ameba_mica_af_aac_name,i_arty_cont,0,N
af_ameba_mica_af_aam,st_af_ameba_mica_af_aam_name,i_arty_cont,0,N
af_ameba_mica_af_iam,st_af_ameba_mica_af_iam_name,i_arty_cont,0,N
af_ameba_mica_lead_box,st_af_ameba_mica_lead_box_name,i_arty_cont,0,N
af_ameba_sli,af-ameba-slime,i_arty_junk,7200,Y
af_ameba_slime,af_ameba_slime,i_arty,20662,Y
af_ameba_slime_af_aac,st_af_ameba_slime_af_aac_name,i_arty_cont,0,N
af_ameba_slime_af_aam,st_af_ameba_slime_af_aam_name,i_arty_cont,0,N
af_ameba_slime_af_iam,st_af_ameba_slime_af_iam_name,i_arty_cont,0,N
af_ameba_slime_lead_box,st_af_ameba_slime_lead_box_name,i_arty_cont,0,N
af_ameba_slu,af-ameba-slug,i_arty_junk,8500,Y
af_ameba_slug,af_ameba_slug,i_arty,47950,Y
af_ameba_slug_af_aac,st_af_ameba_slug_af_aac_name,i_arty_cont,0,N
af_ameba_slug_af_aam,st_af_ameba_slug_af_aam_name,i_arty_cont,0,N
af_ameba_slug_af_iam,st_af_ameba_slug_af_iam_name,i_arty_cont,0,N
af_ameba_slug_lead_box,st_af_ameba_slug_lead_box_name,i_arty_cont,0,N
af_arhara_globus,af_arhara_globus_name,i_arty_junk,23800,Y
af_armor_1,af_armor_1_name,i_arty,24232,Y
af_armor_1_af_aac,st_af_armor_1_af_aac_name,i_arty_cont,0,N
af_armor_1_af_aam,st_af_armor_1_af_aam_name,i_arty_cont,0,N
af_armor_1_af_iam,st_af_armor_1_af_iam_name,i_arty_cont,0,N
af_armor_1_lead_box,st_af_armor_1_lead_box_name,i_arty_cont,0,N
af_armor_2,af_armor_2_name,i_arty,24518,Y
af_armor_2_af_aac,st_af_armor_2_af_aac_name,i_arty_cont,0,N
af_armor_2_af_aam,st_af_armor_2_af_aam_name,i_arty_cont,0,N
af_armor_2_af_iam,st_af_armor_2_af_iam_name,i_arty_cont,0,N
af_armor_2_lead_box,st_af_armor_2_lead_box_name,i_arty_cont,0,N
af_armor_3,af_armor_3_name,i_arty,21155,Y
af_armor_3_af_aac,st_af_armor_3_af_aac_name,i_arty_cont,0,N
af_armor_3_af_aam,st_af_armor_3_af_aam_name,i_arty_cont,0,N
af_armor_3_af_iam,st_af_armor_3_af_iam_name,i_arty_cont,0,N
af_armor_3_lead_box,st_af_armor_3_lead_box_name,i_arty_cont,0,N
af_armor_4,af_armor_4_name,i_arty,32023,Y
af_armor_4_af_aac,st_af_armor_4_af_aac_name,i_arty_cont,0,N
af_armor_4_af_aam,st_af_armor_4_af_aam_name,i_arty_cont,0,N
af_armor_4_af_iam,st_af_armor_4_af_iam_name,i_arty_cont,0,N
af_armor_4_lead_box,st_af_armor_4_lead_box_name,i_arty_cont,0,N
af_atom,st_af_atom_name,i_arty_junk,11600,Y
af_babka_1,af_babka_1_name,i_arty,31424,Y
af_babka_1_af_aac,st_af_babka_1_af_aac_name,i_arty_cont,0,N
af_babka_1_af_aam,st_af_babka_1_af_aam_name,i_arty_cont,0,N
af_babka_1_af_iam,st_af_babka_1_af_iam_name,i_arty_cont,0,N
af_babka_1_lead_box,st_af_babka_1_lead_box_name,i_arty_cont,0,N
af_babka_2,af_babka_2_name,i_arty,44595,Y
af_babka_2_af_aac,st_af_babka_2_af_aac_name,i_arty_cont,0,N
af_babka_2_af_aam,st_af_babka_2_af_aam_name,i_arty_cont,0,N
af_babka_2_af_iam,st_af_babka_2_af_iam_name,i_arty_cont,0,N
af_babka_2_lead_box,st_af_babka_2_lead_box_name,i_arty_cont,0,N
af_babka_3,af_babka_3_name,i_arty,53481,Y
af_babka_3_af_aac,st_af_babka_3_af_aac_name,i_arty_cont,0,N
af_babka_3_af_aam,st_af_babka_3_af_aam_name,i_arty_cont,0,N
af_babka_3_af_iam,st_af_babka_3_af_iam_name,i_arty_cont,0,N
af_babka_3_lead_box,st_af_babka_3_lead_box_name,i_arty_cont,0,N
af_ball,st_af_ball_name,i_arty_junk,10400,Y
af_baloon,st_af_baloon_name,i_arty,52153,Y
af_baloon3,st_af_baloon3_name,i_arty,38656,Y
af_baloon3_af_aac,st_af_baloon3_af_aac_name,i_arty_cont,0,N
af_baloon3_af_aam,st_af_baloon3_af_aam_name,i_arty_cont,0,N
af_baloon3_af_iam,st_af_baloon3_af_iam_name,i_arty_cont,0,N
af_baloon3_lead_box,st_af_baloon3_lead_box_name,i_arty_cont,0,N
af_baloon_af_aac,st_af_baloon_af_aac_name,i_arty_cont,0,Y
af_baloon_af_aam,st_af_baloon_af_aam_name,i_arty_cont,0,Y
af_baloon_af_iam,st_af_baloon_af_iam_name,i_arty_cont,0,Y
af_baloon_lead_box,st_af_baloon_lead_box_name,i_arty_cont,0,N
af_bat,st_af_bat_name,i_arty_junk,30300,Y
af_best_compass,st_compass2,i_arty,54694,Y
af_best_compass_af_aac,st_af_best_compass_af_aac_name,i_arty_cont,0,N
af_best_compass_af_aam,st_af_best_compass_af_aam_name,i_arty_cont,0,N
af_best_compass_af_iam,st_af_best_compass_af_iam_name,i_arty_cont,0,N
af_best_compass_lead_box,st_af_best_compass_lead_box_name,i_arty_cont,0,N
af_black,st_af_black_name,i_arty_junk,21600,Y
af_black_angel,st_af_black_angel_name,i_arty_junk,25700,Y
af_black_spray,st_af_black_spray_name,i_arty,51251,Y
af_black_spray_af_aac,st_af_black_spray_af_aac_name,i_arty_cont,0,Y
af_black_spray_af_aam,st_af_black_spray_af_aam_name,i_arty_cont,0,Y
af_black_spray_af_iam,st_af_black_spray_af_iam_name,i_arty_cont,0,Y
af_black_spray_lead_box,st_af_black_spray_lead_box_name,i_arty_cont,0,Y
af_bloo,af-blood,i_arty,40760,Y
af_bloo_af_aac,st_af-blood_aac_name,i_arty_cont,0,N
af_bloo_af_aam,st_af-blood_aam_name,i_arty_cont,0,N
af_bloo_af_iam,st_af-blood_iam_name,i_arty_cont,0,N
af_bloo_lead_box,st_af-blood_lead_box_name,i_arty_cont,0,N
af_blood,st_af_blood_name,i_arty,41859,Y
af_blood2,st_af_blood2_name,i_arty,47352,Y
af_blood2_af_aac,st_af_blood2_af_aac_name,i_arty_cont,0,N
af_blood2_af_aam,st_af_blood2_af_aam_name,i_arty_cont,0,N
af_blood2_af_iam,st_af_blood2_af_iam_name,i_arty_cont,0,N
af_blood2_lead_box,st_af_blood2_lead_box_name,i_arty_cont,0,N
af_blood3,st_af_blood3_name,i_arty,30714,Y
af_blood3_af_aac,st_af_blood3_af_aac_name,i_arty_cont,0,N
af_blood3_af_aam,st_af_blood3_af_aam_name,i_arty_cont,0,N
af_blood3_af_iam,st_af_blood3_af_iam_name,i_arty_cont,0,N
af_blood3_lead_box,st_af_blood3_lead_box_name,i_arty_cont,0,N
af_blood_af_aac,st_af_blood_af_aac_name,i_arty_cont,0,Y
af_blood_af_aam,st_af_blood_af_aam_name,i_arty_cont,0,Y
af_blood_af_iam,st_af_blood_af_iam_name,i_arty_cont,0,Y
af_blood_green,af_blood_green_name,i_arty,53567,Y
af_blood_green_af_aac,st_af_blood_green_af_aac_name,i_arty_cont,0,N
af_blood_green_af_aam,st_af_blood_green_af_aam_name,i_arty_cont,0,N
af_blood_green_af_iam,st_af_blood_green_af_iam_name,i_arty_cont,0,N
af_blood_green_lead_box,st_af_blood_green_lead_box_name,i_arty_cont,0,N
af_blood_lead_box,st_af_blood_lead_box_name,i_arty_cont,0,N
af_bracelet,st_af_bracelet_name,i_arty,28186,Y
af_bracelet_af_aac,st_af_bracelet_af_aac_name,i_arty_cont,0,Y
af_bracelet_af_aam,st_af_bracelet_af_aam_name,i_arty_cont,0,Y
af_bracelet_af_iam,st_af_bracelet_af_iam_name,i_arty_cont,0,Y
af_bracelet_lead_box,st_af_bracelet_lead_box_name,i_arty_cont,0,Y
af_brain,st_af_brain_name,i_arty,28459,Y
af_brain_af_aac,st_af_brain_af_aac_name,i_arty_cont,0,N
af_brain_af_aam,st_af_brain_af_aam_name,i_arty_cont,0,N
af_brain_af_iam,st_af_brain_af_iam_name,i_arty_cont,0,N
af_brain_lead_box,st_af_brain_lead_box_name,i_arty_cont,0,N
af_bumerang,st_af_bumerang_name,i_arty,107121,Y
af_bumerang_af_aac,st_af_bumerang_af_aac_name,i_arty_cont,0,N
af_bumerang_af_aam,st_af_bumerang_af_aam_name,i_arty_cont,0,N
af_bumerang_af_iam,st_af_bumerang_af_iam_name,i_arty_cont,0,N
af_bumerang_lead_box,st_af_bumerang_lead_box_name,i_arty_cont,0,N
af_camelbak,st_af_camelbak_name,i_attach,6540,Y
af_camelbak_up,st_af_camelbak_up_name,i_attach,17620,Y
af_caterpillar,af_caterpillar_name,i_arty,102198,Y
af_caterpillar_af_aac,st_af_caterpillar_af_aac_name,i_arty_cont,0,N
af_caterpillar_af_aam,st_af_caterpillar_af_aam_name,i_arty_cont,0,N
af_caterpillar_af_iam,st_af_caterpillar_af_iam_name,i_arty_cont,0,N
af_caterpillar_lead_box,st_af_caterpillar_lead_box_name,i_arty_cont,0,N
af_cell,st_af_cell_name,i_arty_junk,23200,Y
af_ceramic,st_af_ceramic_name,i_attach,6800,Y
af_ceramic_up,st_af_ceramic_up_name,i_attach,11860,Y
af_chelust,st_af_chelust_name,i_arty_junk,20400,Y
af_chertyaico,st_af_chertyaico_name,i_arty,36552,Y
af_chertyaico_af_aac,st_af_chertyaico_af_aac_name,i_arty_cont,0,N
af_chertyaico_af_aam,st_af_chertyaico_af_aam_name,i_arty_cont,0,N
af_chertyaico_af_iam,st_af_chertyaico_af_iam_name,i_arty_cont,0,N
af_chertyaico_lead_box,st_af_chertyaico_lead_box_name,i_arty_cont,0,N
af_clear_sky,st_af_clear_sky_name,i_arty,58923,Y
af_clear_sky_af_aac,st_af_clear_sky_af_aac_name,i_arty_cont,0,N
af_clear_sky_af_aam,st_af_clear_sky_af_aam_name,i_arty_cont,0,N
af_clear_sky_af_iam,st_af_clear_sky_af_iam_name,i_arty_cont,0,N
af_clear_sky_lead_box,st_af_clear_sky_lead_box_name,i_arty_cont,0,N
af_cocoon,st_af_cocoon_name,i_arty_junk,17400,Y
af_compass,st_af_compass_name,i_arty,92237,Y
af_compass_af_aac,st_af_compass_af_aac_name,i_arty_cont,0,Y
af_compass_af_aam,st_af_compass_af_aam_name,i_arty_cont,0,Y
af_compass_af_iam,st_af_compass_af_iam_name,i_arty_cont,0,Y
af_compass_lead_box,st_af_compass_lead_box_name,i_arty_cont,0,N
af_cooler,st_af_cooler_name,i_attach,6080,Y
af_cooler_up,st_af_cooler_up_name,i_attach,16560,Y
af_crist_flower,af-cristall-flower,i_arty_junk,24400,Y
af_cristal_drops,st_af_cristal_drops_name,i_arty,39189,Y
af_cristal_drops_af_aac,st_af_cristal_drops_af_aac_name,i_arty_cont,0,N
af_cristal_drops_af_aam,st_af_cristal_drops_af_aam_name,i_arty_cont,0,N
af_cristal_drops_af_iam,st_af_cristal_drops_af_iam_name,i_arty_cont,0,N
af_cristal_drops_lead_box,st_af_cristal_drops_lead_box_name,i_arty_cont,0,N
af_cristall,st_af_cristall_name,i_arty,37912,Y
af_cristall2,st_af_cristall2_name,i_arty,43716,Y
af_cristall2_af_aac,st_af_cristall2_af_aac_name,i_arty_cont,0,N
af_cristall2_af_aam,st_af_cristall2_af_aam_name,i_arty_cont,0,N
af_cristall2_af_iam,st_af_cristall2_af_iam_name,i_arty_cont,0,N
af_cristall2_lead_box,st_af_cristall2_lead_box_name,i_arty_cont,0,N
af_cristall3,st_af_cristall3_name,i_arty,47234,Y
af_cristall3_af_aac,st_af_cristall3_af_aac_name,i_arty_cont,0,N
af_cristall3_af_aam,st_af_cristall3_af_aam_name,i_arty_cont,0,N
af_cristall3_af_iam,st_af_cristall3_af_iam_name,i_arty_cont,0,N
af_cristall3_lead_box,st_af_cristall3_lead_box_name,i_arty_cont,0,N
af_cristall_af_aac,st_af_cristall_af_aac_name,i_arty_cont,0,Y
