~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_inv_outfit_durability_physical,ui_inv_outfit_durability_anomaly,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed
renegade_scientific_outfit,renegade,renegade_scientific_outfit_name,renegade_scientific_outfit_description,5.62,51840,M,79%,96%,50%,31%,18%,4%,151%,41%,16%,22%,10%,3,5,20,100%
hybrid_outfit,st_data_export_unknown,hybrid_outfit_name,hybrid_outfit_description,14.26,81880,M,90%,71%,47%,35%,42%,15%,151%,48%,16%,31%,25%,2,4,16,96%
ecolog_outfit_blue,st_data_export_unknown,st_ecologist_outfit_blue_name,st_ecologist_outfit_blue_description,2.85,24730,M,42%,100%,24%,21%,31%,24%,257%,70%,46%,20%,10%,3,5,20,100%
specops_dolg_outfit,dolg,specops_dolg_outfit_name,specops_dolg_outfit_description,7.43,41500,M,98%,71%,35%,43%,10%,6%,42%,7%,0%,34%,36%,2,2,15,102%
ecolog_outfit_orange,st_data_export_unknown,st_ecologist_outfit_orange_name,st_ecologist_outfit_orange_description,2.50,24500,M,42%,100%,24%,21%,63%,13%,257%,70%,22%,20%,10%,3,5,20,102%
greh_armored_camo_outfit,greh,greh_armored_camo_outfit_name,greh_armored_camo_outfit_description,8.84,37400,M,84%,62%,36%,32%,6%,4%,36%,9%,0%,30%,18%,2,4,18,103%
merc_wolven_outfit,killer,merc_wolven_outfit_name,merc_wolven_outfit_description,9.15,47980,M,86%,59%,36%,45%,17%,15%,51%,14%,0%,37%,22%,2,4,20,103%
specops_outfit,army,specops_outfit_name,specops_outfit_description,6.78,38500,M,98%,71%,35%,33%,13%,8%,54%,9%,0%,28%,27%,2,3,15,102%
stalker_salamander_outfit,stalker,stalker_salamander_outfit_name,stalker_salamander_outfit_description,6.57,23230,M,67%,62%,29%,27%,9%,6%,23%,6%,0%,23%,17%,3,4,18,104%
military_sky_outfit,csky,military_sky_outfit_name,military_outfit_description,10.12,64350,M,99%,71%,47%,42%,43%,27%,127%,22%,0%,46%,26%,2,3,24,101%
stalker_tigerstripe_outfit,stalker,stalker_tigerstripe_outfit_name,stalker_tigerstripe_outfit_description,6.44,24110,M,67%,62%,23%,34%,9%,6%,23%,6%,0%,28%,20%,3,4,16,104%
cs_medium_outfit,csky,csky_medium_outfit_name,csky_medium_outfit_description,8.14,47500,M,85%,59%,36%,33%,32%,24%,78%,17%,0%,34%,17%,2,2,20,103%
ecolog_guard_outfit,ecolog,ecologist_guard_outfit_name,ecologist_guard_outfit_description,7.84,38300,M,85%,59%,33%,30%,27%,32%,66%,16%,0%,27%,18%,3,4,18,103%
dolg_specops_red_outfit,dolg,dolg_specops_red_outfit_name,dolg_specops_red_outfit_description,7.66,41500,M,98%,71%,39%,30%,10%,6%,42%,7%,0%,27%,24%,2,4,15,102%
military_bandit_outfit,bandit,military_bandit_outfit_name,military_outfit_description,8.22,55350,M,97%,71%,47%,39%,23%,17%,96%,19%,0%,36%,31%,2,3,28,102%
stalker_predator_outfit,stalker,stalker_predator_outfit_name,stalker_predator_outfit_description,8.37,31640,M,67%,62%,29%,34%,9%,6%,23%,6%,0%,28%,20%,2,3,15,101%
monolith_scientific_light_outfit,monolith,monolith_scientific_light_outfit_name,monolith_scientific_light_outfit_description,5.40,51750,M,79%,96%,54%,31%,26%,5%,166%,67%,30%,25%,17%,3,5,18,105%
stalker_drought_outfit,stalker,stalker_drought_outfit_name,stalker_drought_outfit_description,6.51,29770,M,67%,62%,23%,29%,10%,13%,42%,8%,0%,24%,18%,2,3,18,105%
cs_heavy_outfit,csky,csky_heavy_outfit_name,csky_heavy_outfit_description,9.12,63330,M,94%,71%,45%,37%,33%,20%,103%,19%,3%,25%,28%,3,4,20,100%
dolg_heavy_redline_outfit,dolg,dolg_heavy_redline_outfit_name,dolg_heavy_redline_outfit_description,10.72,63350,M,99%,71%,53%,42%,33%,17%,96%,20%,0%,47%,27%,2,3,24,101%
nbc_dolg_outfit,dolg,nbc_dolg_outfit_name,nbc_dolg_outfit_description,9.24,36580,M,74%,62%,32%,35%,21%,22%,66%,41%,0%,30%,22%,2,2,15,103%
merc_scientific_armored_outfit,killer,merc_scientific_armored_outfit_name,merc_scientific_armored_outfit_description,5.69,59340,M,79%,96%,50%,29%,26%,5%,166%,41%,16%,22%,7%,3,5,20,102%
