~,st_ui_dbg_spawn_type,pda_encyclopedia_name,army,bandit,csky,dolg,ecolog,freedom,greh,isg,killer,monolith,renegade,stalker,zombied
wpn_g36k,st_data_export_weapon_kind_rifle,st_wpn_g36k,,,"st_rank_experienced, st_rank_professional",,"st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",st_rank_master,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_veteran, st_rank_expert, st_rank_master",,"st_rank_master, st_rank_legend",
wpn_toz34_obrez_custom,st_data_export_weapon_kind_shotgun,st_wpn_toz34_obrez_custom,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,,,,,,,st_rank_professional,
wpn_toz106,st_data_export_weapon_kind_shotgun,st_wpn_toz106,,"st_rank_novice, st_rank_trainee",st_rank_trainee,,,,,,,,"st_rank_novice, st_rank_trainee","st_rank_novice, st_rank_trainee",st_rank_any
wpn_fal_aus_kit_aus_tri,st_data_export_weapon_kind_rifle,st_wpn_fal_aus_kit_aus_tri,,,,,"st_rank_master, st_rank_legend",,,,,st_rank_master,,,
wpn_desert_eagle,st_data_export_weapon_kind_pistol,st_wpn_desert_eagle,,"st_rank_master, st_rank_legend",,,,,"st_rank_veteran, st_rank_expert, st_rank_master","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_rg6, st_rank_sniper, st_rank_gauss","st_rank_master, st_rank_legend",,
wpn_m79,st_data_export_weapon_kind_explosive,st_wpn_m79,,,,,,,st_rank_master,,,,,,
wpn_spas12,st_data_export_weapon_kind_shotgun,st_wpn_spas12,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_veteran, st_rank_expert","st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_master",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master",,"st_rank_novice, st_rank_trainee, st_rank_veteran, st_rank_master, st_rank_legend",st_rank_any
wpn_vintorez_isg,st_data_export_weapon_kind_rifle,st_wpn_vintorez_isg,,,,,,,,"st_rank_master, st_rank_legend",,,,,
wpn_svt40_modern,st_data_export_weapon_kind_sniper,st_wpn_svt40_modern,,,,"st_rank_master, st_rank_legend",st_rank_expert,,,,,,,"st_rank_expert, st_rank_master, st_rank_legend",
wpn_g36_camo,st_data_export_weapon_kind_rifle,st_wpn_g36_camo,,,,,,,st_rank_master,,,st_rank_master,,,
wpn_m4_butcher,st_data_export_weapon_kind_rifle,st_wpn_m4_butcher,,,,,,"st_rank_master, st_rank_legend","st_rank_professional, st_rank_master","st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,
wpn_adar2_15,st_data_export_weapon_kind_rifle,st_wpn_adar2_15,,"st_rank_experienced, st_rank_professional","st_rank_experienced, st_rank_professional",,,,,,,,"st_rank_experienced, st_rank_professional",st_rank_experienced,
wpn_korth_custom,st_data_export_weapon_kind_pistol,st_wpn_korth_custom,,,"st_rank_master, st_rank_legend",,,,,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,"st_rank_master, st_rank_legend",
wpn_mosin,st_data_export_weapon_kind_sniper,st_wpn_mosin,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional",,,,,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_any, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_ks23_kaban,st_data_export_weapon_kind_shotgun,st_wpn_ks23_kaban,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,,,st_rank_master,,,"st_rank_veteran, st_rank_expert",,,
