~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,BR1,BR2,BR3,BR4,BR5,st_data_export_hit_power
wpn_toz34_obrez,st_wpn_toz34_obrez,st_wpn_toz34_obrez_descr,2.10,11860,B,N,52%,55%,180,1200,2,300,299,73%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.77
wpn_toz106_m1,st_wpn_toz106_m1,st_wpn_toz106_m1_descr,2.50,9300,B,N,94%,65%,198,30,4,50,259,51%,25,ammo_20x70_buck,ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart,,0.04,,,,0.8
wpn_toz34_obrez_custom,st_wpn_toz34_obrez_custom,st_wpn_toz34_obrez_descr,2.10,12690,B,N,54%,55%,180,1200,2,300,299,71%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.77
wpn_protecta_custom,st_wpn_protecta_custom,st_wpn_protecta_descr,4.20,30650,B,N,58%,63%,180,168,12,300,319,78%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.78
wpn_toz106,st_wpn_toz106,st_wpn_toz106_descr,2.50,8300,B,N,94%,65%,198,30,2,50,259,51%,25,ammo_20x70_buck,ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart,,0.04,,,,0.8
wpn_bm16_full,st_wpn_bm16_full,st_wpn_bm16_full_descr,3.40,15480,B,N,76%,57%,180,1000,2,200,299,77%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.77
wpn_spas12,st_wpn_spas12,st_wpn_spas12_descr,4.13,29390,B,N,67%,59%,189,115,8,300,339,78%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.79
wpn_bm16,st_wpn_bm16,st_wpn_bm16_descr,1.92,10650,B,N,43%,67%,180,1000,2,200,299,75%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.77
wpn_saiga12s_m2,st_wpn_saiga12s_m2,st_wpn_saiga12s_m2_descr,3.96,48680,B,N,69%,77%,189,250,6,300,324,80%,25,ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.038,,0.45,,0.788
wpn_toz34_bull,st_wpn_toz34_bull,st_wpn_toz34_bull_descr,3.90,25150,B,N,79%,55%,166,200,2,500,315,75%,0,ammo-12x76-bull,,,,,0.4,,1
wpn_mp153,st_wpn_mp153,st_wpn_mp153_descr,3.50,30580,B,N,66%,59%,189,200,8,300,369,76%,25,ammo-12x70-buck;ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.038,,0.45,,0.8
wpn_saiga12s_isg,st_wpn_saiga12s_isg,st_wpn_saiga12s_isg_descr,3.20,62680,B,N,79%,76%,189,400,10,200,299,91%,30,ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.038,,0.45,,0.8
wpn_toz34_decor,st_wpn_toz34_decor,st_wpn_toz34_descr,3.20,18550,B,N,72%,55%,189,1100,2,400,369,75%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart,,0.05,,0.45,,0.8
wpn_toz34,st_wpn_toz34,st_wpn_toz34_descr,3.20,14800,B,N,76%,55%,189,1000,2,400,369,75%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart,,0.05,,0.45,,0.8
wpn_mp153_m1,st_wpn_mp153_m1,st_wpn_mp153_m1_descr,3.50,27580,B,N,66%,59%,189,200,6,70,369,76%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.8
wpn_ks23_kaban,st_wpn_ks23_kaban,st_wpn_ks23_kaban_descr,3.50,38950,B,N,76%,53%,2376,60,4,150,140,73%,25,ammo_23x75_shrapnel;ammo_23x75_barrikada,,,0.07,,0.33,,0.48
wpn_spas12_custom,st_wpn_spas12_custom,st_wpn_spas12_descr,4.13,32580,B,N,70%,59%,189,130,8,300,339,77%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.79
wpn_fort500,st_wpn_fort500,st_wpn_fort500_descr,4.30,17700,B,N,64%,88%,189,60,6,300,329,70%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.79
wpn_toz34_mark4,st_wpn_toz34_mark4,st_wpn_toz34_mark4_descr,3.20,36860,B,N,75%,55%,189,800,2,400,389,69%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart,,0.05,,0.45,,0.82
wpn_ks23,st_wpn_ks23,st_wpn_ks23_descr,3.85,32960,B,N,76%,53%,2478,60,4,150,140,73%,25,ammo_23x75_shrapnel;ammo_23x75_barrikada,,,0.07,,0.33,,0.5
wpn_wincheaster1300,st_wpn_toz194,st_wpn_toz194_descr,2.90,18580,B,N,62%,63%,189,70,7,300,339,71%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.79
wpn_vepr,st_wpn_vepr12,st_wpn_vepr12_descr,4.30,56980,B,N,67%,77%,180,240,12,300,324,81%,26,ammo-12x70-buck;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.038,,0.45,,0.78
wpn_protecta_nimble,st_wpn_protecta_nimble,st_wpn_protecta_nimble_descr,4.20,32680,B,N,57%,63%,180,191,12,300,319,78%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.78
wpn_ks23_kaban_kab_up,st_wpn_ks23_kaban_kab_up,st_wpn_ks23_kaban_kab_up_descr,3.60,38950,B,N,76%,53%,2376,60,4,150,140,73%,25,ammo_23x75_shrapnel;ammo_23x75_barrikada,,,0.07,,0.33,,0.48
wpn_mp133,st_wpn_mp133,st_wpn_mp133_descr,3,21960,B,N,69%,59%,189,60,6,300,339,73%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,,,0.05,,0.45,,0.79
wpn_toz34_custom,st_wpn_toz34_custom,st_wpn_toz34_descr,3.20,18680,B,N,71%,55%,189,1200,2,400,369,73%,25,ammo-12x70-buck;ammo-12x70-raid;ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x76-dart;ammo-12x76-dart,,0.05,,0.45,,0.8
