~,st_data_export_quantity,st_data_export_probability
af_camelbak,1,1
af_frames,1,1
af_kevlar,1,1
af_plates,1,1
ammo_11.43x23_fmj,4,1
ammo_11.43x23_hydro,3,1
ammo_12.7x55_ap,2,1
ammo_12.7x55_fmj,3,1
ammo_12x70_buck,8,1
ammo_12x76_dart,3,1
ammo_12x76_zhekan,6,1
ammo_20x70_buck,3,1
ammo_23x75_barrikada,3,1
ammo_23x75_shrapnel,3,1
ammo_357_hp_mag,3,1
ammo_5.45x39_ap,3,1
ammo_5.45x39_ep,3,1
ammo_5.45x39_fmj,4,1
ammo_5.56x45_ap,2,1
ammo_5.56x45_fmj,3,1
ammo_5.56x45_ss190,2,1
ammo_7.62x25_p,4,1
ammo_7.62x25_ps,4,1
ammo_7.62x39_ap,3,1
ammo_7.62x39_fmj,4,1
ammo_7.62x51_ap,4,1
ammo_7.62x51_fmj,4,1
ammo_7.62x54_7h1,3,1
ammo_7.62x54_7h14,3,1
ammo_7.62x54_ap,3,1
ammo_9x18_ap,3,1
ammo_9x18_fmj,4,1
ammo_9x18_pmm,3,1
ammo_9x19_ap,3,1
ammo_9x19_fmj,4,1
ammo_9x19_pbp,3,1
ammo_9x21_sp10,4,1
ammo_9x39_ap,4,1
ammo_9x39_pab9,5,1
ammo_m209,2,1
ammo_magnum_300,3,1
ammo_og-7b,2,1
ammo_pkm_100,3,1
ammo_vog-25,2,1
ammo_vog-30,2,1
analgetic,2,1
antibio_chlor,2,1
antibio_sulfad,2,1
antiemetic,1,1
antirad,2,1
antirad_cystamine,1,1
antirad_kalium,2,1
armor_repair_fa,2,1
army_bowler,1,1
bandage,4,1
batteries_dead,6,1
bolts_pack,2,1
detector_advanced,2,1
detector_geiger,1,1
detector_radio,1,1
detector_simple,1,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
device_torch_nv_1,1,1
dolg_novice_outfit,1,1
dolg_outfit,1,1
dolg_red_outfit,1,1
dolg_scout_outfit,1,1
dolg_voin_outfit,1,1
drug_antidot,1,1
drug_booster,2,1
drug_coagulant,1,1
drug_psy_blockade,1,1
drug_radioprotector,1,1
drug_sleepingpills,1,1
equ_small_pack,1,1
ghillie_outfit,1,1
glue_b,2,1
grenade_f1,2,1
grenade_gd-05,2,1
grenade_rgd5,2,1
grenade_smoke,2,1
gun_oil_ru,2,1
helm_ach7,1,1
helm_cloth_mask,1,1
helm_hardhat,1,1
helm_m40,1,1
helm_ppm88,1,1
helm_respirator_gp5,1,1
helm_respirator_old,1,1
helm_rp_bala,1,1
helmet_repair_kit,1,1
ied_new,3,1
ied_rpg_new,3,1
itm_backpack,1,1
jgut,1,1
lead_box,2,1
light_repair_kit,1,1
medkit,3,1
medkit_ai1,2,1
mine_new,3,1
morphine,2,1
nbc_dolg_outfit,1,1
ration_ru,1,1
salicidic_acid,2,1
sewing_kit_b,2,1
sharpening_stones,1,1
stimpack,2,1
survival_kit,1,1
toolkit_p,1,1
toolkit_s,1,1
trenchcoat_dolg_brown_outfit,1,1
wpn_ak74_n,1,1
wpn_ak74u_n1,1,1
wpn_aps_bas,1,1
wpn_beretta,1,1
wpn_binoc_inv,1,1
wpn_bizon,1,1
wpn_bm16,1,1
wpn_colt1911_n,1,1
wpn_fort,1,1
wpn_fort500,1,1
wpn_gsh18,1,1
wpn_hpsa,1,1
wpn_knife,1,1
wpn_mp133_bas,1,1
wpn_pb_bas,1,1
wpn_pm_bas,1,1
wpn_pmm_bas,1,1
wpn_toz106,1,1
wpn_toz106_m1,1,1
wpn_toz34_obrez,1,1
wpn_tt33_modern,1,1
yadylin,2,1
