~,st_data_export_quantity,st_data_export_probability
adrenalin,3,1
af_aac,2,1
af_aam,2,1
af_camelbak,1,1
af_cooler,1,1
af_frames,1,1
af_freon,1,1
af_grid,1,1
af_iam,2,1
af_kevlar,2,1
af_plates,2,1
af_surge,1,1
ammo_11.43x23_fmj,5,1
ammo_11.43x23_hydro,4,1
ammo_5.7x28_ss190,5,1
ammo_5.7x28_ss195,5,1
ammo_9x18_ap,4,1
ammo_9x18_fmj,5,1
ammo_9x18_pmm,4,1
ammo_9x19_ap,4,1
ammo_9x19_fmj,5,1
ammo_9x19_pbp,4,1
ammo_9x21_sp10,4,1
analgetic,2,1
antibio_chlor,2,1
antibio_sulfad,2,1
antiemetic,2,1
antirad,5,1
antirad_cystamine,2,1
antirad_kalium,2,1
armor_repair_fa,2,1
bandage,5,1
batteries_dead,6,1
bolts_pack,2,1
detector_advanced,1,1
detector_anomaly,1,1
detector_geiger,1,1
detector_radio,1,1
detector_simple,1,1
device_pda_1,1,1
device_torch_dummy,1,1
device_torch_nv_1,1,1
drug_antidot,3,1
drug_booster,3,1
drug_coagulant,3,1
drug_psy_blockade,3,1
drug_radioprotector,3,1
drug_sleepingpills,3,1
ecolog_guard_outfit,1,1
ecolog_outfit_orange,1,1
glue_b,2,1
gun_oil_ru,2,1
helm_m40,1,1
helm_respirator,1,1
jgut,2,1
lead_box,3,1
medkit,4,1
medkit_ai1,3,1
medkit_ai2,3,1
medkit_ai3,3,1
medkit_scientic,2,1
morphine,2,1
salicidic_acid,2,1
sewing_kit_b,2,1
stimpack_army,4,1
stimpack_scientic,3,1
survival_kit,2,1
tetanus,3,1
toolkit_p,1,1
wpn_cz75,1,1
wpn_fort_snag,1,1
wpn_gsh18,1,1
wpn_hpsa,1,1
wpn_sig220_n,1,1
wpn_vz61_scorpion,1,1
wpn_walther_p99,1,1
yadylin,2,1
