~,st_data_export_quantity,st_data_export_probability
af_aac,2,1
af_aam,1,1
af_camelbak,1,1
af_camelbak_up,1,1
af_ceramic,1,1
af_cooler,1,1
af_cooler_up,1,1
af_frames,2,1
af_frames_up,1,1
af_freon,1,1
af_freon_up,1,1
af_grid,2,1
af_grid_up,1,1
af_iam,2,1
af_kevlar,1,1
af_kevlar_up,1,1
af_plates,1,1
af_plates_up,1,1
af_surge,1,1
af_surge_up,1,1
ammo_11.43x23_fmj,5,1
ammo_11.43x23_hydro,4,1
ammo_12x70_buck,8,1
ammo_12x76_dart,3,1
ammo_12x76_zhekan,6,1
ammo_20x70_buck,2,1
ammo_23x75_barrikada,3,1
ammo_23x75_shrapnel,3,1
ammo_338_federal,2,1
ammo_357_hp_mag,4,1
ammo_5.45x39_ap,4,1
ammo_5.45x39_ep,4,1
ammo_5.45x39_fmj,5,1
ammo_5.56x45_ap,4,1
ammo_5.56x45_fmj,5,1
ammo_5.56x45_ss190,4,1
ammo_5.7x28_ss190,4,1
ammo_5.7x28_ss195,4,1
ammo_7.62x25_p,5,1
ammo_7.62x25_ps,4,1
ammo_7.62x39_ap,4,1
ammo_7.62x39_fmj,5,1
ammo_7.62x51_ap,4,1
ammo_7.62x51_fmj,5,1
ammo_7.62x54_7h1,4,1
ammo_7.62x54_7h14,4,1
ammo_7.62x54_ap,5,1
ammo_7.92x33_ap,4,1
ammo_7.92x33_fmj,5,1
ammo_9x18_ap,4,1
ammo_9x18_fmj,5,1
ammo_9x18_pmm,4,1
ammo_9x19_ap,4,1
ammo_9x19_fmj,5,1
ammo_9x19_pbp,4,1
ammo_9x39_ap,3,1
ammo_9x39_pab9,4,1
ammo_m209,2Ё,1
ammo_magnum_300,5,1
ammo_og-7b,1,1
ammo_pkm_100,3,1
ammo_vog-25,2,1
ammo_vog-30,1,1
analgetic,2,1
antibio_chlor,2,1
antibio_sulfad,2,1
antiemetic,1,1
antirad,2,1
antirad_cystamine,1,1
antirad_kalium,2,1
armor_repair_fa,2,1
army_bowler,1,1
bandage,4,1
batteries_dead,6,1
beadspread,1,1
beer,3,1
bolts_pack,2,1
box_matches,4,1
breadold,4,1
caffeine,3,1
chocolate,2,1
cocaine,2,1
compression_bag,1,1
cutlery,1,1
detector_advanced,2,1
detector_elite,2,1
detector_geiger,1,1
detector_radio,1,1
detector_simple,1,1
device_flashlight,1,1
device_pda_1,1,1
device_pda_2,1,1
device_pda_3,1,1
device_torch_dummy,1,1
device_torch_nv_1,1,1
device_torch_nv_2,1,1
device_torch_nv_3,1,1
drug_antidot,1,1
drug_booster,2,1
drug_coagulant,1,1
drug_psy_blockade,1,1
drug_radioprotector,1,1
drug_sleepingpills,1,1
energy_drink,3,1
equ_military_pack,1,1
equ_small_military_pack,1,1
equ_small_pack,1,1
equ_tourist_pack,1,1
exo_repair_kit,1,1
ghillie_outfit,1,1
glue_b,2,1
grenade_f1,2,1
grenade_gd-05,2,1
grenade_rgd5,2,1
grenade_smoke,2,1
grooming,1,1
gun_oil_ru,2,1
hand_rolling_tobacco,3,1
heavy_repair_kit,1,1
helm_ach7,1,1
helm_ach7ex,1,1
helm_cloth_mask,1,1
helm_exo,1,1
helm_hardhat,1,1
helm_m40,1,1
helm_m50,1,1
helm_metro,1,1
helm_ppm88,1,1
helm_protective,1,1
helm_ranger,1,1
helm_respirator_gp5,1,1
helm_respirator_old,1,1
helm_rp_bala,1,1
helm_tactic,1,1
helmet_repair_kit,1,1
ied_new,5,1
ied_rpg_new,5,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
jgut,1,1
joint,2,1
lead_box,2,1
light_freedom_outfit,1,1
light_repair_kit,1,1
marijuana,2,1
medium_repair_kit,1,1
medkit,3,1
medkit_ai1,2,1
medkit_army,2,1
medkit_scientic,2,1
military_freedom_outfit,1,1
mine_new,5,1
mirror,1,1
morphine,2,1
nbc_freedom_outfit,1,1
nuts,2,1
porn,1,1
rope,1,1
salicidic_acid,2,1
salmon,2,1
sewing_kit_b,2,1
sharpening_stones,1,1
shovel_mili,1,1
stimpack,2,1
stimpack_army,2,1
survival_kit,1,1
svoboda_exolight_outfit,1,1
svoboda_heavy_outfit,1,1
svoboda_heavy_outfit_2,1,1
svoboda_light_outfit,1,1
svoboda_novice_outfit,1,1
svoboda_scientific_outfit,1,1
synthrope,1,1
tarpaulin,1,1
toolkit_p,1,1
toolkit_r5,1,1
toolkit_r7,1,1
toolkit_s,1,1
trenchcoat_freedom_brown_outfit,1,1
water_drink,3,1
wpn_adar2_15,1,1
wpn_aug_a3_bas,1,1
wpn_beretta,1,1
wpn_binoc_inv,1,1
wpn_colt1911,1,1
wpn_colt1911_custom,1,1
wpn_desert_eagle,1,1
wpn_famas3,1,1
wpn_fn57_bas,1,1
wpn_galil,1,1
wpn_glock,1,1
wpn_hpsa,1,1
wpn_k98,1,1
wpn_kar98_retrotac,1,1
wpn_knife,1,1
wpn_korth,1,1
wpn_korth_custom,1,1
wpn_l85_m3,1,1
wpn_m249,1,1
wpn_m4_skryaga,1,1
wpn_m4a1,1,1
wpn_mosin,1,1
wpn_mp5,1,1
wpn_mp7,1,1
wpn_p90,1,1
wpn_protecta,1,1
wpn_remington700_bas,1,1
wpn_remington870,1,1
wpn_rpg26,3,1
wpn_scar_l_tac,1,1
wpn_scar_siber_m2,1,1
wpn_sig220,1,1
wpn_sig550,1,1
wpn_spas12,1,1
wpn_svd_m1,1,1
wpn_svds,1,1
wpn_svt40,1,1
wpn_svu,1,1
wpn_vityaz,1,1
wpn_vz61,1,1
wpn_walther,1,1
yadylin,2,1
