~,st_data_export_price_multiplier
af_kevlar_up,0.44
af_misery_bread,0.44
af_plates_up,0.44
ammo_12x70_raid,0.44
ammo_20x70_buck,0.44
ammo_23x75_barrikada,0.44
ammo_23x75_shrapnel,0.44
ammo_338_federal,0.44
ammo_9x21_sp10,0.44
ammo_vog-30,0.44
armor_repair_fa,0.4532
ball_hammer,0.44
cleaning_kit_p,0.4532
cleaning_kit_r5,0.4532
cleaning_kit_r7,0.4532
cleaning_kit_s,0.4532
cleaning_kit_u,0.4532
duct_tape,0.44
ecolog_raid_event_item,0.44
exo_dolg_red_outfit,0.44
exo_repair_kit,0.4532
glue_a,0.4532
glue_b,0.4532
glue_e,0.4532
grease,0.44
gun_oil,0.4532
gun_oil_ru,0.4532
gun_oil_ru_d,0.4532
heavy_repair_kit,0.4532
heavy_sewing_thread,0.4532
helmet_repair_kit,0.4532
item_raid_unknown,0.44
itm_advancedkit,0.462
itm_ammokit,0.462
itm_basickit,0.462
itm_expertkit,0.462
itm_tent,0.462
itm_tent_bag,0.462
light_repair_kit,0.4532
medium_repair_kit,0.4532
meinkampf,0.44
merc_combat_scientific_outfit,0.44
mil_radio_amplifier,0.44
military_car_radio,0.44
monolith_shard,0.44
mutant_part_crow_beak,0.44
partskit_tool,0.4532
pill_raid,0.44
raid_injector_1,0.44
raid_injector_2,0.44
raid_injector_3,0.44
raid_injector_4,0.44
raid_injector_5,0.44
raid_intelligence_note,0.44
ramrod_tool,0.4532
rasp_tool,0.4532
rotten_meat,0.44
sewing_kit_a,0.4532
sewing_kit_b,0.4532
sewing_kit_h,0.4532
sewing_thread,0.4532
sharpening_stones,0.4532
solvent,0.4532
stalker_raid_event_item,0.44
steel_wool,0.44
svoboda_novice_outfit,0.44
toolkit_p,0.4532
toolkit_r5,0.4532
toolkit_r7,0.4532
toolkit_s,0.4532
upgr_o_1_armor,0.484
upgr_o_1_arty,0.484
upgr_o_1_bleed,0.484
upgr_o_1_burn,0.484
upgr_o_1_carry,0.484
upgr_o_1_chem,0.484
upgr_o_1_damage,0.484
upgr_o_1_durability,0.484
upgr_o_1_health,0.484
upgr_o_1_power,0.484
upgr_o_1_psi,0.484
upgr_o_1_rad,0.484
upgr_o_1_run,0.484
upgr_o_1_shock,0.484
upgr_o_1_weight,0.484
upgr_o_2_armor,0.484
upgr_o_2_arty,0.484
upgr_o_2_bleed,0.484
upgr_o_2_burn,0.484
upgr_o_2_carry,0.484
upgr_o_2_chem,0.484
upgr_o_2_damage,0.484
upgr_o_2_durability,0.484
upgr_o_2_health,0.484
upgr_o_2_power,0.484
upgr_o_2_psi,0.484
upgr_o_2_rad,0.484
upgr_o_2_run,0.484
upgr_o_2_shock,0.484
upgr_o_2_weight,0.484
upgr_o_3_armor,0.484
upgr_o_3_arty,0.484
upgr_o_3_bleed,0.484
upgr_o_3_burn,0.484
upgr_o_3_carry,0.484
upgr_o_3_chem,0.484
upgr_o_3_damage,0.484
upgr_o_3_durability,0.484
upgr_o_3_health,0.484
upgr_o_3_power,0.484
upgr_o_3_psi,0.484
upgr_o_3_rad,0.484
upgr_o_3_run,0.484
upgr_o_3_shock,0.484
upgr_o_3_weight,0.484
upgr_w_1_calibre,0.484
upgr_w_1_dispersion,0.484
upgr_w_1_firemode,0.484
upgr_w_1_grenade_mount,0.484
upgr_w_1_inertion,0.484
upgr_w_1_magazine,0.484
upgr_w_1_muffle,0.484
upgr_w_1_recoil,0.484
upgr_w_1_reliability,0.484
upgr_w_1_rpm,0.484
upgr_w_1_scope,0.484
upgr_w_1_scope_mount,0.484
upgr_w_1_speed,0.484
upgr_w_1_weight,0.484
upgr_w_2_calibre,0.484
upgr_w_2_dispersion,0.484
upgr_w_2_firemode,0.484
upgr_w_2_grenade_mount,0.484
upgr_w_2_inertion,0.484
upgr_w_2_magazine,0.484
upgr_w_2_muffle,0.484
upgr_w_2_recoil,0.484
upgr_w_2_reliability,0.484
upgr_w_2_rpm,0.484
upgr_w_2_scope,0.484
upgr_w_2_scope_mount,0.484
upgr_w_2_speed,0.484
upgr_w_2_weight,0.484
upgr_w_3_calibre,0.484
upgr_w_3_dispersion,0.484
upgr_w_3_firemode,0.484
upgr_w_3_grenade_mount,0.484
upgr_w_3_inertion,0.484
upgr_w_3_magazine,0.484
upgr_w_3_muffle,0.484
upgr_w_3_recoil,0.484
upgr_w_3_reliability,0.484
upgr_w_3_rpm,0.484
upgr_w_3_scope,0.484
upgr_w_3_scope_mount,0.484
upgr_w_3_speed,0.484
upgr_w_3_weight,0.484
wpn_eft_rsh12,0.44
wpn_k98_mod_silen98,0.44
wpn_karabiner98k_silen98,0.44
wpn_krissvektor,0.44
wpn_remington700_bas,0.44
wpn_remington700_bas_archangel,0.44
wpn_remington700_bas_magpul_pro,0.44
wpn_remington700_bas_mod_x_gen3,0.44
wpn_shak12,0.44
