~,st_data_export_quantity,st_data_export_probability
armor_repair_fa,1,1
ball_hammer,2,1
cleaning_kit_p,1,1
cleaning_kit_r5,1,1
cleaning_kit_r7,1,1
cleaning_kit_s,1,1
cleaning_kit_u,1,1
duct_tape,2,1
glue_a,1,1
glue_b,1,1
grease,2,1
gun_oil,1,1
gun_oil_ru,1,1
gun_oil_ru_d,1,1
heavy_sewing_thread,1,1
helmet_repair_kit,1,1
leatherman_tool,1,1
light_repair_kit,1,1
prt_i_scrap,3,1
prt_i_wood,3,1
ramrod_tool,1,1
rasp_tool,1,1
sewing_kit_b,1,1
sewing_thread,3,1
sharpening_stones,1,1
solvent,1,1
steel_wool,2,1
swiss_knife,2,1
toolkit_p,1,1
