~,st_data_export_price_multiplier
adrenalin,0.484
af_kevlar_up,0.44
af_misery_bread,0.44
af_plates_up,0.44
akvatab,0.484
ammo_12x70_raid,0.44
ammo_20x70_buck,0.44
ammo_23x75_barrikada,0.44
ammo_23x75_shrapnel,0.44
ammo_338_federal,0.44
ammo_9x21_sp10,0.44
ammo_vog-30,0.44
analgetic,0.484
antibio_chlor,0.484
antibio_sulfad,0.484
antiemetic,0.484
antirad,0.484
antirad_cystamine,0.484
antirad_kalium,0.484
bandage,0.484
caffeine,0.484
cocaine,0.484
drug_anabiotic,0.484
drug_antidot,0.484
drug_booster,0.484
drug_coagulant,0.484
drug_psy_blockade,0.484
drug_radioprotector,0.484
drug_sleepingpills,0.484
e_syringe,0.44
ecolog_raid_event_item,0.44
exo_dolg_red_outfit,0.44
glucose,0.484
glucose_s,0.484
item_raid_unknown,0.44
itm_drugkit,0.44
itm_tent_bag,0.44
jgut,0.484
medkit,0.484
medkit_ai1,0.484
medkit_ai2,0.484
medkit_ai3,0.484
medkit_army,0.484
medkit_scientic,0.484
meinkampf,0.44
merc_combat_scientific_outfit,0.44
mil_radio_amplifier,0.44
military_car_radio,0.44
monolith_shard,0.44
morphine,0.484
mutant_part_crow_beak,0.44
partskit_tool,0.44
pill_raid,0.44
protein,0.44
raid_injector_1,0.484
raid_injector_2,0.484
raid_injector_3,0.484
raid_injector_4,0.484
raid_injector_5,0.484
raid_intelligence_note,0.44
rebirth,0.484
rotten_meat,0.44
salicidic_acid,0.484
stalker_raid_event_item,0.44
stimpack,0.484
stimpack_army,0.484
stimpack_scientic,0.484
survival_kit,0.484
svoboda_novice_outfit,0.44
tetanus,0.484
wpn_eft_rsh12,0.44
wpn_k98_mod_silen98,0.44
wpn_karabiner98k_silen98,0.44
wpn_krissvektor,0.44
wpn_remington700_bas,0.44
wpn_remington700_bas_archangel,0.44
wpn_remington700_bas_magpul_pro,0.44
wpn_remington700_bas_mod_x_gen3,0.44
wpn_shak12,0.44
yadylin,0.484
