~,st_data_export_quantity,st_data_export_probability
adrenalin,2,1
akvatab,2,1
analgetic,2,1
antibio_chlor,2,1
antibio_sulfad,2,1
antiemetic,2,1
antirad,2,1
antirad_cystamine,2,1
antirad_kalium,2,1
bandage,8,1
caffeine,2,1
cocaine,2,1
drug_anabiotic,2,1
drug_antidot,2,1
drug_booster,2,1
drug_coagulant,2,1
drug_psy_blockade,2,1
drug_radioprotector,2,1
drug_sleepingpills,2,1
glucose,2,1
glucose_s,2,1
jgut,4,1
medkit,6,1
medkit_ai1,1,1
medkit_army,4,1
morphine,2,1
protein,2,1
salicidic_acid,2,1
stimpack,2,1
stimpack_army,2,1
stimpack_scientic,1,1
tetanus,2,1
yadylin,2,1
