~,st_data_export_price_multiplier
charcoal,1
cooking,1
explo_balon_gas,1
fieldcooker,1
itm_pda_common,
itm_pda_rare,
itm_pda_uncommon,
kit_hunt,1
meat_bloodsucker,2
meat_boar,4
meat_chimera,1
meat_dog,6
meat_flesh,4
meat_pseudodog,4
meat_snork,4
meat_tushkano,6
mutant_part_boar_chop,4.2
mutant_part_boar_leg,4.2
mutant_part_burer_hand,4.2
mutant_part_cat_tail,4.2
mutant_part_chimera_claw,4.2
mutant_part_chimera_kogot,4.2
mutant_part_chimera_meat,4.2
mutant_part_controller_glass,4.2
mutant_part_controller_hand,4.2
mutant_part_dog_meat,4.2
mutant_part_dog_tail,4.2
mutant_part_flesh_eye,4.2
mutant_part_flesh_meat,4.2
mutant_part_fracture_hand,0.56
mutant_part_krovosos_jaw,4.2
mutant_part_pseudogigant_eye,4.2
mutant_part_pseudogigant_hand,4.2
mutant_part_psevdodog_meat,4.2
mutant_part_psevdodog_tail,4.2
mutant_part_snork_hand,4.2
mutant_part_snork_leg,4.2
mutant_part_tushkano_head,4.2
mutant_part_zombi_hand,4.2
sharpening_stones,1.7
wpn_knife,1
wpn_knife2,1
wpn_knife3,1
