~,st_data_export_quantity,st_data_export_probability
beans,2,1
beer,3,1
bread,3,1
breadold,4,1
charcoal,1,1
chili,2,1
chocolate,2,1
conserva,3,1
cooking,1,1
corn,2,1
energy_drink,3,1
explo_balon_gas,1,1
fieldcooker,1,1
flask,3,1
kit_hunt,1,1
kolbasa,3,1
meat_bloodsucker,2,1
meat_boar,4,1
meat_chimera,1,1
meat_dog,6,1
meat_flesh,4,1
meat_pseudodog,4,1
meat_snork,4,1
meat_tushkano,6,1
mineral_water,3,1
mint,3,1
mre,1,1
mutant_part_boar_chop,7,1
mutant_part_boar_leg,5,1
mutant_part_cat_tail,3,1
mutant_part_dog_meat,3,1
mutant_part_dog_tail,3,1
mutant_part_flesh_eye,4,1
mutant_part_flesh_meat,5,1
mutant_part_fracture_hand,2,1
mutant_part_psevdodog_meat,2,1
mutant_part_psevdodog_tail,2,1
mutant_part_snork_hand,2,1
mutant_part_snork_leg,4,1
mutant_part_tushkano_head,5,1
mutant_part_zombi_hand,4,1
nuts,2,1
raisins,2,1
ration_ru,1,1
ration_ukr,1,1
recipe_cooking_1,1,1
salmon,2,1
sausage,2,1
sharpening_stones,2,1
swiss_knife,2,1
tea,3,1
tomato,2,1
vodka,3,1
vodka2,3,1
vodka_quality,3,1
water_drink,3,1
wpn_axe,1,1
wpn_knife,1,1
wpn_knife2,1,1
wpn_knife3,1,1
wpn_knife5,1,1
wpn_knife6,1,1
