~,st_data_export_price_multiplier
adrenalin,2.1082073039224
af_aac,2.1338305920036
af_aam,2.1807880287319
af_absorbent,2.1780847028041
af_ameba_mica,2.2375357832563
af_ameba_slime,2.1398411954873
af_ameba_slug,2.2224616495792
af_arhara_globus,2.1534993804021
af_armor_1,2.1552433055335
af_armor_2,2.156381587538
af_armor_3,2.1421129879685
af_armor_4,2.1824513868625
af_atom,2.0849680180739
af_babka_1,2.1805977219772
af_babka_2,2.2152189894858
af_babka_3,2.2334064521097
af_ball,2.0747476834288
af_baloon,2.2308807517562
af_baloon3,2.2010177714399
af_bat,2.1770264539231
af_best_compass,2.2356616338607
af_black,2.1441205875625
af_black_angel,2.1609552759219
af_black_spray,2.2291299837167
af_blood,2.2089164339351
af_blood2,2.2212068943089
af_blood3,2.1783563458221
af_blood_green,2.2335679422321
af_bracelet,2.1699528293718
af_brain,2.1708942667207
af_bumerang,2.3043218923921
af_camelbak,2.0318880996112
af_camelbak_up,2.1245602602043
af_caterpillar,2.2994485458869
af_cell,2.1510264336282
af_ceramic,2.0354558611742
af_ceramic_up,2.0870487764321
af_chelust,2.1386127201369
af_chertyaico,2.1954815388578
af_clear_sky,2.2431669951718
af_cocoon,2.1233593762374
af_compass,2.2888615346022
af_cooler,2.0252304528985
af_cooler_up,2.1186367584264
af_cristal_drops,2.2023745318168
af_cristall,2.1990937253611
af_cristall2,2.2132353941639
af_cristall3,2.2209575137957
af_cristall_flower2,2.2196823423465
af_crystal_blood,2.1472823335651
af_crystal_generator,2.1545847826913
af_crystal_glassbeads,2.1958242398674
af_crystal_gravi,2.2035063638481
af_crystal_ice,2.2144381787732
af_crystal_oko,2.2277013055741
af_crystal_vyvert,2.2305317650433
af_dark_soul,2.2398113558357
af_death_lamp,2.3102636505555
af_deformer,2.2434133978785
af_dik_1,2.1963616358011
af_dik_2,2.1977274334353
af_dik_3,2.2064680647527
af_dik_4,2.2031078582158
af_dragon_eye,2.1129508504429
af_drops,2.1367702915474
af_dummy_battery,2.1438701299632
af_dummy_battery3,2.1848760815222
af_dummy_battery_red,2.2214093427128
af_dummy_dummy,2.2059733516978
af_dummy_dummy2,2.1575385678349
af_dummy_dummy3,2.2359738706577
af_dummy_glassbeads,2.1756299431008
af_dummy_glassbeads2,2.2419141556613
af_dummy_glassbeads3,2.0549031408437
af_dummy_pellicle,2.1782317988639
af_dummy_pellicle_red,2.2247679226863
af_dummy_spring,2.2177192183633
af_dummy_spring_red,2.2438415232332
af_ear,2.03409931802
af_electra_flash,2.2390339280715
af_electra_flash2,2.1753871178976
af_electra_flash3,2.1766117662408
af_electra_moonlight,2.2086072683318
af_electra_moonlight2,2.2455888172413
af_electra_sparkler,2.1816045203254
af_electra_sparkler2,2.216739075688
af_electra_sparkler3,2.2335791997431
af_electro_crystal_thorn,2.2340509312323
af_elektron,2.1427715436171
af_empty,2.2110343230931
af_eye,2.2157007090918
af_eye3,2.1636953808703
af_fire,2.223928034417
af_fire3,2.1674985093635
af_fire_loop,2.120009005502
af_fireball,2.2321093353282
af_fireball2,2.2335510537075
af_fireball3,2.1716705294252
af_fonar,2.1255321982244
af_fountain,2.115952686575
af_frames,2.0296246024385
af_frames_up,2.0931883302355
af_freon,1.9995751671682
af_freon_up,2.0826767906806
af_full_empty,2.2403845355679
af_fuzz_kolobok,2.2058682574073
af_fuzz_kolobok2,2.2277270951712
af_fuzz_kolobok3,2.2087405599738
af_generator,2.1400181347434
af_glass,2.2367322318876
af_glass3,2.1774491321815
af_gold_fish,2.2549524978939
af_gold_fish2,2.240933625387
af_grapes,2.1302553288539
af_gravi,2.2215188389948
af_gravi2,2.1924174382584
af_grid,2.0658235284436
af_grid_up,2.120009005502
af_gubka3,2.1698488441953
af_iam,2.0832134681625
af_ice,2.243829606953
af_ice3,2.1610876219628
af_indeikam3,2.1846811933807
af_itcher,2.2015493520252
af_itching1,2.1281835753233
af_itching_low,2.0964089077866
af_joker,2.1342748443239
af_karusel,2.2921183614894
af_kashtan,2.1971173147676
af_kevlar,1.9672944593445
af_kevlar_up,2.0017118768437
af_kislushka,2.0456691686292
af_klaksa,2.1421403239266
af_kogot,2.0432156926088
af_kol_4,2.2000343487636
af_ledenec,2.1342748443239
af_life_heart,2.2314317533562
af_lifekam,2.2439963127885
af_lifekam3,2.2037387450604
af_lighthouse,2.1563103222761
af_lobster_eyes,2.2447601302544
af_magnito,2.2432098146439
af_mahovik,2.1824053735507
af_mayatnik,2.1621925908795
af_mayatnik3,2.1955247763386
af_medallion,2.157882329594
af_medusa,2.157882329594
af_medusa_green,2.2254715082396
af_microb,2.2453457588542
af_midi,2.1386127201369
af_mincer_meat,2.1822579924439
af_mincer_meat2,2.1753838325337
af_misery_bread,2.0701526545884
af_moh,2.0284724460641
af_monolith,2.3117763646725
af_morf,2.2344628995286
af_night_star,2.1859992159409
af_night_star2,2.137798020509
af_oasis_heart,2.2834787067454
af_oasis_heart2,2.2229568807003
af_oblivion,2.2958737866786
af_oblivion3,2.1547739426977
af_oko,2.2824987538121
af_oreh,2.1658204925504
af_padshi_angel,2.2036463546048
af_part_monolit,2.3096183382527
af_peas,2.0549031408437
af_pendulum,2.1442009601076
af_pero,2.2962696796086
af_pin,2.153731204724
af_plates,1.985850053141
af_plates_up,2.0552328312435
af_poipruz,2.2994758798621
af_polymer,2.0633326017144
af_polymer_up,2.1104824716901
af_propeller,2.2329695642722
af_prujina,2.2459765531049
af_pudd_1,2.2005220770815
af_pudd_2,2.2034988590142
af_pudd_3,2.1972821357998
af_pudd_4,2.2105562213395
af_pulsar,2.2177279478401
af_quest_b14_twisted2,2.297729939274
af_raibloko,2.1396452691222
af_raibloko3,2.0889311674507
af_repei,2.079136393744
af_ring,2.2194851052391
