~,st_data_export_quantity,st_data_export_probability
adrenalin,2,1
af_aac,1,1
af_grid,1,1
af_plates,1,1
akvatab,3,1
ammo_11.43x23_fmj,8,1
ammo_11.43x23_hydro,6,1
ammo_12x70_buck,8,1
ammo_12x76_bull,3,1
ammo_12x76_dart,3,1
ammo_12x76_zhekan,6,1
ammo_20x70_buck,3,1
ammo_23x75_barrikada,3,1
ammo_23x75_shrapnel,3,1
ammo_357_hp_mag,3,1
ammo_5.45x39_ap,10,1
ammo_5.45x39_ep,12,1
ammo_5.45x39_fmj,15,1
ammo_5.56x45_ap,10,1
ammo_5.56x45_fmj,15,1
ammo_5.56x45_ss190,12,1
ammo_7.62x25_p,7,1
ammo_7.62x25_ps,7,1
ammo_7.62x39_ap,12,1
ammo_7.62x39_fmj,15,1
ammo_7.62x51_ap,12,1
ammo_7.62x51_fmj,15,1
ammo_7.62x54_7h1,4,1
ammo_7.62x54_7h14,4,1
ammo_7.62x54_ap,4,1
ammo_7.92x33_ap,3,1
ammo_7.92x33_fmj,3,1
ammo_9x18_ap,10,1
ammo_9x18_fmj,12,1
ammo_9x18_pmm,8,1
ammo_9x19_ap,10,1
ammo_9x19_fmj,12,1
ammo_9x19_pbp,8,1
ammo_9x39_ap,12,1
ammo_9x39_pab9,15,1
ammo_m209,4,1
ammo_magnum_300,5,1
ammo_og-7b,2,1
ammo_vog-25,4,1
ammo_vog-30,1,1
analgetic,3,1
antibio_chlor,4,1
antibio_sulfad,2,1
antiemetic,1,1
antirad,2,1
antirad_cystamine,3,1
antirad_kalium,4,1
armor_repair_fa,2,1
army_bowler,1,1
bandage,4,1
batteries_dead,3,1
beadspread,1,1
beer,3,1
bolts_pack,2,1
box_matches,4,1
breadold,4,1
caffeine,3,1
chili,2,1
chocolate,2,1
cigar,1,1
cigar1,2,1
cigar2,2,1
cigar3,2,1
cigarettes,3,1
cigarettes_lucky,3,1
cigarettes_russian,3,1
compression_bag,1,1
cutlery,1,1
detector_advanced,1,1
detector_elite,1,1
detector_geiger,1,1
detector_radio,1,1
detector_simple,1,1
device_flashlight,1,1
device_pda_1,1,1
device_pda_2,1,1
device_pda_3,1,1
device_torch_dummy,1,1
device_torch_nv_1,1,1
device_torch_nv_2,1,1
device_torch_nv_3,1,1
drug_antidot,1,1
drug_booster,1,1
drug_coagulant,2,1
drug_psy_blockade,1,1
drug_radioprotector,1,1
drug_sleepingpills,1,1
energy_drink,3,1
equ_military_pack,1,1
equ_small_military_pack,1,1
equ_small_pack,1,1
equ_tourist_pack,1,1
exolight_outfit,1,1
flask,3,1
ghillie_outfit,1,1
glue_b,2,1
grenade_f1,3,1
grenade_gd-05,3,1
grenade_rgd5,3,1
grenade_smoke,3,1
grooming,1,1
gun_oil_ru,2,1
helm_bandana,1,1
helm_cloth_mask,1,1
helm_exo,1,1
helm_hardhat,1,1
helm_m40,1,1
helm_m50,1,1
helm_metro,1,1
helm_ppm88,1,1
helm_ranger,1,1
helm_resp,1,1
helm_respirator,1,1
helm_respirator_gp5,1,1
helm_respirator_old,1,1
helm_rp_bala,1,1
hybrid_outfit,1,1
ied_new,2,1
ied_rpg_new,2,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
jgut,3,1
lead_box,2,1
leatherman_tool,1,1
light_loner_outfit,1,1
medkit,3,1
medkit_ai1,3,1
medkit_ai2,3,1
medkit_ai3,3,1
medkit_army,2,1
medkit_scientic,1,1
merc_scout_outfit,1,1
mine_new,2,1
mirror,1,1
morphine,2,1
nbc_outfit,1,1
nomad_outfit,1,1
novice_outfit,1,1
nuts,2,1
porn,1,1
ramrod_tool,1,1
rasp_tool,1,1
rope,1,1
salicidic_acid,1,1
salmon,2,1
scientific_outfit,1,1
sewing_kit_b,2,1
sharpening_stones,1,1
shovel_mili,1,1
stalker_autumn_outfit,1,1
stalker_bear_outfit,1,1
stalker_drought_outfit,1,1
stalker_graphite_outfit,1,1
stalker_outfit,1,1
stalker_predator_outfit,1,1
stalker_salamander_outfit,1,1
stalker_tigerstripe_outfit,1,1
stalker_vineleaf_outfit,1,1
stimpack,2,1
stimpack_army,1,1
stimpack_scientic,1,1
survival_kit,1,1
swiss_knife,2,1
synthrope,1,1
tarpaulin,1,1
tetanus,2,1
tobacco,3,1
toolkit_p,1,1
travel_outfit,1,1
trenchcoat_brown_outfit,1,1
wastelander_outfit,1,1
water_drink,3,1
wpn_abakan_n,1,1
wpn_ak104_alfa,1,1
wpn_ak74_n,1,1
wpn_ak74m_beard,1,1
wpn_ak74u_old,1,1
wpn_akms_bas,1,1
wpn_aps_bas,1,1
wpn_binoc_inv,1,1
wpn_bm16,1,1
wpn_bm16_full,1,1
wpn_desert_eagle,1,1
wpn_fort,1,1
wpn_gsh18,1,1
wpn_kiparis,1,1
wpn_kiparis_m1,1,1
wpn_kiparis_m2,1,1
wpn_kiparis_m3,1,1
wpn_knife,1,1
wpn_ks23,1,1
wpn_mosin,1,1
wpn_mossberg590,1,1
wpn_mp153,1,1
wpn_oc33,1,1
wpn_pb_bas,1,1
wpn_pm_bas,1,1
wpn_ppsh_bas,1,1
wpn_saiga12s_m1,1,1
wpn_sig220,1,1
wpn_sks,1,1
wpn_sks_tac,1,1
wpn_svd_custom,1,1
wpn_svds,1,1
wpn_toz34,1,1
wpn_toz34_bull,1,1
wpn_toz34_obrez,1,1
wpn_tt33,1,1
wpn_type63,1,1
wpn_vintorez_n1,1,1
wpn_vz61_scorpion,1,1
wpn_vz61_scorpion_m1,1,1
wpn_walther,1,1
yadylin,3,1
